time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
440,60.99796391000001,6035,13.6,53,112,2.01515263744763,5931,-29.630869729178293,0.001,,
444,60.88637717999999,6090,13.6,54,112,1.5990295665604728,5986,-29.639211927141464,0.001,,
448,60.88647276,6145,13.6,54,112,1.1858502072947366,6042,-29.359664099557058,0.001,,
452,60.82426629,6200,13.61,55,112,2.318271883896419,6096,-29.468621935163224,0.001,,
456,60.86801878,6255,13.62,55,112,1.687575455222811,6152,-30.43897955758231,0.001,,
460,60.91614599,6309,13.63,56,112,2.950780437542842,6205,-30.62296994527181,0.001,,
464,60.828724619999996,6361,13.61,56,112,2.0224444957879872,6258,-29.579171316964285,0.001,,
468,60.815961339999994,6415,13.62,57,112,1.3437898584774561,6311,-30.220963614327566,0.001,,
472,60.77034753,6470,13.61,57,112,1.1826578034804418,6366,-29.616391318184988,0.001,,
476,60.683100030000006,6524,13.59,58,112,1.1899887919425964,6420,-30.193557466779435,0.001,,
480,60.82661213,6580,13.61,58,112,1.5372233050210136,6476,-29.313068389892578,0.001,,
484,60.835034670000006,6635,13.61,59,112,1.2468162454091585,6531,-29.768712043762207,0.001,,
488,60.834581609999994,6689,13.62,59,112,1.5001178639275687,6586,-30.4835022517613,0.001,,
492,60.82822955999999,6743,13.62,60,112,1.2622194673333849,6640,-30.20060784476144,0.001,,
496,60.7356894,6797,13.6,60,112,1.389705987913268,6693,-30.143046515328543,0.001,,
500,60.790798509999995,6852,13.6,60,112,1.3709530064037867,6748,-29.790951047624862,0.001,,
504,60.88019742,6907,13.61,61,112,1.2424230064664568,6804,-30.029686791556223,0.001,,
508,60.871705379999995,6960,13.61,61,112,1.6066631307968726,6856,-30.24951389857701,0.001,,
512,61.01829165,7016,13.63,62,112,1.5590358887399947,6912,-31.23681695120675,0.001,,
516,60.96397457,7070,13.63,62,112,1.9148452707699366,6967,-30.577623094831193,0.001,,
520,60.96062226,7125,13.63,63,112,1.6502573532717568,7021,-29.810331344604492,0.001,,
524,61.004214329999996,7180,13.64,63,112,1.1652598253318243,7076,-29.62763840811593,0.001,,
528,61.04687725000001,7236,13.65,64,112,1.3225214566503252,7132,-30.624829156058176,0.001,,
532,61.09401714,7291,13.66,64,112,1.1820168963500433,7187,-30.051829201834543,0.001,,
536,61.14171600999999,7347,13.67,65,112,1.6117398355688368,7243,-30.56756019592285,0.001,,
540,61.18686246999999,7403,13.68,65,112,1.7728840964181083,7299,-29.660566329956055,0.001,,
544,61.244304109999995,7458,13.68,66,112,1.8006462837968553,7355,-30.20924404689244,0.001,,
548,61.294006360000004,7514,13.69,66,112,1.3540939944131034,7410,-30.98819487435477,0.001,,
552,61.352577739999994,7569,13.69,67,112,1.8712884017399378,7466,-31.09606715611049,0.001,,
556,61.352380759999996,7624,13.69,67,112,1.8260665581776545,7520,-30.17024530683245,0.001,,
560,61.405193610000005,7678,13.69,68,112,1.7765823964561736,7574,-30.162717001778738,0.001,,
564,61.49720375000001,7732,13.71,68,112,1.8378841968683095,7629,-30.26117738087972,0.001,,
568,61.499344820000005,7786,13.71,69,112,1.2751072304589408,7683,-30.259281975882395,0.001,,
572,61.398929900000006,7840,13.7,69,112,1.5526848893899183,7736,-29.342796325683594,0.001,,
576,61.433049929999996,7896,13.72,70,112,1.2950673018183028,7792,-30.026624952043807,0.001,,
580,61.29696394999999,7949,13.69,70,112,1.294149535042899,7846,-30.605389186314174,0.001,,
584,61.23836682999999,8004,13.69,71,112,1.2577865032049327,7900,-30.4994318825858,0.001,,
588,61.3346103,8059,13.7,71,112,1.364679149218968,7955,-30.170076642717635,0.001,,
