train/n_updates,train/actor_loss,time/total_timesteps,time/time_elapsed,train/critic_loss,time/episodes,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/learning_rate,eval/mean_ep_length,eval/mean_reward
144188,-39.25163369429739,145000,,1.9125405406951905,,,,,0.001,1000.0,581.917506393604
145216,-39.605317796979634,145313,965,2.1819212521825517,772,210.13,150,-233.35379336999998,0.001,,
145492,-39.74811840057373,145606,966,1.8415652528405189,776,207.07,150,-230.07472742000004,0.001,,
145667,-39.565308809280396,145743,967,2.1583667062222958,780,195.81,150,-217.90244806,0.001,,
145946,-38.91887115478516,146147,969,2.1627735018730165,784,198.38,150,-220.81541531000002,0.001,,
146273,-39.50759188334147,146389,970,1.9517466152707736,788,188.51,150,-210.04747999999995,0.001,,
147428,-39.493562683105466,147528,976,2.12411171656847,792,187.38,151,-209.15058969999998,0.001,,
147593,-39.82583023071289,147672,977,1.977389384508133,796,184.72,151,-206.1788937,0.001,,
147817,-39.98259902581936,147922,978,2.117768605307835,800,176.3,151,-197.07682637,0.001,,
149938,-40.075588729858396,150000,,2.049511371135712,,,,,0.001,1000.0,643.5503369591664
,,150028,998,,804,193.07,150,-215.00261757999996,,,
150130,-40.08226420084635,150265,999,2.078852504491806,808,184.02,150,-205.06722552,0.001,,
151259,-40.609160030589386,151370,1005,2.0554269313812257,812,189.66,150,-211.51188103,0.001,,
152347,-41.759333801269534,153408,1011,1.8330860793590547,816,198.36,151,-221.36831754,0.001,,
153590,-41.0257790998979,153755,1017,2.117851001407028,820,198.99,151,-221.76784515999995,0.001,,
154888,-41.161594009399415,155000,,2.101765558719635,,,,,0.001,1000.0,712.0098801602377
,,155071,1032,,824,200.05,150,-223.06097995,,,
155128,-41.30421854654948,156189,1034,2.218471954608786,828,199.23,151,-221.79945164,0.001,,
156360,-41.3419309258461,156492,1039,2.0988362971253283,832,201.07,150,-223.70951402999998,0.001,,
156531,-41.28272501627604,156684,1040,2.2485285798708596,836,189.56,150,-211.32166507,0.001,,
157686,-41.6862889251709,157798,1046,2.338637768983841,840,199.16,150,-221.90175422000004,0.001,,
157961,-41.25966698782785,158053,1047,2.37733725139073,844,189.88,150,-211.75279290999998,0.001,,
158179,-41.42196769714356,158257,1048,2.2427810430526733,848,180.94,150,-201.90567099,0.001,,
158296,-41.542583306630455,159357,1049,2.3196959868073463,852,179.74,151,-200.24918197,0.001,,
159414,-41.69705127534412,159556,1054,2.4127288271741167,856,170.0,151,-189.25600094,0.001,,
159750,-42.10621243431454,159836,1055,2.233430953252883,860,160.6,151,-179.02444997999999,0.001,,
159890,-41.8730617869984,160000,,2.204266917137873,,,,,0.001,1000.0,703.869824237004
160890,-42.092613624572756,160987,1070,2.4158316203355787,864,170.64,150,-189.89977001,0.001,,
161960,-42.28754611206055,162046,1075,2.388740337848663,868,178.72,150,-198.41918399,0.001,,
163271,-42.43982069396973,163418,1082,2.3153570675849915,872,181.05,150,-201.11943534000002,0.001,,
163785,-42.55685085139862,163857,1084,2.2491091335711837,876,182.51,151,-202.66944064000003,0.001,,
164862,-42.71259693145752,164991,1089,2.421610668540001,880,192.48,151,-213.71462378,0.001,,
164930,-42.84661539863138,165000,,2.438241078573115,,,,,0.001,1000.0,586.1517495473148
165998,-42.72591945648193,166128,1103,2.4800753350257874,884,199.81,150,-222.13037616999998,0.001,,
166239,-42.792545064290366,166377,1105,2.270609396402953,888,199.88,150,-221.9767798,0.001,,
166409,-42.597684943157695,166526,1105,2.621742652810138,892,189.98,150,-211.16077590999998,0.001,,
166562,-42.66253794156588,166729,1106,2.1367505391438804,896,190.57,150,-211.989113,0.001,,
166838,-42.37150573730469,166915,1107,1.995351487940008,900,189.93,150,-211.29403181000006,0.001,,
167035,-43.1067476272583,167226,1108,2.4230383315256665,904,171.98,150,-192.15275526999994,0.001,,
167449,-42.79367243448893,167599,1110,2.630363682905833,908,173.34,150,-193.75997661000005,0.001,,
167593,-44.10380268096924,167718,1111,3.4364504367113113,912,163.48,150,-182.84664355,0.001,,
167797,-43.519278632269966,167872,1112,2.976902208830181,916,144.64,150,-162.00817580000003,0.001,,
167923,-42.465047983022835,168001,1113,2.608294862621235,920,142.46,150,-159.77682266000002,0.001,,
168940,-42.91955187988281,170000,,2.786992234110832,,,,,0.001,1000.0,609.7885739892721
170940,-43.377165077209476,171045,1136,2.529124051630497,924,159.74,150,-179.08000974000007,0.001,,
171102,-42.6299991607666,171258,1137,2.800349949621687,928,150.69,150,-169.49866144,0.001,,
173212,-43.639353004455565,173334,1147,2.7151698132753372,932,168.42,151,-189.22501284,0.001,,
174038,-44.11012045542399,174166,1151,2.6128450254599254,936,174.82,151,-196.46610808000005,0.001,,
174332,-43.63245114413175,174463,1153,3.2027290747924284,940,166.65,151,-187.49245854,0.001,,
174402,-43.29418694632394,175000,,2.7768747431891305,,,,,0.001,1000.0,541.0843672487885
176501,-44.13260870361328,176679,1172,2.763207662045956,944,186.26,150,-208.75568546000002,0.001,,
176784,-43.712372620900474,176884,1174,2.658793866634369,948,186.27,150,-208.68819709,0.001,,
176945,-44.34286071314956,177054,1175,2.727103164701751,952,176.97,150,-198.52906215000002,0.001,,
177313,-43.46986541748047,177409,1176,2.6943479138360895,956,178.53,150,-200.18075264000004,0.001,,
177448,-43.95163536071777,178509,1178,2.6163597762584687,960,186.73,151,-208.73869426,0.001,,
178688,-44.414046320421946,178798,1183,2.5394160998495003,964,178.11,151,-199.28131454,0.001,,
178874,-44.52871172768729,178963,1184,3.070690634033897,968,169.17,151,-189.86441532,0.001,,
178946,-44.302400068803266,180000,,3.223149047656493,,,,,0.001,1000.0,608.9834935378283
180004,-43.96873460966965,180092,1199,3.0207492544733245,972,166.74,150,-186.58752583999996,0.001,,
181185,-45.010918935139976,181296,1205,3.2590250253677366,976,174.39,150,-195.06993706,0.001,,
182418,-44.784076984112076,182517,1211,3.113731731907014,980,175.26,150,-195.93063642,0.001,,
182751,-44.80749352773031,183812,1213,2.721743422249953,984,176.84,151,-197.15273574,0.001,,
