rollout/ep_rew_mean,train/learning_rate,time/total_timesteps,train/actor_loss,time/fps,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,train/n_updates,time/episodes,eval/mean_reward,eval/mean_ep_length
-45.469212320000004,0.001,48400,45.519455184936525,115,418,0.09528646804392338,100.0,48200,484,,
,0.001,48500,45.64841705322266,,,0.10487552486360073,,48300,,-48.982959300000005,100.0
-45.86389315,0.001,48800,45.78400993347168,115,421,0.09611323624849319,100.0,48600,488,,
,0.001,49000,45.80282562255859,,,0.12166360959410667,,48800,,-47.47432224999999,100.0
-45.65686392,0.001,49200,45.90876579284668,115,425,0.12018951676785945,100.0,49000,492,,
,0.001,49500,46.010654296875,,,0.10045453064143657,,49300,,-49.4544948,100.0
-45.47651304000001,0.001,49600,46.01106864929199,115,429,0.12280862882733345,100.0,49400,496,,
,0.001,50000,46.09687843322754,,,0.10788083981722593,,49800,,-47.2285959,100.0
-45.86514692000001,,50000,,115,433,,100.0,,500,,
-45.54266253,0.001,50400,46.275102081298826,115,435,0.10563201069831848,100.0,50200,504,,
,0.001,50500,46.339406204223636,,,0.10910292573273182,,50300,,-52.9298247,100.0
-45.422491689999994,0.001,50800,46.53456169128418,115,439,0.10319205898791552,100.0,50600,508,,
,0.001,51000,46.60376441955567,,,0.11651141084730625,,50800,,-47.55622285,100.0
-45.79036034,0.001,51200,46.72621833801269,115,443,0.10287528689950705,100.0,51000,512,,
,0.001,51500,46.746852264404296,,,0.11277775626629591,,51300,,-65.9175926,100.0
-46.076164690000006,0.001,51600,46.81152603149414,115,447,0.1091470843553543,100.0,51400,516,,
,0.001,52000,46.88038833618164,,,0.11330799847841262,,51800,,-66.85077960000001,100.0
-45.75517085999999,,52000,,115,451,,100.0,,520,,
-45.74804894,0.001,52400,47.050010681152344,115,453,0.10479686833918095,100.0,52200,524,,
,0.001,52500,47.06298538208008,,,0.11498974062502385,,52300,,-54.81235395,100.0
-45.56652844000001,0.001,52800,47.18395919799805,115,457,0.11209887854754924,100.0,52600,528,,
,0.001,53000,47.311040267944335,,,0.10891937658190727,,52800,,-49.309839100000005,100.0
-45.38986868999999,0.001,53200,47.35134613037109,115,461,0.11377897527068853,100.0,53000,532,,
,0.001,53500,47.35020523071289,,,0.11327444564551115,,53300,,-46.792963900000004,100.0
-45.37109434,0.001,53600,47.417024841308596,114,466,0.10967200338840484,100.0,53400,536,,
,0.001,54000,47.50447494506836,,,0.126546950340271,,53800,,-49.614162199999996,100.0
-45.544126090000006,,54000,,114,470,,100.0,,540,,
-45.75859838,0.001,54400,47.8045085144043,115,472,0.10829832047224044,100.0,54200,544,,
,0.001,54500,47.74487037658692,,,0.11588879890739917,,54300,,-46.56019879999999,100.0
-45.69157410999999,0.001,54800,47.89342010498047,115,476,0.11117749005556106,100.0,54600,548,,
,0.001,55000,47.93460929870606,,,0.10018711298704147,,54800,,-47.403470750000004,100.0
-45.65867330000001,0.001,55200,47.99756332397461,114,480,0.11710406981408596,100.0,55000,552,,
,0.001,55500,48.15745292663574,,,0.107344731092453,,55300,,-48.9550641,100.0
-45.82410496000001,0.001,55600,48.134355239868164,114,484,0.12085658844560385,100.0,55400,556,,
,0.001,56000,48.309915924072264,,,0.12602981638163327,,55800,,-47.47440149999999,100.0
-45.612597400000006,,56000,,114,489,,100.0,,560,,
-45.404765700000006,0.001,56400,48.41324226379395,114,491,0.09771083258092403,100.0,56200,564,,
,0.001,56500,48.42721488952637,,,0.10007141008973122,,56300,,-48.41555280000001,100.0
-45.30625833999999,0.001,56800,48.553164901733396,114,496,0.109255151450634,100.0,56600,568,,
,0.001,57000,48.62787750244141,,,0.11696401447057723,,56800,,-48.295969549999995,100.0
-45.74026973000001,0.001,57200,48.74413230895996,114,500,0.11637168578803539,100.0,57000,572,,
,0.001,57500,48.799189987182615,,,0.10843295738101005,,57300,,-47.217102700000005,100.0
-45.77164632,0.001,57600,48.77392593383789,114,504,0.11388528149574995,100.0,57400,576,,
,0.001,58000,48.88552970886231,,,0.14148676812648772,,57800,,-54.62922775,100.0
-45.69041070999999,,58000,,113,509,,100.0,,580,,
-45.67574830999999,0.001,58400,49.08659194946289,114,511,0.112397950142622,100.0,58200,584,,
,0.001,58500,49.08049827575684,,,0.13727086663246155,,58300,,-50.50018585,100.0
-45.745920500000004,0.001,58800,49.251065979003904,113,516,0.133820815756917,100.0,58600,588,,
,0.001,59000,49.1378897857666,,,0.11524900496006012,,58800,,-50.322033899999994,100.0
-46.09661043,0.001,59200,49.27705856323242,113,520,0.12769779853522778,100.0,59000,592,,
,0.001,59500,49.47660835266113,,,0.12360791072249412,,59300,,-53.2477023,100.0
-46.22275807999999,0.001,59600,49.44660400390625,113,524,0.12915724486112595,100.0,59400,596,,
,0.001,60000,49.52531089782715,,,0.13184953071177005,,59800,,-60.81511869999999,100.0
-46.30847082,,60000,,113,528,,100.0,,600,,
-46.35028955,0.001,60400,49.71670387268066,113,530,0.13057372257113456,100.0,60200,604,,
,0.001,60500,49.65580184936523,,,0.167405466362834,,60300,,-50.878550950000005,100.0
-46.43062161000001,0.001,60800,49.84063850402832,113,534,0.13137190528213977,100.0,60600,608,,
,0.001,61000,49.933117141723635,,,0.14263325102627278,,60800,,-51.43898839999999,100.0
-46.29467144,0.001,61200,49.808080215454105,113,539,0.13330137722194194,100.0,61000,612,,
,0.001,61500,49.95520622253418,,,0.1420242890715599,,61300,,-55.13817205,100.0
-45.65592039999999,0.001,61600,50.0200138092041,113,544,0.12507050827145577,100.0,61400,616,,
,0.001,62000,50.02053215026856,,,0.12219433769583703,,61800,,-53.283682,100.0
-45.95536284000001,,62000,,112,548,,100.0,,620,,
-45.75308092,0.001,62400,50.1232869720459,113,551,0.14898440785706044,100.0,62200,624,,
,0.001,62500,50.136480560302736,,,0.12126382671296597,,62300,,-50.153662800000006,100.0
-45.74798409,0.001,62800,50.302584915161134,112,555,0.13625875018537045,100.0,62600,628,,
,0.001,63000,50.31491630554199,,,0.14579424321651457,,62800,,-50.557582700000005,100.0
-46.21996105000001,0.001,63200,50.45194480895996,112,560,0.15684807382524013,100.0,63000,632,,
,0.001,63500,50.45176239013672,,,0.14431790947914125,,63300,,-49.385803949999996,100.0
-46.344493869999994,0.001,63600,50.41503372192383,112,564,0.17070263281464576,100.0,63400,636,,
,0.001,64000,50.56648590087891,,,0.14591249205172063,,63800,,-52.6473392,100.0
-46.54695275,,64000,,112,569,,100.0,,640,,
-46.13010377,0.001,64400,50.67501808166504,112,571,0.14102318286895751,100.0,64200,644,,
,0.001,64500,50.654849243164065,,,0.14684004232287406,,64300,,-50.7937792,100.0
-46.19082283000001,0.001,64800,50.80138526916504,112,576,0.1392921917885542,100.0,64600,648,,
,0.001,65000,50.838033752441405,,,0.17583038568496703,,64800,,-52.0482435,100.0
-46.504351350000015,0.001,65200,50.86915069580078,112,580,0.15802248507738115,100.0,65000,652,,
,0.001,65500,51.13858833312988,,,0.16751431681215764,,65300,,-51.2163288,100.0
-46.380016590000004,0.001,65600,51.12036582946777,112,583,0.16944582410156728,100.0,65400,656,,
,0.001,66000,51.16059051513672,,,0.1733498352020979,,65800,,-48.478176149999996,100.0
-47.128799310000005,,66000,,112,588,,100.0,,660,,
-47.365053200000006,0.001,66400,51.27084777832031,112,591,0.16261068761348724,100.0,66200,664,,
,0.001,66500,51.39302658081055,,,0.20210173599421977,,66300,,-52.34157365,100.0
-47.80609834999999,0.001,66800,51.306938095092775,112,594,0.1779927971214056,100.0,66600,668,,
,0.001,67000,51.46555107116699,,,0.17076568230986594,,66800,,-48.60869914999999,100.0
-47.619344899999994,0.001,67200,51.38535324096679,112,598,0.1667522144317627,100.0,67000,672,,
,0.001,67500,51.542934036254884,,,0.16108640596270563,,67300,,-48.71838710000001,100.0
-47.878106040000006,0.001,67600,51.61097549438477,112,603,0.16967765398323537,100.0,67400,676,,
,0.001,68000,51.63356010437012,,,0.18703352607786655,,67800,,-44.949431600000004,100.0
-47.80563991,,68000,,111,607,,100.0,,680,,
-47.716097979999994,0.001,68400,51.656145858764646,112,609,0.18350155875086785,100.0,68200,684,,
,0.001,68500,51.67822715759277,,,0.16727169610559942,,68300,,-48.5612977,100.0
-47.64231393000001,0.001,68800,51.70721748352051,112,613,0.15401169560849667,100.0,68600,688,,
,0.001,69000,51.758299560546874,,,0.16162810176610948,,68800,,-51.3139133,100.0
