eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/std,train/n_updates,train/loss,train/clip_range,train/learning_rate,train/approx_kl,train/value_loss
50.0,31000,-46.79488439261913,,,,,,-0.013327965274220333,0.9486807473003864,0.101513671875,-1.949074376374483,0.6362447142601013,150,2.4605867862701416,0.2,0.0003,0.009144665,5.783841437846422
50.0,32000,-46.79488439261913,,,,,,,,,,,,,,,,
,32768,,16,295,111,50.0,-54.961925769999986,,,,,,,,,,,
50.0,33000,-52.2295708656311,,,,,,-0.010400574165396392,0.9535327889025211,0.069140625,-1.9079213600605727,0.6215363144874573,160,2.573162794113159,0.2,0.0003,0.0060701827,6.143929459154606
50.0,34000,-52.2295708656311,,,,,,,,,,,,,,,,
,34816,,17,294,118,50.0,-55.62805529,,,,,,,,,,,
50.0,35000,-53.74051213860512,,,,,,-0.006992652607732452,0.9596515335142612,0.05244140625,-1.8707501094788312,0.6117509603500366,170,1.7266838550567627,0.2,0.0003,0.007110261,4.1958664886653425
50.0,36000,-53.74051213860512,,,,,,,,,,,,,,,,
,36864,,18,293,125,50.0,-57.11181427,,,,,,,,,,,
50.0,37000,-54.52390790879726,,,,,,-0.00966608506278135,0.967374499887228,0.06904296875,-1.823011113703251,0.5928962230682373,180,1.7457770109176636,0.2,0.0003,0.0109881805,3.626033601909876
50.0,38000,-54.52390790879726,,,,,,,,,,,,,,,,
,38912,,19,293,132,50.0,-57.32664173000001,,,,,,,,,,,
50.0,39000,-56.4142388343811,,,,,,-0.013353993109194561,0.981610206887126,0.095654296875,-1.7447335511445998,0.5657027363777161,190,0.7372763156890869,0.2,0.0003,0.0130766025,2.0535293862223627
50.0,40000,-56.4142388343811,,,,,,,,,,,,,,,,
,40960,,20,293,139,50.0,-57.60914165,,,,,,,,,,,
50.0,41000,-55.73179761171341,,,,,,-0.007358827820280567,0.967471357434988,0.058740234375,-1.6603560872375964,0.5460219383239746,200,1.5451810359954834,0.2,0.0003,0.0067025223,3.030737721547484
50.0,42000,-55.73179761171341,,,,,,,,,,,,,,,,
50.0,43000,-55.73179761171341,,,,,,,,,,,,,,,,
,43008,,21,291,147,50.0,-57.92394109,,,,,,,,,,,
50.0,44000,-55.22301804125309,,,,,,-0.014233281151973642,0.9805721659213305,0.094189453125,-1.5815974935889243,0.5254073143005371,210,1.0457266569137573,0.2,0.0003,0.010190114,2.3218672763556243
50.0,45000,-55.22301804125309,,,,,,,,,,,,,,,,
,45056,,22,291,154,50.0,-57.134847019999995,,,,,,,,,,,
