time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/fps,rollout/ep_len_mean,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
131,196.49292738,23132,448,175,95.87,0.001,-58.69597210354275,8.92549459139506,22950,,
133,197.92053276,23495,452,176,96.07,0.001,-59.511190795898436,11.205627165900337,23313,,
135,199.49898139999996,23856,456,176,96.36,0.001,-59.710708957248265,10.993415127979235,23676,,
137,201.21458181999998,24220,460,176,96.78,0.001,-60.87357889811198,8.146604517003992,24039,,
139,202.69449547,24590,464,176,96.99,0.001,-60.87767683941385,9.676042963629184,24409,,
141,208.65660683000002,24972,468,176,99.07,0.001,-61.56806831359863,17.033616859912872,24790,,
,,25000,,,,0.001,-61.447960397471554,10.36505897667097,24882,99.75,227.22166528403758
144,211.17253633,25372,472,175,99.85,0.001,-62.845467361749385,8.036951976663927,25185,,
146,215.51006605999999,25743,476,175,101.36,0.001,-62.68131756252713,6.361771379198347,25561,,
148,207.43681652999996,26112,480,175,91.73,0.001,-62.92999590998111,8.340114808600882,25929,,
150,207.73701095999996,26482,484,176,91.72,0.001,-63.859812339146934,9.413642754052814,26302,,
152,209.07680791,26874,488,176,92.03,0.001,-63.57624485181726,12.779515122319316,26670,,
154,209.42882813999998,27245,492,176,92.05,0.001,-65.44114701291348,10.495859908296707,27064,,
,,27500,,,,0.001,-65.54693363023841,9.298353249026883,27339,92.35,206.3970174461603
157,209.40928039000002,27614,496,174,92.06,0.001,-65.85472098986308,11.249127618890059,27434,,
160,209.87717813999998,27999,500,174,92.23,0.001,-66.02593714850289,8.078995533891627,27818,,
161,211.73152088999998,28421,504,175,92.81,0.001,-66.32852561801087,9.676224953988019,28222,,
164,213.86445118,28854,508,175,93.48,0.001,-67.73377295463315,12.877138804043494,28666,,
166,216.19249722,29287,512,175,94.17,0.001,-66.96970702190788,12.515893066052309,29080,,
168,218.80384908,29731,516,175,94.94,0.001,-68.11784895535173,11.205928687427354,29554,,
,,30000,,,,0.001,-69.81772821599787,10.86314142111576,29838,105.25,242.11756652295588
172,217.37692803000002,30058,520,174,94.54,,,,,,
174,216.21956653,30433,524,174,94.67,0.001,-71.00327918643043,12.827036585636481,30264,,
176,219.17401731,30943,528,174,96.14,0.001,-72.6540057182312,13.188831670582294,30696,,
180,224.79043170000006,31586,532,175,98.93,0.001,-74.15785284887386,18.428698844129933,31317,,
183,230.18185626000002,32223,536,175,101.69,0.001,-75.92302070780003,23.997181477698874,31995,,
,,32500,,,,0.001,-77.60544380774864,15.799919085348806,32288,151.05,330.62353813052175
189,235.65271451000004,32858,540,173,104.45,0.001,-78.643602853798,17.26131142970331,32617,,
192,237.09845602999997,33390,544,173,106.2,0.001,-80.15828204977102,23.60599943070576,33176,,
195,235.95175142000005,33840,548,173,107.08,0.001,-81.28826856613159,25.487383347860774,33649,,
197,232.65544870999997,34154,552,173,106.59,0.001,-81.95990558699066,27.229040753607656,34003,,
199,234.80879396999993,34677,556,173,108.21,0.001,-83.9502466837565,25.33628278573354,34426,,
,,35000,,,,0.001,-85.6557701855171,21.69322675902669,34905,160.1,334.41072918474674
205,240.30726024999996,35313,560,172,110.93,0.001,-85.01725846302661,21.300593799846187,35062,,
208,244.96890738,35919,564,172,113.29,0.001,-87.02170237223308,24.394724468256804,35670,,
211,249.05316798999996,36521,568,172,115.49,0.001,-89.10124688989976,20.288856963900958,36300,,
213,252.55833105,37087,572,173,117.15,0.001,-91.38509402555577,34.25756627321243,36852,,
,,37500,,,,0.001,-92.36141763606541,25.911341711139002,37388,129.25,300.9850682348013
218,256.48690201,37610,576,171,118.67,,,,,,
221,260.20973336,38143,580,172,120.31,0.001,-94.46288557310362,25.243925471563596,37936,,
224,261.3052136499999,38568,584,171,120.86,0.001,-95.04809881935657,26.22342516492297,38447,,
226,263.78683234,39068,588,172,121.94,0.001,-96.74683685302735,25.583789239610944,38864,,
229,267.27853424,39585,592,172,123.4,0.001,-98.12056366384846,29.413032489280177,39369,,
,,40000,,,,0.001,-100.01636686163434,27.034493774926965,39853,117.45,286.99012499451635
233,270.5501024400001,40059,596,171,124.45,,,,,,
236,273.45318454999995,40539,600,171,125.4,0.001,-101.2935808355158,29.080220608310846,40336,,
238,274.84544409,41004,604,171,125.83,0.001,-101.57210420307361,24.711896436256275,40799,,
241,273.47100065,41384,608,171,125.3,0.001,-103.480328834663,33.53288471900811,41265,,
243,273.83614901,41831,612,171,125.44,0.001,-104.2460094028049,33.331717296882914,41631,,
245,273.87382879999996,42276,616,172,125.45,0.001,-106.22282450539726,31.547490141033073,42073,,
,,42500,,,,0.001,-106.21270122862698,39.52211105614378,42300,108.3,259.8518354803324
249,277.61097804,42723,620,171,126.65,0.001,-107.08932023481889,41.34680344177796,42523,,
251,281.01350457999996,43168,624,171,127.35,0.001,-107.54443294719114,30.688028961925184,42961,,
253,277.9388345,43519,628,171,125.76,0.001,-110.38349342346191,18.977369689941405,43321,,
256,271.67147487,43866,632,171,122.8,0.001,-109.96500789757931,33.57684098428755,43711,,
