time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/fps,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,eval/mean_ep_length,eval/mean_reward
1649,125940,946.41,8826.726289440001,860,76,,,,,,
,126000,,,,,0.001,125845,-524.8707852783203,203.61464392471314,65.9,602.8951177120209
,127000,,,,,0.001,125914,-528.0331760951451,208.54305333676547,1000.0,9319.070705127717
,128000,,,,,0.001,126914,-525.2057715454101,216.41338436317443,1000.0,9318.161410236358
,129000,,,,,0.001,127914,-526.9837673950195,222.05398890686035,282.9,2627.2945751070974
1684,129009,953.9,8895.712470050003,864,76,,,,,,
,130000,,,,,0.001,128914,-529.0626533203125,287.365864074707,1000.0,9320.983475494384
,131000,,,,,0.001,129914,-530.2785767822265,259.8895262031555,1000.0,9319.980686283112
,132000,,,,,0.001,130914,-531.4171245727539,291.77399647903445,1000.0,9320.907466506958
,133000,,,,,0.001,131914,-533.7801986083985,333.93656158828736,1000.0,9319.772119140625
1730,133009,963.28,8982.06158313,868,76,,,,,,
,134000,,,,,0.001,132914,-536.489111694336,441.1854077529907,1000.0,9319.952164173126
,135000,,,,,0.001,134881,-538.6284547414839,573.0842430169974,1000.0,9318.323280048371
,136000,,,,,0.001,135881,-539.7142653198242,718.3123642425537,1000.0,9320.02963924408
1772,136976,971.46,9057.00451904,872,77,,,,,,
,137000,,,,,0.001,136881,-540.8384038085937,545.9875051193237,1000.0,9320.040264129639
,138000,,,,,0.001,137881,-541.9319049682617,417.9187904586792,1000.0,9320.243147659301
,139000,,,,,0.001,138881,-540.7219050292969,653.49277809906,1000.0,9319.428777217865
,140000,,,,,0.001,139881,-540.9131682128906,702.5692677688598,1000.0,9317.344456195831
1815,140976,980.99,9144.71780944,876,77,,,,,,
,141000,,,,,0.001,140881,-541.4995578613281,471.8629995040894,1000.0,9317.562222957611
,142000,,,,,0.001,141881,-542.0423187255859,352.3561627731323,1000.0,9318.22542924881
,143000,,,,,0.001,142881,-542.924298828125,335.1785103263855,149.7,1384.6133115172386
,144000,,,,,0.001,142956,-541.9079421193976,364.6884009806315,1000.0,9319.963066768647
1852,144051,971.74,9056.899118809999,880,77,,,,,,
,145000,,,,,0.001,143956,-542.8704998168945,340.6949163093567,1000.0,9318.020466899872
,146000,,,,,0.001,144956,-543.3167084350586,421.6515562324524,1000.0,9316.755543136596
,147000,,,,,0.001,145956,-542.7031624145508,473.8208177719116,1000.0,9316.62775850296
,148000,,,,,0.001,146956,-541.6305478515625,421.73596171569824,1000.0,9312.790818786621
1901,148051,971.74,9056.212020900002,884,77,,,,,,
,149000,,,,,0.001,147956,-539.1020829467774,587.2754532165527,1000.0,9318.904565525056
,150000,,,,,0.001,149829,-536.9943709767193,560.0327880352496,1000.0,9317.651881313324
,151000,,,,,0.001,150829,-536.1782103271485,437.8734906311035,1000.0,9319.937406539917
1943,151924,970.47,9044.07533945,888,78,,,,,,
,152000,,,,,0.001,151829,-532.8882112426758,1449.2454561538696,1000.0,9319.634598731995
,153000,,,,,0.001,152876,-533.2651799519857,1037.6084627192072,1000.0,9321.295461940765
,154000,,,,,0.001,153876,-530.766562866211,789.3604394454956,1000.0,9320.136909198762
1979,154971,960.94,8954.94522291,892,78,,,,,,
,155000,,,,,0.001,154876,-528.8861585083008,640.0949859771729,908.5,8460.616002058983
,156000,,,,,0.001,154933,-531.7487357003348,579.0735978243644,1000.0,9317.636503601074
,157000,,,,,0.001,155933,-527.366387512207,708.2181742477417,1000.0,9320.131886863708
,158000,,,,,0.001,156933,-524.9754208374023,850.5295037460327,1000.0,9319.656687641143
2018,158028,951.51,8866.84610203,896,78,,,,,,
,159000,,,,,0.001,157933,-523.8389149780273,864.8328939971924,1000.0,9318.596378898621
,160000,,,,,0.001,159014,-522.4096940203411,862.9023991337529,1000.0,9317.18754310608
,161000,,,,,0.001,160014,-520.3018573608398,824.1805513687134,1000.0,9317.962952041626
2052,161109,942.32,8780.950059190001,900,78,,,,,,
,162000,,,,,0.001,161200,-517.8743626521184,791.6315648005559,1000.0,9317.084642219543
,163000,,,,,0.001,162200,-516.0409789428711,525.826426109314,1000.0,9317.002261161804
2076,163295,924.18,8611.529741409999,904,78,,,,,,
,164000,,,,,0.001,163200,-514.9824412841797,407.1534389801025,1000.0,9315.846615695953
,165000,,,,,0.001,164200,-512.8016813964844,510.29130948638914,1000.0,9318.246897029876
,166000,,,,,0.001,165200,-510.5502579956055,650.1945054626465,1000.0,9317.201762771607
,167000,,,,,0.001,166200,-507.2060042724609,602.6378036270141,1000.0,9320.365999698639
2123,167295,924.18,8611.423453160001,908,78,,,,,,
,168000,,,,,0.001,167287,-505.0558649107467,635.7370808919271,1000.0,9320.259815216064
,169000,,,,,0.001,168287,-503.1729384765625,647.6980186614991,1000.0,9320.097735595704
,170000,,,,,0.001,169287,-501.1265880737305,597.2619335174561,1000.0,9319.414084339141
2159,170382,915.05,8526.189947850002,912,78,,,,,,
,171000,,,,,0.001,170287,-499.7867963867188,516.0244375152588,1000.0,9320.040979862213
,172000,,,,,0.001,171287,-497.1863143310547,544.7190667800903,1000.0,9319.29279718399
,173000,,,,,0.001,172287,-493.5386078491211,599.9424926834106,1000.0,9319.445366764068
,174000,,,,,0.001,173287,-490.9981973876953,521.5641383056641,1000.0,9319.01060476303
2207,174382,915.05,8526.18250925,916,78,,,,,,
,175000,,,,,0.001,174287,-488.2248441772461,514.3387388763427,1000.0,9319.51022567749
,176000,,,,,0.001,175287,-485.3816231079102,529.607060256958,1000.0,9319.287680816651
,177000,,,,,0.001,176287,-483.4751483154297,582.9842989044189,1000.0,9320.221678829193
,178000,,,,,0.001,177287,-481.70896887207033,565.409474105835,1000.0,9320.011168289184
2254,178382,915.05,8526.20857793,920,79,,,,,,
,179000,,,,,0.001,178287,-478.38762268066404,1243.8699877319336,1000.0,9317.919309711457
,180000,,,,,0.001,179287,-474.21622631835936,1462.9651758117675,1000.0,9316.647868919372
,181000,,,,,0.001,180303,-470.5786895751953,1955.685043334961,1000.0,9316.766630363465
2290,181398,905.21,8434.30218115,924,79,,,,,,
,182000,,,,,0.001,181303,-464.6302237548828,1506.915365737915,1000.0,9318.401539134979
,183000,,,,,0.001,182303,-465.2592979125977,1189.8194763336182,1000.0,9317.900690174103
,184000,,,,,0.001,183303,-462.26873547363283,1521.4457129974364,1000.0,9318.713397312164
,185000,,,,,0.001,184303,-462.35829095458985,1012.398756767273,1000.0,9317.482623195649
2338,185398,905.21,8434.22295041,928,79,,,,,,
,186000,,,,,0.001,185303,-461.209791015625,871.2082900161743,1000.0,9316.19512577057
,187000,,,,,0.001,186385,-457.90063550995615,903.7540716776034,1000.0,9314.846152687072
,188000,,,,,0.001,187385,-458.21239782714844,1015.0868511199951,1000.0,9315.987622737885
2375,188480,896.03,8348.40060978,932,79,,,,,,
,189000,,,,,0.001,188385,-456.19645050048825,963.8652865753173,1000.0,9319.635725879669
,190000,,,,,0.001,189385,-455.417762878418,1057.4824904937743,1000.0,9318.291936016083
,191000,,,,,0.001,190385,-455.01116619873045,839.9701498794556,1000.0,9317.337767219544
,192000,,,,,0.001,191385,-454.65987518310544,834.1641917190552,1000.0,9317.952559280395
2422,192480,896.03,8348.31197465,936,79,,,,,,
,193000,,,,,0.001,192385,-454.3942816772461,1133.1795139236451,1000.0,9316.415596103669
,194000,,,,,0.001,193385,-454.2821472167969,1175.6694519958496,1000.0,9309.210632228851
,195000,,,,,0.001,194385,-451.6118197021484,1082.0331514587401,906.3,8442.922662067413
,196000,,,,,0.001,195385,-452.0341287841797,841.0815299224854,1000.0,9319.117190361023
2469,196480,896.03,8348.147599380001,940,79,,,,,,
,197000,,,,,0.001,196385,-453.21243280029296,813.5672398834229,1000.0,9318.548834228515
,198000,,,,,0.001,197385,-452.80459796142577,1097.8453025665283,1000.0,9319.524022006988
,199000,,,,,0.001,198385,-451.08453771972654,1307.8266339569093,1000.0,9318.867843914031
,200000,,,,,0.001,199385,-450.5284797973633,990.512421913147,527.3,4907.210574007035
2515,200480,896.03,8348.0460234,944,79,,,,,,
