time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/n_updates,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/value_loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/std,train/loss,eval/mean_ep_length,eval/mean_reward
50000,,,,,,240,0.7777628749608994,0.146044921875,-0.039164606740814636,0.2,91.22066144943237,-9.68299395442009,0.0003,0.01280001,0.8090023994445801,54.996726989746094,617.4,472.45303431749346
51200,25,201,-87.82169635,254,107.21,,,,,,,,,,,,,
53248,26,206,-92.54930102000002,258,114.33,250,0.7242179214954376,0.166259765625,-0.03730138301907573,0.2,63.159715223312375,-9.601836413145065,0.0003,0.014485326,0.7995864152908325,24.205678939819336,,
55000,,,,,,260,0.8140120804309845,0.191455078125,-0.04203980362217408,0.2,54.77384997308254,-9.514452144503593,0.0003,0.015576298,0.7919819355010986,6.197900772094727,647.8,484.0854936800897
55296,27,216,-90.52970834000001,254,113.49,,,,,,,,,,,,,
57344,28,221,-96.88584652000002,258,123.67,270,0.7626149654388428,0.172021484375,-0.039562559346086344,0.2,81.53581836223603,-9.451110982894898,0.0003,0.014224993,0.7866896390914917,38.81184005737305,,
59392,29,226,-83.55662252,262,109.13,280,0.846340999007225,0.271875,-0.03745336920255795,0.2,26.09539901614189,-9.343651551008225,0.0003,0.024099158,0.7729209661483765,16.40273094177246,,
60000,,,,,,290,0.13379919528961182,0.12099609375,-0.03541170060925651,0.2,142.162779211998,-9.252275681495666,0.0003,0.0113057,0.7669593691825867,49.95445251464844,283.5,208.47204721346498
61440,30,233,-89.71179602999997,263,119.89,,,,,,,,,,,,,
63488,31,237,-72.90166088,267,100.08,300,0.7831697165966034,0.172900390625,-0.0450415034982143,0.2,74.78769185543061,-9.179915469884872,0.0003,0.015542428,0.7593444585800171,28.63204574584961,,
65000,,,,,,310,0.8337718993425369,0.16875,-0.04368267086392734,0.2,66.233777987957,-9.116308978199958,0.0003,0.015176993,0.7538372278213501,36.52323532104492,415.9,301.0873896017671
65536,32,245,-47.529796700000006,266,66.63,,,,,,,,,,,,,
67584,33,250,-48.211255900000005,270,68.0,320,0.04484260082244873,0.159375,-0.04400128907291219,0.2,80.83101625442505,-9.07108296751976,0.0003,0.015829433,0.7508143186569214,37.07121276855469,,
69632,34,254,-41.10268548,273,58.6,330,0.8747231960296631,0.19091796875,-0.04791169440723024,0.2,45.43536782860756,-9.030900919437409,0.0003,0.017081846,0.7469086647033691,20.07557487487793,,
70000,,,,,,340,0.673254132270813,0.1369140625,-0.041377924967673604,0.2,75.46686753034592,-8.98059035539627,0.0003,0.012655694,0.7410562038421631,48.75613784790039,144.9,99.26551102250815
71680,35,260,-48.59096294000001,275,70.34,,,,,,,,,,,,,
73728,36,264,-58.6319924,278,87.05,350,0.8293686658143997,0.188427734375,-0.04489224348217249,0.2,43.803808850049975,-8.886345121264458,0.0003,0.016817108,0.7317867279052734,20.7924861907959,,
75000,,,,,,360,0.869767040014267,0.184814453125,-0.042501653797808105,0.2,46.537595534324645,-8.80604855120182,0.0003,0.016771488,0.725365161895752,14.1416597366333,213.8,147.7232323512435
75776,37,270,-51.88588006,279,78.41,,,,,,,,,,,,,
77824,38,275,-51.227198,282,77.9,370,0.05917781591415405,0.17734375,-0.04730309976148419,0.2,62.392475640773775,-8.74718699157238,0.0003,0.015994854,0.7209378480911255,26.588459014892578,,
79872,39,280,-44.92009741999998,284,68.75,380,0.8440622687339783,0.1892578125,-0.048949616469326426,0.2,48.78584144115448,-8.691114556789397,0.0003,0.0168169,0.7151101231575012,17.99860382080078,,
80000,,,,,,390,0.8738009035587311,0.2166015625,-0.04894602126150858,0.2,40.752314907312396,-8.607504022121429,0.0003,0.019831914,0.7068121433258057,21.353300094604492,134.3,91.32676691636443
81920,40,285,-43.93275063,286,68.73,,,,,,,,,,,,,
83968,41,289,-42.52319155000001,289,67.63,400,0.022259175777435303,0.2236328125,-0.053275635006139056,0.2,56.786212909221646,-8.530408322811127,0.0003,0.019720417,0.7017470002174377,20.91753578186035,,
85000,,,,,,410,0.8093789517879486,0.20361328125,-0.05022153518802952,0.2,47.9479117512703,-8.449576652050018,0.0003,0.019102955,0.6929008960723877,29.756868362426758,90.4,61.239144100248815
86016,42,295,-53.76915702,291,88.15,,,,,,,,,,,,,
88064,43,299,-44.087975330000006,294,75.76,420,0.8762683942914009,0.284765625,-0.053341969366010746,0.2,19.304521532356738,-8.366625890135765,0.0003,0.026916834,0.6866805553436279,6.231742858886719,,
90000,,,,,,430,0.8486279249191284,0.248681640625,-0.05475123747892212,0.2,43.690316814184186,-8.299436128139495,0.0003,0.022038471,0.6819274425506592,21.060152053833008,187.4,130.29635753557085
90112,44,305,-54.01908403,294,94.38,,,,,,,,,,,,,
92160,45,310,-53.261485809999996,297,95.13,440,0.8181114196777344,0.3921875,-0.04201281678397208,0.2,11.327149503678083,-8.169753885269165,0.0003,0.040003546,0.6677172780036926,3.639113187789917,,
94208,46,314,-39.97386965,299,73.75,450,0.7822299897670746,0.185791015625,-0.0455634977814043,0.2,41.879857605695726,-8.081091791391373,0.0003,0.015641628,0.6624921560287476,17.636768341064453,,
