rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,eval/mean_ep_length,eval/mean_reward
3.0,3,204,186,3.0,664,0.001,562,-1.654407799243927,0.02255771216005087,,
3.0,3,208,185,3.0,676,0.001,574,-1.677448332309723,0.01633843795085947,,
3.0,3,212,184,3.0,688,0.001,586,-1.7094510793685913,0.010659284889698029,,
3.0,3,216,183,3.0,700,0.001,598,-1.7127548456192017,0.0354284072915713,,
3.0,3,220,182,3.0,712,0.001,610,-1.75204199552536,0.015693812320629757,,
3.0,3,224,181,3.0,724,0.001,622,-1.6632641553878784,0.027283765375614166,,
3.0,4,228,180,3.0,736,0.001,634,-1.7693756222724915,0.025667022603253525,,
3.0,4,232,180,3.0,748,0.001,646,-1.7247996926307678,0.030978275773425896,,
3.0,4,236,179,3.0,760,0.001,658,-1.7295363545417786,0.027803622807065647,,
3.0,4,240,179,3.0,772,0.001,670,-1.7589203119277954,0.020460375274221104,,
3.0,4,244,178,3.0,784,0.001,682,-1.6873536109924316,0.023764340517421562,,
3.0,4,248,178,3.0,796,0.001,694,-1.787839114665985,0.019335924337307613,,
3.0,4,252,178,3.0,808,0.001,706,-1.7247341871261597,0.0233020077769955,,
3.0,4,256,177,3.0,820,0.001,718,-1.863703429698944,0.015025202184915543,,
3.0,4,260,177,3.0,832,0.001,730,-1.7722613215446472,0.015764285810291767,,
3.0,4,264,177,3.0,844,0.001,742,-1.7169825434684753,0.015306338046987852,,
3.0,4,268,176,3.0,856,0.001,754,-1.762492060661316,0.020289121195673943,,
3.0,4,272,175,3.0,868,0.001,766,-1.7559974193572998,0.021096371114253998,,
3.0,5,276,175,3.0,880,0.001,778,-1.7994337677955627,0.009949731330076853,,
3.0,5,280,175,3.0,892,0.001,790,-1.8228545784950256,0.008554163854569197,,
3.0,5,284,174,3.0,904,0.001,802,-1.8418817520141602,0.02455079338202874,,
3.0,5,288,173,3.0,916,0.001,814,-1.832728922367096,0.024416331201791763,,
3.0,5,292,173,3.0,928,0.001,826,-1.8161729574203491,0.03192491581042608,,
3.0,5,296,173,3.0,940,0.001,838,-1.9049575924873352,0.011314074198404947,,
3.0,5,300,173,3.0,952,0.001,850,-1.8298690915107727,0.034133683890104294,,
3.0,5,304,173,3.0,964,0.001,862,-1.8388572335243225,0.0302969035692513,,
3.0,5,308,173,3.0,976,0.001,874,-1.762548565864563,0.05554267205297947,,
3.0,5,312,172,3.0,988,0.001,886,-1.8612111806869507,0.030381614963213604,,
,,,,,1000,0.001,898,-1.783672034740448,0.04107795966168245,3.0,3.0
3.0,5,316,171,3.0,1000,,,,,,
3.0,5,320,171,3.0,1012,0.001,910,-1.8532406091690063,0.024742344704767067,,
3.0,5,324,170,3.0,1024,0.001,922,-1.903452217578888,0.010013526305556297,,
3.0,6,328,170,3.0,1036,0.001,934,-1.7620460987091064,0.019378279335796833,,
3.0,6,332,170,3.0,1048,0.001,946,-1.7756170630455017,0.03251857993503412,,
3.0,6,336,169,3.0,1060,0.001,958,-1.93912672996521,0.042247699573636055,,
3.0,6,340,169,3.0,1072,0.001,970,-1.838408648967743,0.020195687810579937,,
3.0,6,344,169,3.0,1084,0.001,982,-1.8193086385726929,0.03221779502928257,,
3.0,6,348,169,3.0,1096,0.001,994,-1.8595355153083801,0.02767893361548583,,
3.0,6,352,169,3.0,1108,0.001,1006,-1.897729516029358,0.03238622657954693,,
3.0,6,356,168,3.0,1120,0.001,1018,-1.9763484597206116,0.01183916007479032,,
3.0,6,360,168,3.0,1132,0.001,1030,-1.860789954662323,0.028486308952172596,,
3.0,6,364,168,3.0,1144,0.001,1042,-1.8900839686393738,0.03973680424193541,,
3.0,6,368,168,3.0,1156,0.001,1054,-1.9747745394706726,0.029443221166729927,,
3.0,6,372,168,3.0,1168,0.001,1066,-1.8426240682601929,0.012629764464994272,,
3.0,7,376,167,3.0,1180,0.001,1078,-1.9163390398025513,0.019417591392993927,,
3.04,7,380,167,3.04,1196,0.001,1092,-1.974577267964681,0.01307921316474676,,
3.13,7,384,167,3.13,1217,0.001,1112,-2.0933489004770913,0.02813969776034355,,
3.56,7,388,169,3.56,1272,0.001,1148,-2.160328686237335,0.04374096333049238,,
4.17,8,392,166,4.17,1345,0.001,1231,-2.296767897076077,0.04962885550533732,,
4.54,8,396,165,4.54,1394,0.001,1283,-2.4243020670754567,0.0452704413660935,,
4.75,8,400,164,4.75,1427,0.001,1320,-2.5148537158966064,0.07611722871661186,,
4.94,8,404,164,4.94,1458,0.001,1352,-2.633530557155609,0.07471876335330307,,
5.11,9,408,164,5.11,1487,0.001,1379,-2.520386298497518,0.07754810154438019,,
5.25,9,412,163,5.25,1513,0.001,1408,-2.648624897003174,0.09266364425420762,,
5.42,9,416,163,5.42,1542,0.001,1433,-2.6091835498809814,0.09562199097126722,,
5.6,9,420,162,5.6,1572,0.001,1466,-2.6319419145584106,0.11954864114522934,,
