rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/std,train/n_updates,train/explained_variance,train/learning_rate,train/clip_fraction,train/approx_kl,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,eval/mean_reward,eval/mean_ep_length
37.55,21,105,43008,175.75818838000004,407,0.9809738397598267,200,0.3792518973350525,0.0003,0.18623046875,0.020010188,0.2,-23.823435491323472,-0.06407353129761759,923.9839113235473,458.4183349609375,,
,,,45000,,,0.9798431396484375,210,0.3755331039428711,0.0003,0.1890625,0.020751815,0.2,-23.781399130821228,-0.0629676866461523,1099.1326456069946,480.1980895996094,347.0347208738327,74.5
40.37,22,111,45056,189.75813427000006,404,,,,,,,,,,,,,
38.24,23,115,47104,180.46013597,407,0.9781010746955872,220,0.4139745831489563,0.0003,0.191455078125,0.021294026,0.2,-23.757199746370315,-0.0621428435377311,1043.9643241882325,455.3845520019531,,
40.67,24,120,49152,191.58751868,409,0.9783309698104858,230,0.3996797800064087,0.0003,0.18701171875,0.019780777,0.2,-23.746116548776627,-0.0620046308322344,1016.119771194458,483.53424072265625,,
,,,50000,,,0.9775960445404053,240,0.40461671352386475,0.0003,0.191845703125,0.02317517,0.2,-23.737517070770263,-0.06331729059456848,1193.8624576568604,616.3553466796875,440.5902250945568,86.5
45.66,25,127,51200,215.11345505,402,,,,,,,,,,,,,
46.5,26,131,53248,219.42904052000003,403,0.977270245552063,250,0.3893163800239563,0.0003,0.194873046875,0.021469958,0.2,-23.72985228896141,-0.060359172715106976,1275.501498222351,541.5684204101562,,
,,,55000,,,0.9761837124824524,260,0.4137127995491028,0.0003,0.177587890625,0.019821987,0.2,-23.71840680837631,-0.05762734386662487,1109.4789545059205,539.8671875,364.7375984489918,76.85
44.37,27,138,55296,210.65408172000002,397,,,,,,,,,,,,,
48.36,28,143,57344,227.03535383000002,399,0.9741673469543457,270,0.4944387674331665,0.0003,0.193505859375,0.021502959,0.2,-23.687222570180893,-0.05971772432676516,1079.8806814193726,489.3374328613281,,
50.43,29,147,59392,235.36479281,401,0.9732852578163147,280,0.4209364652633667,0.0003,0.19501953125,0.022058275,0.2,-23.663010287284852,-0.06054766224115156,1257.290036201477,513.6478271484375,,
,,,60000,,,0.9729014039039612,290,0.4736618995666504,0.0003,0.1830078125,0.021258704,0.2,-23.649347245693207,-0.05718059862701921,1079.6202754974365,443.5856628417969,447.2235758244991,93.55
50.01,30,154,61440,234.35264902999995,397,,,,,,,,,,,,,
49.43,31,159,63488,237.65440127,398,0.9725534915924072,300,0.4687555432319641,0.0003,0.174755859375,0.02020938,0.2,-23.640719139575957,-0.05770575110218488,1137.202661895752,544.9638061523438,,
,,,65000,,,0.9717851281166077,310,0.4682530164718628,0.0003,0.163623046875,0.019036433,0.2,-23.62919843196869,-0.05475323223508895,1246.1640295028687,462.11614990234375,284.8679112792015,57.9
51.95,32,164,65536,248.68843783000008,397,,,,,,,,,,,,,
52.99,33,169,67584,253.7361745,399,0.9714362025260925,320,0.48581814765930176,0.0003,0.139013671875,0.016674493,0.2,-23.62144386768341,-0.05084248587954789,1114.153351020813,430.6946105957031,,
57.4,34,173,69632,272.51605422000006,401,0.968993604183197,330,0.5053645074367523,0.0003,0.152099609375,0.01824564,0.2,-23.59544794559479,-0.0499096217128681,1212.4502935409546,687.6973266601562,,
,,,70000,,,0.969706118106842,340,0.4986090660095215,0.0003,0.143212890625,0.018232308,0.2,-23.579891985654832,-0.04983465278637596,1268.6371194839478,671.8402709960938,464.02633147239686,92.15
55.14,35,180,71680,261.76103633,396,,,,,,,,,,,,,
56.86,36,185,73728,269.03276712,396,0.968010425567627,350,0.501280665397644,0.0003,0.12705078125,0.015549095,0.2,-23.57066645026207,-0.05013612976763397,1064.1883897781372,448.1413879394531,,
,,,75000,,,0.9666571021080017,360,0.565942257642746,0.0003,0.156884765625,0.018450312,0.2,-23.543040788173677,-0.04922083264682442,1065.3008375167847,493.2718811035156,411.8173541665077,79.9
55.43,37,192,75776,261.52629659,394,,,,,,,,,,,,,
55.7,38,196,77824,264.94674377,395,0.9662896394729614,370,0.5670464038848877,0.0003,0.16162109375,0.018532336,0.2,-23.5271386384964,-0.051811488665407524,977.2240219116211,452.9674377441406,,
54.8,39,201,79872,259.95182958000004,397,0.9670836329460144,380,0.6150123775005341,0.0003,0.160009765625,0.019316953,0.2,-23.529099494218826,-0.052544310165103525,873.7466054916382,319.8786926269531,,
,,,80000,,,0.9664483070373535,390,0.5725748240947723,0.0003,0.178759765625,0.021031491,0.2,-23.529590564966202,-0.05537432782002725,947.1012857437133,380.2210388183594,451.71806528568266,87.3
55.9,40,207,81920,268.21454269,394,,,,,,,,,,,,,
57.57,41,211,83968,276.21390182999994,396,0.9655760526657104,400,0.6221014857292175,0.0003,0.162451171875,0.01992412,0.2,-23.516088098287582,-0.051348941671312785,957.8315923690795,410.30926513671875,,
,,,85000,,,0.9657636284828186,410,0.6551523804664612,0.0003,0.16123046875,0.01969134,0.2,-23.509255510568618,-0.051254867593524975,822.0569775581359,309.7476806640625,432.0825991153717,82.75
57.42,42,218,86016,275.91487354,393,,,,,,,,,,,,,
56.46,43,222,88064,270.27944169,394,0.9671011567115784,420,0.615860253572464,0.0003,0.139404296875,0.016372953,0.2,-23.523130625486374,-0.04633576952619478,900.8553082466126,439.1677551269531,,
,,,90000,,,0.9674578309059143,430,0.590886116027832,0.0003,0.131591796875,0.016384888,0.2,-23.53612375855446,-0.04839797955646645,978.8047744750977,341.203857421875,389.78624831438066,75.35
57.9,44,229,90112,277.4893912,392,,,,,,,,,,,,,
60.58,45,233,92160,291.63956795000007,393,0.9658860564231873,440,0.6541410684585571,0.0003,0.142333984375,0.016709166,0.2,-23.526206696033476,-0.04678741748793982,878.0083456993103,402.4776916503906,,
63.05,46,238,94208,305.4531845,394,0.9645000696182251,450,0.6953482031822205,0.0003,0.16279296875,0.01838553,0.2,-23.49792304635048,-0.0508874357881723,835.6039499282837,366.4697570800781,,
,,,95000,,,0.9648508429527283,460,0.7230669856071472,0.0003,0.1591796875,0.019023145,0.2,-23.494089704751968,-0.050719252965063785,731.0069536209106,264.3943786621094,332.24968602657316,61.8
63.54,47,244,96256,308.47161623999995,393,,,,,,,,,,,,,
61.48,48,249,98304,298.18080973,393,0.9645887017250061,470,0.6999384760856628,0.0003,0.12802734375,0.016482918,0.2,-23.48997061252594,-0.045805585529888046,728.338587474823,280.60089111328125,,
,,,100000,,,0.9637570381164551,480,0.7503384202718735,0.0003,0.154150390625,0.019795194,0.2,-23.480785059928895,-0.04954965252254624,645.944921207428,258.0030517578125,318.76280319094656,60.7
61.36,49,256,100352,296.72138341999994,391,,,,,,,,,,,,,
60.61,50,261,102400,293.9369958,392,0.9625105261802673,490,0.702992707490921,0.0003,0.12705078125,0.016647749,0.2,-23.46153306365013,-0.04478100982669275,776.2277868270874,366.1107177734375,,
64.1,51,265,104448,307.45160646,393,0.9613033533096313,500,0.7420593202114105,0.0003,0.143408203125,0.017912216,0.2,-23.440160578489305,-0.04596342899021692,622.4803903579711,188.81910705566406,,
,,,105000,,,0.9609864354133606,510,0.624211460351944,0.0003,0.116943359375,0.016008042,0.2,-23.429157549142836,-0.0417415721778525,783.839755821228,280.64947509765625,289.0161080300808,55.55
66.0,52,271,106496,313.98774878999996,391,,,,,,,,,,,,,
66.54,53,276,108544,317.54996748,393,0.9612692594528198,520,0.6674206852912903,0.0003,0.116357421875,0.01453401,0.2,-23.42609038352966,-0.04155911165580619,792.1543357849121,276.0426940917969,,
,,,110000,,,0.9616218209266663,530,0.7049213349819183,0.0003,0.0978515625,0.012385915,0.2,-23.43135196566582,-0.038932076105265875,756.2572671890259,301.0724182128906,295.42643614411355,56.55
65.01,54,281,110592,311.86294571999997,392,,,,,,,,,,,,,
64.14,55,286,112640,309.35124821,393,0.961319625377655,540,0.7614171057939529,0.0003,0.13662109375,0.017718345,0.2,-23.4314426779747,-0.04814216056547593,588.724514579773,220.4568634033203,,
64.16,56,291,114688,309.36137934,394,0.9615859985351562,550,0.708605021238327,0.0003,0.122119140625,0.014762354,0.2,-23.43168026804924,-0.04172566201596055,788.5158018112182,302.46240234375,,
,,,115000,,,0.9610012173652649,560,0.7466118931770325,0.0003,0.133203125,0.015846154,0.2,-23.42877893447876,-0.04593148884014227,609.1497217178345,256.1182861328125,315.97336970567704,60.3
65.39,57,297,116736,315.40064585,392,,,,,,,,,,,,,
65.24,58,302,118784,314.49096825000004,392,0.9610456824302673,570,0.7649013698101044,0.0003,0.123681640625,0.016877346,0.2,-23.424560642242433,-0.04422360340831801,609.8822422027588,219.8778533935547,,
,,,120000,,,0.9606768488883972,580,0.7507480382919312,0.0003,0.11220703125,0.015134488,0.2,-23.420344507694246,-0.04335488466604147,589.6482104301452,204.68946838378906,328.925099208951,62.3
64.57,59,308,120832,311.88271561,391,,,,,,,,,,,,,
63.65,60,313,122880,306.59903978,391,0.9596757292747498,590,0.8296348601579666,0.0003,0.121826171875,0.014962846,0.2,-23.408469492197035,-0.045002890791511166,440.3906107902527,142.44801330566406,,
63.18,61,318,124928,304.55743299,392,0.959700882434845,600,0.7787221968173981,0.0003,0.127783203125,0.017844453,0.2,-23.39925879240036,-0.04287602865078952,522.6038749694824,319.8200988769531,,
,,,125000,,,0.9589693546295166,610,0.7931436449289322,0.0003,0.139501953125,0.018063337,0.2,-23.39287162423134,-0.046512601897120476,491.8871840953827,232.5678253173828,331.8749027311802,61.5
63.03,62,324,126976,305.44106355,391,,,,,,,,,,,,,
63.69,63,328,129024,308.60894852,392,0.957018256187439,620,0.8085613548755646,0.0003,0.1421875,0.018509846,0.2,-23.36942728757858,-0.04741395709861536,512.7993930339813,164.70436096191406,,
,,,130000,,,0.9572219848632812,630,0.780353844165802,0.0003,0.108837890625,0.0152634485,0.2,-23.35310943722725,-0.039017769077327104,512.5172457218171,260.16400146484375,314.5474977195263,58.75
64.28,64,334,131072,311.28391533999996,391,,,,,,,,,,,,,
65.55,65,339,133120,317.57234169000003,391,0.9576079249382019,640,0.7571681290864944,0.0003,0.122216796875,0.017049616,0.2,-23.36153553724289,-0.04161526660900563,602.5083530902863,212.14906311035156,,
,,,135000,,,0.9581978917121887,650,0.8234677016735077,0.0003,0.130810546875,0.016643088,0.2,-23.367465800046922,-0.044298995545250366,424.93612632751467,168.16629028320312,359.27131365686654,66.95
65.59,66,346,135168,316.76654259000003,390,,,,,,,,,,,,,
65.35,67,350,137216,317.16319816,391,0.9580881595611572,660,0.8187945783138275,0.0003,0.131103515625,0.017333992,0.2,-23.371666997671127,-0.04271137974574231,437.7044183254242,137.01161193847656,,
