time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/entropy_loss,train/loss,train/clip_range,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/learning_rate,train/n_updates,train/explained_variance,train/std,eval/mean_reward,eval/mean_ep_length
1032,208896,202,41.251368169999985,35.51,102,0.3912109375,-13.869946616888047,14.833436965942383,0.2,-0.07074762951815501,32.24195876121521,0.040212587,0.0003,1010,0.6828540563583374,0.768772542476654,,
,210000,,,,,0.3841796875,-13.852641209959984,22.869157791137695,0.2,-0.0743868690013187,39.576101863384245,0.041649945,0.0003,1020,0.5685915946960449,0.7686259150505066,64.61975816115736,49.8
1044,210944,202,40.10581202,34.33,103,,,,,,,,,,,,,
1055,212992,201,39.47827654,34.59,104,0.390869140625,-13.830077204108239,11.09839916229248,0.2,-0.07282407032325863,36.150242960453035,0.042943936,0.0003,1030,0.6524513959884644,0.7665013670921326,,
,215000,,,,,0.353125,-13.807545357942582,18.19931983947754,0.2,-0.07360330664669164,45.35653825998306,0.03450183,0.0003,1040,0.5626935064792633,0.766136646270752,68.87743789553642,52.0
1068,215040,201,38.24107771,33.19,105,,,,,,,,,,,,,
1077,217088,201,39.80938856,34.5,106,0.38525390625,-13.800069558620454,21.967514038085938,0.2,-0.07494548819377087,47.27613109946251,0.039545298,0.0003,1050,0.5917195975780487,0.7654503583908081,,
1087,219136,201,43.251660799999996,36.97,107,0.383984375,-13.782671099901199,11.357922554016113,0.2,-0.0762806982616894,41.971203684806824,0.03870633,0.0003,1060,0.6247335076332092,0.7641014456748962,,
,220000,,,,,0.37568359375,-13.751521873474122,14.274170875549316,0.2,-0.07191113592416513,51.248343294858934,0.04025144,0.0003,1070,0.5604179203510284,0.7618365287780762,66.9734904795885,49.8
1099,221184,201,40.74639083,35.67,108,,,,,,,,,,,,,
1110,223232,201,40.77016325,36.21,109,0.42333984375,-13.715554147958755,14.17253589630127,0.2,-0.07656904413597658,38.47692254781723,0.04600298,0.0003,1080,0.6444917321205139,0.7594790458679199,,
,225000,,,,,0.39599609375,-13.664883616566659,17.645864486694336,0.2,-0.0770666139520472,48.186572688817975,0.040480696,0.0003,1090,0.5229726135730743,0.7560471296310425,69.41943549364805,52.8
1121,225280,200,42.383539729999995,36.9,110,,,,,,,,,,,,,
1132,227328,200,43.31121434,37.65,111,0.411962890625,-13.630257451534272,26.002294540405273,0.2,-0.07569847539707553,44.83374895453453,0.04167375,0.0003,1100,0.6184762418270111,0.7546787261962891,,
