time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/entropy_loss,train/learning_rate,train/clip_range,train/std,train/n_updates,train/loss,train/value_loss,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
403,-299.09128871,19,38912,96,16.05,-15.761308172345162,0.0003,0.2,0.8986905813217163,180,3548.9755859375,7514.0282333374025,0.03104490041732788,0.339404296875,-0.08510908205935266,0.035735734,,
,,,40000,,,-15.734500873088837,0.0003,0.2,0.8972467184066772,190,2996.006103515625,6981.341767883301,0.04628938436508179,0.293017578125,-0.08188873844919727,0.029857237,22.331333121820354,13.55
405,-300.06346962000003,20,40960,101,16.4,,,,,,,,,,,,,
407,-296.62117691000003,21,43008,105,16.23,-15.693010520935058,0.0003,0.2,0.8929966688156128,200,3694.96728515625,6743.411470031739,0.11530846357345581,0.245751953125,-0.07544139813398942,0.025556816,,
,,,45000,,,-15.629012873768806,0.0003,0.2,0.8876619338989258,210,3067.791748046875,6137.931436157227,0.17100399732589722,0.23515625,-0.07423355570062995,0.023721533,20.26372620332986,13.8
408,-307.50723571,22,45056,110,16.71,,,,,,,,,,,,,
412,-292.9859865,23,47104,114,15.91,-15.561428421735764,0.0003,0.2,0.8830172419548035,220,3512.510986328125,6168.692652893066,0.1949731707572937,0.246337890625,-0.07390951536071952,0.027103007,,
414,-290.93375090999996,24,49152,118,16.24,-15.48948215842247,0.0003,0.2,0.8776339888572693,230,2885.314208984375,5132.887926483154,0.2506532073020935,0.21337890625,-0.07032480399357155,0.022553924,,
,,,50000,,,-15.436397650837899,0.0003,0.2,0.8746261596679688,240,2078.591796875,4840.559844970703,0.2763804793357849,0.222509765625,-0.07079714580613654,0.02314764,14.324920145759824,12.55
416,-298.73175316,25,51200,122,16.57,,,,,,,,,,,,,
418,-283.70292125000003,26,53248,127,15.82,-15.385537773370743,0.0003,0.2,0.8703567981719971,250,3224.456787109375,5413.143499755859,0.2978687882423401,0.201806640625,-0.06704737989639398,0.02134459,,
,,,55000,,,-15.331571343541146,0.0003,0.2,0.8669147491455078,260,1827.01416015625,4266.707691192627,0.3481850028038025,0.226220703125,-0.07136652902700007,0.024736593,15.891254911245777,12.65
419,-289.83305720000004,27,55296,131,16.14,,,,,,,,,,,,,
