time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
335575,116,2879,251.67,-279.68791457000003,1552,335457,-48.76837947845459,5.921504793286323,0.001,,
336813,116,2886,261.1,-289.89662243999993,1556,336626,-48.67048969268799,6.20517751955986,0.001,,
337039,116,2888,260.11,-288.99766053,1560,336934,-48.33479595184326,6.241343800838177,0.001,,
339162,116,2900,260.11,-288.94122543000003,1564,338982,-48.741414308547974,6.965224504470825,0.001,,
340000,,,,,,339073,-48.49383917914496,6.785803061265212,0.001,1000.0,255.4544684390781
341304,116,2923,276.16,-306.9184806,1568,341121,-48.2461191813151,6.789492636919022,0.001,,
341689,116,2925,265.96,-295.9519219,1572,341410,-49.478758811950684,7.768141388893127,0.001,,
341965,116,2927,267.92,-298.53065571999997,1576,341745,-48.06878171648298,6.713324291365487,0.001,,
342216,116,2929,267.88,-298.56474320999996,1580,342090,-47.886137892560264,6.235755104228763,0.001,,
343349,116,2936,277.38,-309.07632515,1584,343225,-47.922818168640134,6.40340331864357,0.001,,
344589,117,2942,275.42,-306.78185370000006,1588,344346,-48.001287187848774,5.987563742531671,0.001,,
345000,,,,,,344643,-48.20070388100364,6.288363875283135,0.001,984.1,367.69122100269885
345732,116,2957,264.06,-294.07801069,1592,,,,,,
346859,116,2968,271.72,-303.03791929,1596,346714,-47.91998277391706,6.846493261510676,0.001,,
347925,117,2970,270.98,-302.31761099000005,1600,346836,-47.86874615062367,8.111402917991985,0.001,,
350000,,,,,,349851,-48.106134687151226,5.9340450445810955,0.001,1000.0,324.5430712320085
350010,116,2999,278.83,-310.12865871,1604,,,,,,
350173,116,3000,268.55,-298.83435629,1608,350030,-46.87358181293194,5.045233488082886,0.001,,
351377,116,3008,277.18,-307.9473183,1612,351273,-47.514694549560545,6.805712133288384,0.001,,
353487,117,3020,295.61,-328.47379623,1616,353371,-47.75556359639982,7.104441030915961,0.001,,
354619,117,3027,285.16,-317.31762657,1620,354509,-47.544808700561525,6.529095949172974,0.001,,
355000,,,,,,354530,-46.88522512262518,6.79803779011681,0.001,1000.0,530.4786479704896
355755,116,3046,293.05,-325.91307419000003,1624,355624,-48.04470952351888,6.869565515946119,0.001,,
358806,117,3059,321.61,-357.61169626,1628,357717,-47.04083404541016,6.354596853256226,0.001,,
360000,,,,,,359717,-47.445930557250975,6.4432389461994175,0.001,1000.0,458.55989200787155
360921,116,3085,331.78,-369.02258227,1632,360789,-48.00607819027371,6.18597776028845,0.001,,
361205,116,3087,321.27,-357.61542683,1636,361095,-47.09405168805804,6.2110580614634925,0.001,,
363369,117,3099,330.92,-368.38981556,1640,363159,-47.371211654663085,6.036027008771897,0.001,,
365000,,,,,,364319,-46.46106659738641,5.543438911437988,0.001,917.5,649.1603627848439
365419,117,3120,340.09,-378.44999199,1644,365319,-47.087054512023926,6.077678563952446,0.001,,
365660,117,3121,312.25,-347.92358661,1648,365489,-47.192884298471306,6.688205159627474,0.001,,
366796,117,3128,312.21,-348.07186122,1652,366695,-46.95617357889811,5.916489382259181,0.001,,
367948,117,3134,311.35,-347.36537217000006,1656,367812,-47.17704766082764,6.317251276493073,0.001,,
370000,,,,,,369890,-47.35112166404724,7.316371310141779,0.001,1000.0,631.8786159064737
370979,117,3158,339.4,-377.76765969,1660,,,,,,
371088,117,3163,319.26,-355.35402947,1664,370957,-46.86986705235073,7.153559255599975,0.001,,
372159,117,3169,308.55,-343.25131348999986,1668,372048,-47.039581934611,7.693626761436462,0.001,,
374198,117,3180,325.09,-361.09562365,1672,374093,-47.538916580200194,7.951286446809768,0.001,,
375000,,,,,,374123,-48.190848214285715,6.571445022310529,0.001,703.0,519.7899107010569
375295,117,3195,333.3,-369.59308672000014,1676,375149,-47.34470338087816,5.803391979290889,0.001,,
376391,117,3201,341.75,-378.90496440000004,1680,376260,-47.468574211120604,6.334811138868332,0.001,,
376595,117,3202,332.46,-368.54380928000006,1684,376449,-47.760910987854004,5.863729119300842,0.001,,
377703,117,3204,331.14,-367.22074233,1688,376614,-47.05232832166884,6.77045106437971,0.001,,
378773,117,3211,330.41,-366.43704558999997,1692,377684,-47.80640125274658,6.383959007263184,0.001,,
380000,,,,,,379733,-48.00387525558472,6.961988663186832,0.001,1000.0,769.2150846104138
381822,117,3239,349.63,-387.22601900999996,1696,380733,-47.67601626586914,6.516581218361854,0.001,,
381959,117,3244,340.34,-376.78092497,1700,381845,-47.792195383707686,5.9595557928085325,0.001,,
383086,117,3250,330.76,-366.29271441,1704,382945,-48.127095752292206,4.745489736398061,0.001,,
384326,118,3253,341.53,-378.2758599,1708,383237,-47.24872809648514,6.208800076507032,0.001,,
384627,118,3259,332.5,-368.64136611999993,1712,384474,-47.204163789749146,4.902865469455719,0.001,,
385000,,,,,,384538,-46.830113887786865,6.061849247664213,0.001,903.2,708.6387224553152
386164,117,3277,326.77,-361.71565282000006,1716,386044,-47.566823412024455,5.642053167716316,0.001,,
387248,118,3279,326.29,-360.85147453999997,1720,386159,-47.79176087812944,6.08438171511111,0.001,,
388309,118,3290,325.54,-360.11540266,1724,388196,-47.91093054199219,6.339881078362465,0.001,,
390000,,,,,,389220,-47.967429122924806,6.71242449259758,0.001,705.1,527.4313061602413
391347,118,3309,325.41,-359.87334130000005,1728,390258,-48.127583955463614,6.235737857065703,0.001,,
393404,118,3321,324.83,-358.94283249,1732,392315,-48.144218826293944,8.543387377262116,0.001,,
395000,,,,,,394373,-48.67225239562988,7.5001436777114865,0.001,606.6,494.0895945274271
395462,118,3339,342.57,-378.9686726600001,1736,,,,,,
396751,118,3350,333.82,-369.71829224,1740,396614,-49.106254837729715,7.8581164885650985,0.001,,
399530,118,3362,341.11,-377.86093225,1744,398680,-49.0099638748169,6.459310293912887,0.001,,
399604,118,3366,339.44,-376.08403117,1748,399496,-48.94003404889788,5.22505541200991,0.001,,
399920,118,3367,331.24,-367.04320053,1752,399692,-49.88865743364607,5.435931603592563,0.001,,
400000,,,,,,399831,-48.65724121314892,5.768535747802515,0.001,907.2,691.8040112378076
400995,118,3383,330.47,-365.81852465000003,1756,400891,-49.12620964050293,4.543920183181763,0.001,,
401246,118,3384,302.67,-335.68006936999996,1760,401082,-49.177092625544624,5.392119196745066,0.001,,
401430,118,3385,303.42,-336.5118851099999,1764,401289,-49.58976862980769,6.0004454513765735,0.001,,
