train/ent_coef,train/actor_loss,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/ent_coef_loss,time/episodes,time/fps,time/total_timesteps,train/n_updates,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
0.044618286192417145,-306.90631103515625,,,0.0003,19.27924346923828,-1.1355280876159668,,,985000,984899,,5231.448466868698,996.0
0.04507597163319588,-317.3802490234375,14125,926.78,0.0003,54.94306945800781,-0.7011246085166931,1296,69,986039,985938,4525.525142639999,,
0.04437202215194702,-314.205810546875,,,0.0003,29.495506286621094,0.9589389562606812,,,990000,989899,,5179.593680323567,1000.0
0.04458580166101456,-305.5670471191406,14183,926.78,0.0003,20.477333068847656,-0.5438671708106995,1300,69,990039,989938,4537.0448658000005,,
0.04500787332653999,-312.56787109375,14224,923.97,0.0003,26.13191795349121,-1.5066981315612793,1304,69,993758,993657,4531.73422133,,
0.04480311647057533,-319.86761474609375,,,0.0003,19.3631591796875,-0.10660973191261292,,,995000,994899,,4907.409464762267,937.1
0.045684732496738434,-315.23284912109375,14281,923.97,0.0003,21.146839141845703,0.18053176999092102,1308,69,997758,997657,4499.487039070001,,
0.04492960125207901,-320.69671630859375,,,0.0003,33.91685485839844,-0.750018835067749,,,1000000,999899,,4652.101330530597,907.4
0.045078668743371964,-326.2685546875,14338,930.49,0.0003,49.34479522705078,-0.7681148052215576,1312,69,1001758,1001657,4543.058241170001,,
0.047196779400110245,-328.532470703125,,,0.0003,23.439210891723633,0.2814014256000519,,,1005000,1004899,,5180.637761460314,1000.0
0.04677024111151695,-331.6878662109375,14393,932.33,0.0003,25.720069885253906,1.9276249408721924,1316,69,1005452,1005351,4560.06767511,,
0.045957889407873154,-322.7994384765625,14438,942.21,0.0003,30.802078247070312,2.0923616886138916,1320,69,1009452,1009351,4647.62917637,,
0.046302929520606995,-328.9022521972656,,,0.0003,27.666353225708008,0.0545329749584198,,,1010000,1009899,,4441.703449447732,922.7
0.045759107917547226,-345.49981689453125,14490,957.11,0.0003,40.486507415771484,1.1918208599090576,1324,69,1013013,1012912,4731.50187234,,
0.045388028025627136,-347.06005859375,,,0.0003,47.905738830566406,2.2736220359802246,,,1015000,1014899,,3908.388458060729,852.6
0.047273900359869,-320.21783447265625,14547,962.27,0.0003,36.859596252441406,-0.7134977579116821,1328,69,1017013,1016912,4765.91515559,,
0.04734103009104729,-340.87530517578125,,,0.0003,16.428775787353516,0.6325216889381409,,,1020000,1019899,,5243.451616215985,1000.0
0.047067027539014816,-339.4852294921875,14601,960.3,0.0003,24.365331649780273,0.8944085240364075,1332,69,1020816,1020715,4769.89489792,,
0.04680237919092178,-329.3180236816406,14644,960.0,0.0003,28.325870513916016,1.2964071035385132,1336,69,1024786,1024685,4781.683815490001,,
0.04718518257141113,-337.5523986816406,,,0.0003,20.589508056640625,-0.6347541809082031,,,1025000,1024899,,5347.090980515163,1000.0
0.04638675972819328,-337.0031433105469,14693,951.39,0.0003,20.64342498779297,-1.4403414726257324,1340,69,1027925,1027824,4802.57461632,,
0.04761585593223572,-341.67413330078125,,,0.0003,18.867774963378906,-0.19793939590454102,,,1030000,1029899,,5349.586958511718,1000.0
0.04704231023788452,-348.5936279296875,14745,952.91,0.0003,18.83685302734375,-0.648105800151825,1344,69,1031411,1031310,4821.2147669099995,,
0.046892907470464706,-341.42767333984375,,,0.0003,18.500591278076172,-0.18708175420761108,,,1035000,1034899,,4944.037826729519,924.1
0.0474681593477726,-337.28363037109375,14803,952.91,0.0003,26.853633880615234,-0.47919270396232605,1348,69,1035411,1035310,4831.44760659,,
0.047565724700689316,-338.76837158203125,14847,962.81,0.0003,17.53022003173828,0.23397491872310638,1352,70,1039411,1039310,4892.69309142,,
0.04774818196892738,-338.80596923828125,,,0.0003,24.702924728393555,-0.0961819514632225,,,1040000,1039899,,4712.259829611704,885.8
0.04860110208392143,-351.8074951171875,14903,962.81,0.0003,32.24440383911133,2.3056416511535645,1356,70,1043411,1043310,4903.06668881,,
0.04823785275220871,-328.4563903808594,,,0.0003,16.812223434448242,-0.2614913582801819,,,1045000,1044899,,4736.881087906751,901.1
