rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/approx_kl,train/loss,train/value_loss,train/clip_fraction,train/std,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_range,train/explained_variance,eval/mean_ep_length,eval/mean_reward
68639.43190704001,133,198656,1489,1000.0,97,0.041403152,604073.625,1253851.66171875,0.3185546875,0.871813952922821,960,-0.07348982835246716,-21.78091276884079,0.0003,0.2,-3.5762786865234375e-07,,
,,200000,,,,0.052679382,641010.0,1281641.7373046875,0.3837890625,0.8710436224937439,970,-0.09397645791177638,-21.758375453948975,0.0003,0.2,2.1636486053466797e-05,1000.0,70289.06734600067
68814.51802754,132,200704,1517,1000.0,98,,,,,,,,,,,,,
68824.78670307,133,202752,1522,1000.0,99,0.04408319,553668.125,1203492.9568359375,0.359521484375,0.8705552816390991,980,-0.08830017417785711,-21.745545053482054,0.0003,0.2,0.0,,
68870.44015041,134,204800,1526,1000.0,100,0.043286514,548718.375,1076774.6755859375,0.33330078125,0.8695444464683533,990,-0.07621189555211458,-21.728611439466476,0.0003,0.2,4.0531158447265625e-06,,
,,205000,,,,0.03830801,603966.625,1188738.56015625,0.33798828125,0.8688511848449707,1000,-0.07584061456436757,-21.713113331794737,0.0003,0.2,-4.76837158203125e-07,1000.0,73601.45567188264
68945.82284972,132,206848,1556,1000.0,101,,,,,,,,,,,,,
69059.46928424001,133,208896,1560,1000.0,102,0.039938617,601436.125,1254558.1154296875,0.31435546875,0.8685953617095947,1010,-0.06964589305571281,-21.703611439466478,0.0003,0.2,-3.5762786865234375e-07,,
,,210000,,,,0.034360975,670366.0,1263074.592578125,0.286865234375,0.868050754070282,1020,-0.06513419433031231,-21.693405067920686,0.0003,0.2,-3.2186508178710938e-06,1000.0,72187.55735206604
69039.51147182,132,210944,1588,1000.0,103,,,,,,,,,,,,,
69092.22156863,133,212992,1592,1000.0,104,0.04687225,480547.75,1090237.7306640625,0.358251953125,0.8659928441047668,1030,-0.07933175443322397,-21.665789288282394,0.0003,0.2,0.0005506277084350586,,
,,215000,,,,0.045057602,498250.75,1146654.487109375,0.359619140625,0.8649574518203735,1040,-0.08108043515239842,-21.639258086681366,0.0003,0.2,1.1920928955078125e-07,1000.0,73113.56539535522
69147.55962967001,132,215040,1619,1000.0,105,,,,,,,,,,,,,
69292.41163120001,133,217088,1623,1000.0,106,0.04607497,581411.8125,1182441.5802734375,0.357421875,0.8643186092376709,1050,-0.07887811454129405,-21.62168006300926,0.0003,0.2,0.0,,
69386.6356617,134,219136,1627,1000.0,107,0.043479823,634455.0,1358565.681640625,0.34296875,0.862585186958313,1060,-0.07746741921291686,-21.598777586221694,0.0003,0.2,-2.0265579223632812e-06,,
