rollout/ep_len_mean,time/episodes,time/time_elapsed,train/critic_loss,train/learning_rate,train/n_updates,rollout/ep_rew_mean,train/actor_loss,time/fps,time/total_timesteps,eval/mean_ep_length,eval/mean_reward
977.48,236,2613,5.57356095790863,0.001,216020,1995.06042782,-133.38128762817382,83,217020,,
,,,5.440323290348053,0.001,219020,,-134.9808938293457,,220000,931.5,2026.737165977806
977.48,240,2661,5.875708049535751,0.001,220020,2011.67500576,-135.26062158203126,83,221020,,
974.99,244,2691,6.5640385792255405,0.001,223771,2023.4790397000002,-136.43087812805175,83,224771,,
,,,7.629347193479538,0.001,224771,,-136.825696975708,,225000,1000.0,2042.6424997207127
967.1,248,2736,6.902414127826691,0.001,227771,2020.0310908800006,-138.71973274230956,83,227982,,
,,,8.214340950727463,0.001,229982,,-140.28766555786132,,230000,1000.0,681.8624848844017
967.1,252,2778,7.794523931741715,0.001,230982,2034.75043374,-140.63359875488283,83,231982,,
,,,6.501501833438874,0.001,234982,,-141.63975262451171,,235000,1000.0,1901.846048246778
967.1,256,2824,,,,2018.23105429,,83,235982,,
967.1,260,2858,6.684468972682953,0.001,238982,1982.2251088100002,-141.2159786834717,83,239982,,
,,,6.942468975782394,0.001,239982,,-141.25431091308593,,240000,1000.0,-787.7750717209186
969.07,264,2907,11.273808181762695,0.001,242982,1890.90452757,-150.02862786865234,83,243982,,
,,,10.258077363322553,0.001,244115,,-152.8111317952474,,245000,825.0,-52.921942247351396
960.4,268,2946,9.809340469837188,0.001,246115,1828.59780892,-153.46020559692383,83,247115,,
,,,8.218666974544526,0.001,249115,,-152.97738607788085,,250000,960.0,1995.6057523450231
968.34,272,2995,8.52562206530571,0.001,250115,1854.9138223400003,-152.25985354614258,83,251115,,
964.01,276,3028,7.168273738145828,0.001,254115,1841.27951203,-151.08359048461915,84,254682,,
,,,7.1057724494362215,0.001,254682,,-150.92874586078483,,255000,934.2,1356.1943391606196
962.28,280,3072,7.727613859653473,0.001,257509,1843.13665339,-150.797515625,84,258509,,
,,,8.188521666049958,0.001,259519,,-150.7135369567871,,260000,1000.0,2284.926950197667
952.38,284,3110,8.25305479311943,0.001,260519,1828.5607081399999,-150.7284997558594,84,261519,,
,,,7.695435486078262,0.001,264519,,-150.6891375427246,,265000,1000.0,2371.901369577041
957.09,288,3158,,,,1845.0665787499997,,84,265519,,
957.09,292,3194,7.502598321199417,0.001,268519,1851.0168986899996,-150.4829326171875,84,269519,,
,,,7.446969483852387,0.001,269519,,-150.22471990966798,,270000,1000.0,2285.6168993847446
957.09,296,3242,7.456854269504547,0.001,272519,1853.21349843,-150.1734933166504,84,273519,,
,,,7.819839063882828,0.001,274519,,-149.96224765014648,,275000,1000.0,1785.659951849375
957.67,300,3291,7.472090964794159,0.001,276519,1856.27943903,-149.95863363647462,84,277519,,
,,,7.214454267501831,0.001,279519,,-150.4618132019043,,280000,902.6,2086.935548059549
957.67,304,3336,7.786867906332016,0.001,280519,1866.31446105,-150.5055971069336,84,281519,,
,,,8.300256405830384,0.001,284519,,-150.55354342651367,,285000,1000.0,2275.1928019266575
957.67,308,3384,,,,1874.6570627699998,,84,285519,,
957.67,312,3414,7.278674470901489,0.001,288519,1879.1096636199998,-150.49487322998047,84,289519,,
,,,7.451057017564773,0.001,289519,,-150.46250405883788,,290000,1000.0,2333.2529951568226
957.67,316,3462,6.838910082101822,0.001,292519,1884.25858555,-151.0747643432617,84,293519,,
,,,6.753941269874573,0.001,294519,,-151.5022901611328,,295000,912.7,1976.3259993408924
964.99,320,3509,6.927945976734161,0.001,296519,1905.8526488599998,-151.99764617919922,84,297519,,
,,,7.1879625794887545,0.001,299519,,-152.02076544189453,,300000,1000.0,2236.2502918403598
964.99,324,3561,6.9135761740207675,0.001,300519,1917.9313647999998,-151.9780115966797,84,301519,,
,,,7.222521033287048,0.001,304519,,-152.50864218139648,,305000,917.6,2242.3932947097346
964.99,328,3612,,,,1934.0905194800005,,84,305519,,
964.08,332,3646,7.189074401939401,0.001,308428,1942.9146151100003,-153.02078609256955,84,309428,,
,,,7.146285407781601,0.001,309428,,-153.1044469909668,,310000,934.6,2309.02884808965
956.95,336,3689,8.921612008523443,0.001,311715,1895.99829209,-152.71483094542177,84,312715,,
,,,7.578339401245117,0.001,314715,,-153.140209564209,,315000,1000.0,2442.5396977089345
956.95,340,3740,7.691903555870057,0.001,315715,1902.7187889900003,-152.93447937011717,84,316715,,
,,,8.05920342874527,0.001,319715,,-153.38708956909178,,320000,1000.0,2566.4590521979612
955.97,344,3791,,,,1903.6400463799998,,84,320368,,
963.86,348,3823,7.890129101276398,0.001,323368,1931.0278796300001,-153.64632598876952,84,324368,,
,,,8.12207312965393,0.001,324368,,-154.82041482543946,,325000,939.1,2017.8947166574885
963.86,352,3876,7.323307872772217,0.001,327368,1947.9919930900003,-154.9164561767578,84,328368,,
,,,7.773059033155441,0.001,329368,,-155.5817904663086,,330000,1000.0,2586.92163223112
959.97,356,3924,6.868176331281662,0.001,331368,1977.1666019599998,-156.01299060058594,84,331979,,
,,,7.446526360922847,0.001,334211,,-156.6532203411234,,335000,1000.0,2210.203423273936
951.28,360,3962,,,,2012.0157509499998,,84,335110,,
948.34,364,3995,8.790040889501572,0.001,338110,2104.1413871199998,-157.027588470459,84,338816,,
,,,8.279763944864273,0.001,339816,,-157.16860357666016,,340000,922.9,2044.2485820882023
957.01,368,4042,9.004451397657395,0.001,341816,2185.0541614799995,-158.00881018066406,84,342816,,
,,,7.438572786808014,0.001,344816,,-158.42954135131836,,345000,1000.0,2048.807866183296
957.01,372,4090,7.544857733249664,0.001,345816,2212.31826069,-158.36718173217773,84,346816,,
,,,8.71119799208641,0.001,349816,,-158.65417514038086,,350000,691.3,1568.1642995622358
961.34,376,4133,,,,2253.39951836,,84,350816,,
952.48,380,4159,8.406953181266784,0.001,353368,2225.4045117899996,-158.67590286254884,85,353757,,
,,,8.615947672128677,0.001,354757,,-159.1278074645996,,355000,955.7,2439.7884402600585
962.38,384,4203,8.880868633508681,0.001,356757,2256.30188232,-159.51529818725587,85,357757,,
,,,9.501154347658158,0.001,359757,,-159.7605287475586,,360000,974.7,2414.776069458062
962.38,388,4253,8.921322510957719,0.001,360757,2263.81212539,-159.95422686767577,85,361757,,
954.7,392,4283,9.67692979335785,0.001,363989,2252.57088794,-160.00508081054687,85,364989,,
,,,8.704142102718354,0.001,364989,,-160.36033187866212,,365000,922.7,2360.0985848437995
948.4,396,4326,8.891238856315614,0.001,367359,2248.49749664,-161.23124571104307,85,368359,,
,,,9.04113033604622,0.001,369359,,-160.653600982666,,370000,916.3,1611.9317895622457
948.4,400,4369,8.811385867118835,0.001,371359,2252.3595231800005,-161.31856600952148,85,372359,,
,,,9.057577585935592,0.001,374359,,-160.82538424682616,,375000,856.9,2135.602063355595
938.95,404,4408,9.810033289194108,0.001,375359,2207.3993961700007,-160.6607114868164,85,375414,,
929.41,408,4433,9.410565956115722,0.001,378414,2190.5029010099997,-160.99653201293944,85,378460,,
,,,10.477303606987,0.001,379460,,-161.38660983276367,,380000,1000.0,2472.1766956664624
929.41,412,4469,10.408405696392059,0.001,381460,2194.70556868,-161.5112470397949,85,382460,,
,,,10.152870188713074,0.001,384460,,-161.6464833984375,,385000,805.9,918.5614759058226
929.41,416,4510,10.287785983085632,0.001,385460,2187.32186112,-161.3436922607422,85,386460,,
,,,10.7543241751194,0.001,389460,,-161.81993594360353,,390000,904.3,2076.6608077565443
929.39,420,4552,,,,2195.2459733099995,,85,390458,,
929.39,424,4580,11.258253452777863,0.001,393458,2196.06236977,-162.18619482421875,86,394458,,
,,,11.03535041332245,0.001,394458,,-162.1406354675293,,395000,686.8,1732.4544601833447
924.73,428,4620,10.090673217535018,0.001,397458,2159.34103944,-162.08880432128908,86,397992,,
,,,10.050674324300553,0.001,399541,,-162.30154466417102,,400000,907.9,1879.3927091369055
920.04,432,4652,11.338783583924693,0.001,400432,2150.94729393,-162.15042897724786,86,401432,,
,,,9.823006583690644,0.001,404432,,-162.18716165161132,,405000,915.3,832.5967620340409
927.17,436,4691,,,,2169.3524424300003,,86,405432,,
922.25,440,4719,11.177791097164153,0.001,408432,2111.7894842500004,-162.21577008056641,86,408940,,
,,,11.425116508722306,0.001,409940,,-162.05709283447266,,410000,878.3,1942.174050691072
925.72,444,4755,12.878613180637359,0.001,411940,2109.8974433800004,-161.7429216003418,86,412940,,
,,,12.097439499616623,0.001,414940,,-162.05522763061524,,415000,607.8,1007.4144605966634
916.32,448,4789,11.492683239459991,0.001,415940,2085.9083931000005,-162.3014903564453,86,416000,,
,,,13.075271817684174,0.001,419000,,-162.35634756469727,,420000,1000.0,2512.5525153040885
916.32,452,4824,,,,2084.60748631,,87,420000,,
920.21,456,4852,11.429164048194885,0.001,423000,2092.33373435,-162.46955883789062,87,424000,,
,,,11.481989595890045,0.001,424000,,-163.04769564819335,,425000,1000.0,1828.4119340125005
928.9,460,4894,12.024662499189377,0.001,427000,2110.4402057,-162.60861364746094,87,428000,,
,,,10.432341279506684,0.001,429000,,-162.6020234680176,,430000,886.6,2231.46145700179
931.84,464,4933,10.849050634384156,0.001,431000,2128.8418116299995,-162.83487741088868,87,432000,,
,,,11.095181809425354,0.001,434313,,-162.0069959716797,,435000,957.1,2510.5879362672567
924.97,468,4978,,,,2113.0477455000005,,87,435313,,
923.81,472,5010,10.744114952087402,0.001,438197,2112.16209203,-163.10936245727538,87,439197,,
,,,10.768310685157775,0.001,439197,,-163.1456498413086,,440000,906.1,2298.6616164655425
923.66,476,5054,11.158607684850693,0.001,442182,2110.35456118,-163.95330307006836,87,443182,,
,,,9.972073331023708,0.001,444380,,-163.73964729694404,,445000,890.0,2273.9843808328733
926.23,480,5095,11.210392685174941,0.001,445380,2132.80054061,-163.91359436035157,87,446380,,
,,,10.021637678146362,0.001,449380,,-164.45041931152343,,450000,956.0,2398.6159014575824
926.23,484,5135,,,,2135.7629882899996,,87,450380,,
917.16,488,5163,11.118333919763565,0.001,453380,2112.30951365,-164.82852337646483,87,453473,,
,,,12.265791011333466,0.001,454473,,-164.9807928161621,,455000,869.5,1942.6093289832002
924.84,492,5203,11.352021412849426,0.001,456473,2098.52786245,-165.07883340454103,87,457473,,
,,,12.298995780944825,0.001,459473,,-165.3015062866211,,460000,961.6,2245.1005066215525
925.89,496,5247,12.011634332656861,0.001,460473,2101.93968448,-165.9484741821289,87,460948,,
925.89,500,5277,12.892372267484665,0.001,463948,2108.4388188899998,-166.28780578613282,88,464948,,
,,,12.676933183670045,0.001,464948,,-166.71444805908203,,465000,1000.0,2465.2305270072075
935.34,504,5324,12.87828654551506,0.001,467948,2159.48480904,-167.40485046386718,88,468948,,
,,,11.413620624065398,0.001,469948,,-167.51206271362304,,470000,1000.0,2595.3250571453013
939.03,508,5366,10.97700292134285,0.001,471363,2170.62130058,-167.39995989990234,88,472363,,
,,,11.118130505532186,0.001,474296,,-166.939495862679,,475000,1000.0,2060.5760591729077
938.36,512,5411,11.577432152032852,0.001,475296,2165.30221809,-167.3135870666504,88,476296,,
,,,10.994577193260193,0.001,479296,,-168.10255078125,,480000,1000.0,2437.9120013962734
938.36,516,5454,,,,2175.15261566,,88,480296,,
938.38,520,5485,12.149597913742065,0.001,483296,2124.6815155599998,-167.84318008422852,88,484296,,
,,,11.660292041778565,0.001,484296,,-168.28723596191406,,485000,947.0,1971.427671360271
937.41,524,5526,12.131896749019623,0.001,487296,2125.71169186,-168.6868317565918,88,488199,,
,,,10.667462440490723,0.001,489199,,-169.13953002929688,,490000,876.4,2272.620289388206
942.07,528,5566,11.46800838971138,0.001,491199,2168.35952205,-169.15674227905274,88,492199,,
,,,11.655193594694138,0.001,494236,,-169.63983160400392,,495000,957.1,2137.8218345483065
938.04,532,5600,,,,2159.57865973,,88,495236,,
931.54,536,5625,13.128997508525849,0.001,497586,2199.9799379599995,-169.88266879272462,88,498586,,
,,,12.507940414190292,0.001,499586,,-170.15296423339845,,500000,865.4,1903.3546771098859
934.87,540,5676,12.6267599234581,0.001,501586,2253.05429876,-169.8032956237793,88,502427,,
,,,11.106585752964019,0.001,504427,,-170.72583892822266,,505000,953.5,2216.3375572191553
934.87,544,5729,11.250803485631943,0.001,505427,2267.8664403999996,-170.85221603393555,88,506427,,
,,,12.11547860956192,0.001,509427,,-171.25177612304688,,510000,871.6,2036.9269010825913
944.27,548,5776,,,,2297.34856249,,88,510427,,
944.27,552,5808,11.714354816198348,0.001,513427,2306.06796837,-170.55535159301758,88,514427,,
,,,12.202831555329837,0.001,514947,,-170.77512424175555,,515000,1000.0,2575.214084444847
