time/fps,time/time_elapsed,train/actor_loss,time/episodes,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/critic_loss,train/learning_rate,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
125,93,9.185698928833007,236,11800,50.0,11650,0.05025214809924364,0.001,-9.63170421,,
,,9.259502143859864,,12000,,11850,0.05297204963862896,0.001,,50.0,-10.0125952
124,96,,240,12000,50.0,,,,-9.632487099999999,,
125,97,9.407563400268554,244,12200,50.0,12050,0.06071491811424494,0.001,-9.652818180000002,,
125,99,9.452001152038575,248,12400,50.0,12250,0.05218230694532394,0.001,-9.561543440000001,,
,,9.49962646484375,,12500,,12350,0.05213353294879198,0.001,,50.0,-9.0669741
124,101,9.548683319091797,252,12600,50.0,12450,0.07770862229168415,0.001,-9.50398846,,
124,102,9.6988671875,256,12800,50.0,12650,0.0659102251380682,0.001,-9.4020296,,
,,9.816556930541992,,13000,,12850,0.05664721116423607,0.001,,50.0,-9.579657899999999
123,105,,260,13000,50.0,,,,-9.241031459999999,,
123,106,9.873326568603515,264,13200,50.0,13050,0.04942292757332325,0.001,-9.131412079999999,,
123,108,10.097123680114747,268,13400,50.0,13250,0.052666938789188864,0.001,-9.07872709,,
,,10.07462818145752,,13500,,13350,0.04973918877542019,0.001,,50.0,-9.711382150000002
122,110,10.189817466735839,272,13600,50.0,13450,0.07259326823055744,0.001,-9.050612399999999,,
123,112,10.266714210510253,276,13800,50.0,13650,0.04752798043191433,0.001,-9.024770299999998,,
,,10.384337043762207,,14000,,13850,0.059940363988280294,0.001,,50.0,-9.814485549999999
122,114,,280,14000,50.0,,,,-8.96142657,,
122,116,10.482928352355957,284,14200,50.0,14050,0.07652314119040966,0.001,-8.93669368,,
122,117,10.584478759765625,288,14400,50.0,14250,0.0584892862290144,0.001,-8.923888280000002,,
,,10.735886573791504,,14500,,14350,0.06524999268352985,0.001,,50.0,-9.982307800000001
121,119,10.68124168395996,292,14600,50.0,14450,0.05033122643828392,0.001,-9.02634617,,
122,121,10.792488098144531,296,14800,50.0,14650,0.052928382456302644,0.001,-8.99028402,,
,,10.91299530029297,,15000,,14850,0.06610881619155407,0.001,,50.0,-8.725932499999999
121,123,,300,15000,50.0,,,,-8.974925709999999,,
121,125,11.004956245422363,304,15200,50.0,15050,0.05831169843673706,0.001,-9.00192183,,
121,126,11.073285903930664,308,15400,50.0,15250,0.049685560390353205,0.001,-8.80399043,,
,,11.0692720413208,,15500,,15350,0.05145030736923218,0.001,,50.0,-8.421512099999998
120,128,11.164002876281739,312,15600,50.0,15450,0.04995802871882916,0.001,-8.91894821,,
121,130,11.22474697113037,316,15800,50.0,15650,0.06942615486681461,0.001,-8.837329290000001,,
,,11.332466659545899,,16000,,15850,0.05207094594836235,0.001,,50.0,-8.655900950000001
120,132,,320,16000,50.0,,,,-8.9890542,,
120,134,11.446123046875,324,16200,50.0,16050,0.05781631126999855,0.001,-8.95622769,,
121,135,11.55157386779785,328,16400,50.0,16250,0.06427404798567295,0.001,-8.9427065,,
,,11.583087120056152,,16500,,16350,0.05795963577926159,0.001,,50.0,-8.0462416
120,137,11.579412994384766,332,16600,50.0,16450,0.06651247404515744,0.001,-8.74242413,,
120,139,11.723206558227538,336,16800,50.0,16650,0.05882816180586815,0.001,-8.69392351,,
,,11.746642875671387,,17000,,16850,0.05127578921616077,0.001,,50.0,-7.66298395
120,141,,340,17000,50.0,,,,-8.593733760000001,,
120,142,11.75045036315918,344,17200,50.0,17050,0.08577722758054733,0.001,-8.361145669999999,,
120,144,11.821721153259277,348,17400,50.0,17250,0.054063870534300805,0.001,-8.371046540000002,,
,,11.88927417755127,,17500,,17350,0.0714506170898676,0.001,,50.0,-7.050730350000002
119,146,11.928810997009277,352,17600,50.0,17450,0.06816970527172089,0.001,-8.34440766,,
120,148,12.023594779968262,356,17800,50.0,17650,0.0655619353801012,0.001,-8.32279889,,
,,12.114809875488282,,18000,,17850,0.08771462365984917,0.001,,50.0,-7.12260555
119,150,,360,18000,50.0,,,,-8.28933225,,
119,152,12.185684776306152,364,18200,50.0,18050,0.06426012650132179,0.001,-8.140793669999999,,
119,153,12.271686477661133,368,18400,50.0,18250,0.05202293001115322,0.001,-8.12094526,,
,,12.334694557189941,,18500,,18350,0.06123663581907749,0.001,,50.0,-7.025059199999999
119,155,12.384071998596191,372,18600,50.0,18450,0.09475142009556294,0.001,-8.008045500000001,,
119,157,12.38296817779541,376,18800,50.0,18650,0.05388808410614729,0.001,-7.91892914,,
,,12.476750144958496,,19000,,18850,0.04973026052117348,0.001,,50.0,-7.055359299999999
119,159,,380,19000,50.0,,,,-7.83117294,,
119,161,12.577394981384277,384,19200,50.0,19050,0.08949815072119235,0.001,-7.814305560000001,,
119,162,12.606341209411621,388,19400,50.0,19250,0.0563592267036438,0.001,-7.742920940000001,,
,,12.709342918395997,,19500,,19350,0.05409772463142872,0.001,,50.0,-6.97547345
118,164,12.757364006042481,392,19600,50.0,19450,0.054249300137162206,0.001,-7.61082002,,
119,166,12.774156188964843,396,19800,50.0,19650,0.064101682305336,0.001,-7.521543079999999,,
,,12.853958587646485,,20000,,19850,0.05883840650320053,0.001,,50.0,-6.9160059
118,168,,400,20000,50.0,,,,-7.375424300000002,,
118,170,12.892174377441407,404,20200,50.0,20050,0.0754515416175127,0.001,-7.240814590000001,,
118,171,12.999842147827149,408,20400,50.0,20250,0.06153508894145489,0.001,-7.250483479999999,,
,,12.993371391296387,,20500,,20350,0.054786981381475926,0.001,,50.0,-6.7212739
118,173,13.09707721710205,412,20600,50.0,20450,0.06970549903810025,0.001,-7.05092573,,
118,175,13.074546356201171,416,20800,50.0,20650,0.058179980963468554,0.001,-7.0893901700000015,,
,,13.204822120666504,,21000,,20850,0.05191832773387432,0.001,,50.0,-7.216869699999999
118,177,,420,21000,50.0,,,,-6.85362904,,
118,179,13.2463960647583,424,21200,50.0,21050,0.18374096766114234,0.001,-6.753942170000001,,
118,180,13.346620292663575,428,21400,50.0,21250,0.06896633170545101,0.001,-6.670919620000001,,
,,13.366788482666015,,21500,,21350,0.051469015926122665,0.001,,50.0,-6.929015
117,183,13.459139404296875,432,21600,50.0,21450,0.059022530466318134,0.001,-6.623835430000001,,
118,184,13.477183609008788,436,21800,50.0,21650,0.07443791829049587,0.001,-6.607511870000001,,
,,13.542312126159668,,22000,,21850,0.052911051660776136,0.001,,50.0,-6.9162716
117,187,,440,22000,50.0,,,,-6.686466170000001,,
117,188,13.602238273620605,444,22200,50.0,22050,0.05425959274172783,0.001,-6.79438481,,
117,189,13.71449462890625,448,22400,50.0,22250,0.053152756467461586,0.001,-6.752096689999999,,
,,13.713988037109376,,22500,,22350,0.05388423383235932,0.001,,50.0,-6.93126585
117,192,13.732082595825196,452,22600,50.0,22450,0.11757556967437267,0.001,-6.7248209,,
117,193,13.836731834411621,456,22800,50.0,22650,0.07396709702908993,0.001,-6.717015700000001,,
,,13.879070053100586,,23000,,22850,0.056789389848709106,0.001,,50.0,-7.0261921
117,196,,460,23000,50.0,,,,-6.732514179999998,,
117,197,13.939473037719727,464,23200,50.0,23050,0.05961888119578362,0.001,-6.798581529999999,,
117,199,14.028991775512695,468,23400,50.0,23250,0.06467276282608508,0.001,-6.742975929999999,,
,,14.057119636535644,,23500,,23350,0.061434790790081024,0.001,,50.0,-6.823625699999999
117,201,14.049406814575196,472,23600,50.0,23450,0.05624293401837349,0.001,-6.703350139999999,,
117,203,14.137494621276856,476,23800,50.0,23650,0.05972261965274811,0.001,-6.733460469999999,,
,,14.203182144165039,,24000,,23850,0.08755994707345963,0.001,,50.0,-8.25769
116,205,,480,24000,50.0,,,,-6.831301560000001,,
116,206,14.206997032165527,484,24200,50.0,24050,0.05019398279488087,0.001,-6.660388940000001,,
117,208,14.31352882385254,488,24400,50.0,24250,0.059085455387830735,0.001,-6.6374852099999995,,
,,14.34423843383789,,24500,,24350,0.053407464772462845,0.001,,50.0,-6.731817299999999
116,210,14.37839241027832,492,24600,50.0,24450,0.05135182365775108,0.001,-6.55528199,,
116,212,14.417688751220703,496,24800,50.0,24650,0.060359196290373805,0.001,-6.501097449999999,,
,,14.497355079650879,,25000,,24850,0.07344485431909561,0.001,,50.0,-6.7900231999999985
116,214,,500,25000,50.0,,,,-6.56136782,,
116,216,14.5778369140625,504,25200,50.0,25050,0.05195550456643105,0.001,-6.547825850000001,,
116,217,14.612034072875977,508,25400,50.0,25250,0.05701764598488808,0.001,-6.591600110000001,,
,,14.68654369354248,,25500,,25350,0.08233769766986371,0.001,,50.0,-6.648599399999999
116,220,14.68132667541504,512,25600,50.0,25450,0.05485814884305,0.001,-6.64202843,,
116,221,14.71202808380127,516,25800,50.0,25650,0.057885822728276255,0.001,-6.518555259999999,,
,,14.754288368225097,,26000,,25850,0.06172343261539936,0.001,,50.0,-6.695534450000002
115,224,,520,26000,50.0,,,,-6.579849939999999,,
116,225,14.830268974304198,524,26200,50.0,26050,0.051686781942844394,0.001,-6.602128110000001,,
116,226,14.917597846984863,528,26400,50.0,26250,0.09783070735633373,0.001,-6.610515069999999,,
,,14.937401313781738,,26500,,26350,0.05621287625283003,0.001,,50.0,-6.506503449999999
115,229,14.989020614624023,532,26600,50.0,26450,0.05309695191681385,0.001,-6.7887629700000005,,
116,230,14.969911155700684,536,26800,50.0,26650,0.05393300533294678,0.001,-6.83886075,,
,,15.027564163208007,,27000,,26850,0.082300730869174,0.001,,50.0,-6.480211
115,233,,540,27000,50.0,,,,-6.717120639999999,,
115,234,15.128106803894044,544,27200,50.0,27050,0.06035201348364353,0.001,-6.7025827200000005,,
116,236,15.159481239318847,548,27400,50.0,27250,0.05093018338084221,0.001,-6.580455269999999,,
,,15.213955955505371,,27500,,27350,0.05678346037864685,0.001,,50.0,-6.66540455
115,238,15.254762496948242,552,27600,50.0,27450,0.05134463615715504,0.001,-6.501570729999998,,
116,239,15.29909896850586,556,27800,50.0,27650,0.0528374931961298,0.001,-6.487637189999999,,
,,15.307482833862304,,28000,,27850,0.04729349873960018,0.001,,50.0,-6.478648099999999
115,241,,560,28000,50.0,,,,-6.47057919,,
116,242,15.40234619140625,564,28200,50.0,28050,0.054885250255465506,0.001,-6.444856880000001,,
116,243,15.438484649658204,568,28400,50.0,28250,0.06685488641262055,0.001,-6.45388867,,
,,15.435417938232423,,28500,,28350,0.051845924220979216,0.001,,50.0,-6.54884515
116,245,15.493891983032226,572,28600,50.0,28450,0.05659195177257061,0.001,-6.450077520000001,,
116,247,15.492542762756347,576,28800,50.0,28650,0.08192229747772217,0.001,-6.46234329,,
,,15.60641300201416,,29000,,28850,0.053941190242767334,0.001,,50.0,-6.463773499999999
116,249,,580,29000,50.0,,,,-6.34198688,,
