rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_range,train/n_updates,train/loss,train/explained_variance,train/std,train/policy_gradient_loss,train/clip_fraction,train/value_loss,eval/mean_reward,eval/mean_ep_length
,,165000,,,,0.015441319,-14.075257408618928,0.0003,0.2,800,850.011474609375,0.6037570834159851,0.9904756546020508,-0.025514364513219333,0.112890625,2195.4399103164674,1986.578943355009,360.4
818.9438673400001,649,165888,149.47,255,81,,,,,,,,,,,,,
841.8211252800002,654,167936,153.48,256,82,0.01815848,-14.071183109283448,0.0003,0.2,810,536.0765991210938,0.7305577993392944,0.9898343086242676,-0.028696165347355418,0.141943359375,1688.4623542785644,,
838.8062971099998,659,169984,152.7,257,83,0.018722432,-14.066913563013077,0.0003,0.2,820,1135.973388671875,0.7175001502037048,0.9896894693374634,-0.024838743338477798,0.11748046875,1610.3448740005492,,
,,170000,,,,0.014544927,-14.064000508189201,0.0003,0.2,830,767.657470703125,0.7102049589157104,0.9891373515129089,-0.023160087803262286,0.10732421875,1950.3265508651734,2182.289748860523,393.95
858.0278912299999,674,172032,156.04,255,84,,,,,,,,,,,,,
874.81943722,679,174080,158.84,256,85,0.012906101,-14.06223904788494,0.0003,0.2,840,644.3344116210938,0.6910190582275391,0.9895143508911133,-0.02382589373155497,0.097412109375,1808.2460487365722,,
,,175000,,,,0.015024234,-14.059899887442588,0.0003,0.2,850,377.3009338378906,0.717858761548996,0.9884735345840454,-0.029692895512562247,0.117724609375,1650.9814939498901,2169.603711171448,384.85
886.4901105799999,697,176128,160.97,252,86,,,,,,,,,,,,,
897.80311277,702,178176,162.95,253,87,0.013476947,-14.05370715558529,0.0003,0.2,860,593.5181274414062,0.6883910298347473,0.9884514808654785,-0.023883431444119196,0.11416015625,2003.5491165161134,,
,,180000,,,,0.013131965,-14.053660154342651,0.0003,0.2,870,976.7238159179688,0.5940105319023132,0.9884641766548157,-0.021257632509514224,0.08896484375,2113.769128036499,2200.33986447826,393.1
917.56697417,720,180224,166.24,250,88,,,,,,,,,,,,,
906.41347734,726,182272,164.21,250,89,0.017161697,-14.043873384594917,0.0003,0.2,880,519.6468505859375,0.6529669463634491,0.9862964749336243,-0.02577026034705341,0.127490234375,1894.7046058654785,,
878.4711359,731,184320,159.51,251,90,0.0137205105,-14.028611597418784,0.0003,0.2,890,790.6570434570312,0.7086649239063263,0.9857433438301086,-0.023889633384533225,0.1119140625,1801.1502285003662,,
,,185000,,,,0.012173107,-14.024628347158432,0.0003,0.2,900,1471.7203369140625,0.6824604272842407,0.9855127334594727,-0.02542125828913413,0.09716796875,2088.0671356201174,1903.8047756262124,357.75
904.4047190600002,748,186368,164.4,249,91,,,,,,,,,,,,,
891.0801811800001,753,188416,162.09,249,92,0.01799447,-14.022466370463372,0.0003,0.2,910,580.6651000976562,0.6627643704414368,0.9854257702827454,-0.021805757051333786,0.106005859375,1834.958623123169,,
,,190000,,,,0.014860334,-14.01926931142807,0.0003,0.2,920,520.7798461914062,0.808689072728157,0.9849292039871216,-0.030699460869072936,0.120703125,1485.6178308486938,1805.7883257314563,336.0
893.0087899,768,190464,162.32,247,93,,,,,,,,,,,,,
885.1612759500001,774,192512,161.09,248,94,0.016040254,-14.021151226758956,0.0003,0.2,930,486.2167053222656,0.7177569568157196,0.9858319163322449,-0.02714135105488822,0.118017578125,2025.1137994766236,,
836.72405524,779,194560,153.04,249,95,0.013552922,-14.026749908924103,0.0003,0.2,940,453.2269592285156,0.6609598398208618,0.9858366250991821,-0.020955864043207838,0.09697265625,2106.2061330795286,,
,,195000,,,,0.009490073,-14.023848712444305,0.0003,0.2,950,1182.619384765625,0.6546032130718231,0.9853233695030212,-0.02205621085740859,0.08115234375,2142.7120538711547,1621.830689547956,296.5
849.9023295599999,793,196608,155.5,247,96,,,,,,,,,,,,,
852.19350996,798,198656,155.7,248,97,0.016014744,-14.017092773318291,0.0003,0.2,960,317.7612609863281,0.7566907703876495,0.984584629535675,-0.024032036677817815,0.109375,1737.8584377288819,,
