time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/entropy_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/approx_kl,train/loss,train/n_updates,train/policy_gradient_loss,train/value_loss,train/std,train/learning_rate,eval/mean_ep_length,eval/mean_reward
90,439,419,184320,70.02,352.42366759000004,-22.491793596744536,0.190869140625,0.8206984102725983,0.2,0.024846302,188.39617919921875,890,-0.052709045720985157,539.3601009368897,0.9102104902267456,0.0003,,
,,,185000,,,-22.484859031438827,0.201171875,0.863733097910881,0.2,0.0238561,108.58963012695312,900,-0.0522741155436961,425.76083273887633,0.9096973538398743,0.0003,71.15,387.2774651527405
91,437,425,186368,71.61,358.1590026199999,,,,,,,,,,,,,
92,438,429,188416,68.73,345.86008398000007,-22.471852511167526,0.2076171875,0.8560239672660828,0.2,0.027461208,213.08322143554688,910,-0.05567520057084039,467.57245445251465,0.9092710018157959,0.0003,,
,,,190000,,,-22.466378337144853,0.211865234375,0.8629459738731384,0.2,0.026595896,141.88328552246094,920,-0.055435804883018136,365.56433258056643,0.909045934677124,0.0003,66.75,365.6644114255905
93,438,434,190464,68.42,342.62228197999997,,,,,,,,,,,,,
94,438,438,192512,67.61,337.89451145,-22.469313848018647,0.225341796875,0.8741883486509323,0.2,0.028283382,176.7378692626953,930,-0.05378566135768779,357.8905344963074,0.9096457362174988,0.0003,,
95,439,442,194560,69.23,347.4822109900001,-22.46065022945404,0.226513671875,0.8339793980121613,0.2,0.029851746,173.3605194091797,940,-0.05589403974590823,425.8924716472626,0.9081321358680725,0.0003,,
,,,195000,,,-22.428190779685973,0.209033203125,0.8646866828203201,0.2,0.02822882,133.7776336669922,950,-0.05682589290081523,418.7010864257812,0.9066371321678162,0.0003,54.05,296.83013055324557
96,438,448,196608,69.29,350.3812446299999,,,,,,,,,,,,,
97,439,452,198656,71.72,362.9237205699999,-22.39961146712303,0.231640625,0.8805533275008202,0.2,0.029428028,100.29889678955078,960,-0.05724849443649873,300.5818751096725,0.9047990441322327,0.0003,,
,,,200000,,,-22.379900521039964,0.2451171875,0.8882995620369911,0.2,0.033768713,62.16957092285156,970,-0.057447162276366724,313.7206722021103,0.9043874740600586,0.0003,52.5,290.97252423763274
98,438,458,200704,72.61,368.35680118999994,,,,,,,,,,,,,
99,438,462,202752,71.72,365.30624319000003,-22.36684180498123,0.2017578125,0.8783952817320824,0.2,0.027591608,175.48110961914062,980,-0.050692634843289855,410.45494771003723,0.9038740992546082,0.0003,,
100,438,466,204800,70.8,359.01436199000005,-22.352303010225295,0.24140625,0.8918339610099792,0.2,0.03148273,108.2694091796875,990,-0.056858789756370244,300.9311623573303,0.9028300046920776,0.0003,,
,,,205000,,,-22.34505960941315,0.225146484375,0.8869925439357758,0.2,0.027590841,95.24140930175781,1000,-0.05853548546438105,311.17311482429506,0.9027808904647827,0.0003,60.5,330.1490473985672
101,438,472,206848,72.31,366.12939035000005,,,,,,,,,,,,,
102,438,476,208896,72.96,368.45633122,-22.33088749051094,0.208642578125,0.8607759475708008,0.2,0.03133794,77.61488342285156,1010,-0.05451574049657211,375.05899991989133,0.9015979170799255,0.0003,,
,,,210000,,,-22.307633900642394,0.230908203125,0.8611152619123459,0.2,0.031126186,206.6534881591797,1020,-0.05376451358897612,442.1761200428009,0.9002426862716675,0.0003,64.15,349.26832687854767
103,437,482,210944,73.56,368.3029081699999,,,,,,,,,,,,,
104,437,486,212992,75.47,379.72681351,-22.291305154561996,0.224462890625,0.8804034888744354,0.2,0.02888089,154.60377502441406,1030,-0.055706954046036115,362.82999219894407,0.900234580039978,0.0003,,
,,,215000,,,-22.286857557296752,0.247802734375,0.8772555142641068,0.2,0.03461179,108.93988037109375,1040,-0.055768473821808585,352.9570549488068,0.899783194065094,0.0003,68.4,371.64488730430605
105,436,492,215040,73.62,371.38181000000003,,,,,,,,,,,,,
106,437,496,217088,72.48,365.49655178,-22.283166974782944,0.20458984375,0.882324568927288,0.2,0.026629366,131.47134399414062,1050,-0.0533571541949641,407.55628356933596,0.8994666934013367,0.0003,,
107,437,500,219136,71.76,358.80045677999993,-22.281702786684036,0.181982421875,0.8691814988851547,0.2,0.022306796,112.857177734375,1060,-0.05368822858436033,456.9538748264313,0.899768590927124,0.0003,,
,,,220000,,,-22.290295547246934,0.2353515625,0.8523186147212982,0.2,0.03176158,198.19873046875,1070,-0.0568165893870173,431.7548598766327,0.9003940224647522,0.0003,77.9,420.65485472679137
108,436,506,221184,71.34,356.12476925999994,,,,,,,,,,,,,
109,436,510,223232,72.65,362.49624213000004,-22.289744424819947,0.226220703125,0.8695502430200577,0.2,0.028055388,132.9530029296875,1080,-0.05707309082499705,411.0329360485077,0.8996224403381348,0.0003,,
,,,225000,,,-22.266575306653976,0.212451171875,0.8817149251699448,0.2,0.02518564,161.83917236328125,1090,-0.052074966885265896,362.8180935382843,0.898444414138794,0.0003,93.2,483.0469169378281
110,435,516,225280,73.08,364.66208565999995,,,,,,,,,,,,,
111,436,521,227328,74.02,370.94939400000004,-22.254622918367385,0.22568359375,0.8670589178800583,0.2,0.030085605,160.4813232421875,1100,-0.05409969118773006,406.35786805152895,0.8981422185897827,0.0003,,
112,436,525,229376,73.77,370.90478713,-22.245983409881593,0.2208984375,0.8766805529594421,0.2,0.03225687,85.41205596923828,1110,-0.05607784060412087,368.43984785079954,0.8973662257194519,0.0003,,
