time/fps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
73,200,16,-4.15017032,1249,6.36,5.112524032592773,-6.472837924957275,0.0003,1148,-18.505104064941406,0.711361825466156,,
73,204,17,-4.0770126300000005,1268,6.29,3.6301608085632324,-6.621198654174805,0.0003,1167,-17.78171157836914,0.7073925137519836,,
73,208,17,-3.9876950599999996,1290,6.29,5.098158359527588,-6.752861022949219,0.0003,1189,-18.075803756713867,0.702820360660553,,
73,212,17,-3.99623492,1316,6.29,4.461050987243652,-6.9493818283081055,0.0003,1215,-17.02035140991211,0.6974568963050842,,
73,216,18,-4.034639800000001,1341,6.31,5.120128631591797,-7.070546627044678,0.0003,1240,-16.63237762451172,0.6923249363899231,,
73,220,18,-3.9277706400000003,1359,6.22,5.777012825012207,-7.140440940856934,0.0003,1258,-17.449382781982422,0.6886497735977173,,
73,224,19,-3.9806802500000003,1389,6.26,6.3067522048950195,-7.280091285705566,0.0003,1288,-18.15850067138672,0.6825693249702454,,
72,228,19,-4.0181511599999995,1424,6.41,4.491479396820068,-7.483825206756592,0.0003,1323,-16.127058029174805,0.6755318641662598,,
72,232,19,-4.09035932,1448,6.35,4.877808094024658,-7.707638263702393,0.0003,1347,-16.700260162353516,0.6707501411437988,,
72,236,20,-4.04304724,1469,6.28,5.125392913818359,-7.784372329711914,0.0003,1368,-17.46027946472168,0.6665953397750854,,
72,240,20,-4.025437660000001,1495,6.27,5.618486404418945,-7.895318031311035,0.0003,1394,-17.767253875732422,0.6614887714385986,,
72,244,20,-4.01785241,1515,6.28,6.710391521453857,-8.07337760925293,0.0003,1414,-15.728960037231445,0.657573401927948,,
72,248,21,-3.91387242,1534,6.12,6.164104461669922,-8.156332015991211,0.0003,1433,-15.799028396606445,0.653871476650238,,
72,252,21,-4.124663119999999,1571,6.22,5.304128646850586,-8.318482398986816,0.0003,1470,-16.56550407409668,0.6467322111129761,,
72,256,22,-4.10505383,1592,6.16,7.685932159423828,-8.515702247619629,0.0003,1491,-17.21892738342285,0.642737865447998,,
72,260,22,-4.0838779999999995,1617,6.2,5.601022720336914,-8.586950302124023,0.0003,1516,-15.635746002197266,0.6379937529563904,,
72,264,22,-4.13002105,1643,6.25,6.01378059387207,-8.862656593322754,0.0003,1542,-15.622687339782715,0.6330938935279846,,
72,268,23,-4.05246726,1667,6.11,5.253246307373047,-8.810089111328125,0.0003,1566,-15.809738159179688,0.6285954117774963,,
72,272,23,-4.0530806,1692,6.15,9.013525009155273,-9.113398551940918,0.0003,1591,-16.34334945678711,0.6239542365074158,,
72,276,23,-3.9808968899999995,1711,6.05,6.8217363357543945,-9.056865692138672,0.0003,1610,-15.220830917358398,0.6204401850700378,,
72,280,24,-3.96983214,1734,6.03,6.099274158477783,-9.303826332092285,0.0003,1633,-15.849273681640625,0.6162168383598328,,
71,284,24,-4.001443149999999,1756,6.02,7.6773505210876465,-9.438989639282227,0.0003,1655,-14.933019638061523,0.6122021079063416,,
71,288,24,-3.9701567700000004,1781,6.06,6.913183212280273,-9.527381896972656,0.0003,1680,-15.127155303955078,0.6076797842979431,,
71,292,25,-3.9766353600000004,1810,6.09,9.575213432312012,-9.65335464477539,0.0003,1709,-15.999360084533691,0.6024845242500305,,
71,296,25,-3.9322957099999996,1832,6.04,7.061611175537109,-9.851107597351074,0.0003,1731,-15.112521171569824,0.5985862612724304,,
71,300,26,-4.04475163,1867,6.18,8.738687515258789,-9.9109525680542,0.0003,1766,-15.822855949401855,0.5924481749534607,,
71,304,26,-4.07149928,1887,6.19,7.241327285766602,-9.90065860748291,0.0003,1786,-15.456974029541016,0.5889773368835449,,
71,308,26,-4.15730962,1915,6.25,7.392305374145508,-9.989594459533691,0.0003,1814,-14.188655853271484,0.5841869115829468,,
71,312,27,-4.14987614,1938,6.22,6.98049259185791,-10.089286804199219,0.0003,1837,-14.322602272033691,0.5802870988845825,,
70,316,27,-4.10336881,1962,6.21,6.976436614990234,-10.287603378295898,0.0003,1861,-13.694252967834473,0.5762437582015991,,
70,320,28,-4.19096048,1988,6.29,6.37631893157959,-10.434304237365723,0.0003,1887,-14.809797286987305,0.5718969106674194,,
70,324,28,-4.16633755,2018,6.29,7.139677047729492,-10.775761604309082,0.0003,1917,-13.2413969039917,0.5668855309486389,,
70,328,29,-4.096839429999999,2043,6.19,8.755711555480957,-10.650993347167969,0.0003,1942,-13.644784927368164,0.562728762626648,,
70,332,29,-4.060253199999999,2063,6.15,7.741903305053711,-10.873022079467773,0.0003,1962,-13.328302383422852,0.5594362616539001,,
70,336,29,-4.04425951,2086,6.17,6.956408500671387,-11.16363525390625,0.0003,1985,-13.734298706054688,0.5556729435920715,,
70,340,30,-4.12687327,2111,6.16,7.147950649261475,-11.300752639770508,0.0003,2010,-12.646839141845703,0.551584780216217,,
69,344,30,-4.2539611399999995,2144,6.29,7.549354553222656,-11.64145278930664,0.0003,2043,-14.532363891601562,0.5461968779563904,,
69,348,31,-4.325011700000001,2176,6.42,7.669553756713867,-11.673452377319336,0.0003,2075,-14.059844970703125,0.5410215854644775,,
69,352,31,-4.11404595,2193,6.22,6.709993362426758,-11.725995063781738,0.0003,2092,-12.497392654418945,0.5382912158966064,,
69,356,31,-4.15146999,2213,6.21,8.219974517822266,-11.836353302001953,0.0003,2112,-13.374460220336914,0.5350923538208008,,
69,360,32,-4.15948579,2236,6.19,6.446518421173096,-11.804306030273438,0.0003,2135,-12.770353317260742,0.5314474105834961,,
69,364,32,-4.118765579999999,2261,6.18,5.222784996032715,-12.000715255737305,0.0003,2160,-12.95097541809082,0.5275307297706604,,
69,368,32,-4.166329800000001,2283,6.16,7.08568000793457,-12.130562782287598,0.0003,2182,-12.452645301818848,0.5241203904151917,,
69,372,33,-4.20824345,2308,6.16,7.377732276916504,-12.387513160705566,0.0003,2207,-12.16792106628418,0.5202644467353821,,
69,376,33,-4.33449588,2338,6.27,6.9429121017456055,-12.48154067993164,0.0003,2237,-12.74836254119873,0.5156746506690979,,
69,380,34,-4.3851693,2362,6.28,5.921365737915039,-12.664299011230469,0.0003,2261,-11.928234100341797,0.5120187401771545,,
68,384,34,-4.399090999999999,2386,6.3,5.789006233215332,-12.80661392211914,0.0003,2285,-12.659527778625488,0.5083959102630615,,
68,388,34,-4.377505420000001,2406,6.25,5.719313621520996,-12.725286483764648,0.0003,2305,-11.636384963989258,0.5054042935371399,,
68,392,35,-4.383757500000001,2429,6.19,6.25037956237793,-12.960514068603516,0.0003,2328,-11.760149002075195,0.5019950270652771,,
68,396,35,-4.39988019,2457,6.25,4.136063098907471,-13.302995681762695,0.0003,2356,-11.11606216430664,0.4978683590888977,,
68,400,36,-4.296475,2480,6.13,5.552188873291016,-13.274820327758789,0.0003,2379,-11.310842514038086,0.49450352787971497,,
68,404,36,-4.29560675,2501,6.14,5.85426139831543,-13.283822059631348,0.0003,2400,-12.221742630004883,0.491446852684021,,
68,408,36,-4.3637743,2532,6.17,5.235474586486816,-13.607522010803223,0.0003,2431,-12.085210800170898,0.48698312044143677,,
68,412,37,-4.347559620000001,2558,6.2,5.102485179901123,-13.55433464050293,0.0003,2457,-11.28311538696289,0.4832687973976135,,
68,416,37,-4.33041278,2579,6.17,5.833600997924805,-13.464427947998047,0.0003,2478,-11.70071029663086,0.48029467463493347,,
68,420,38,-4.37140925,2607,6.19,5.85044002532959,-13.347784996032715,0.0003,2506,-10.754693984985352,0.476411372423172,,
68,424,38,-4.336758819999999,2635,6.17,4.972111225128174,-13.50164794921875,0.0003,2534,-10.141305923461914,0.47264179587364197,,
68,428,39,-4.378560509999999,2662,6.19,3.494713306427002,-13.71426010131836,0.0003,2561,-11.004785537719727,0.4690205752849579,,
67,432,39,-4.405726710000001,2679,6.16,2.776048183441162,-14.134134292602539,0.0003,2578,-9.633567810058594,0.46673280000686646,,
67,436,39,-4.5112277,2701,6.15,3.0870840549468994,-13.719335556030273,0.0003,2600,-10.043856620788574,0.46380487084388733,,
67,440,40,-4.481797210000001,2724,6.13,5.5892839431762695,-13.684504508972168,0.0003,2623,-11.118995666503906,0.4607694447040558,,
67,444,40,-4.49611515,2753,6.09,3.42875075340271,-14.204660415649414,0.0003,2652,-9.863040924072266,0.45696789026260376,,
67,448,41,-4.48245378,2778,6.02,4.389891147613525,-14.051968574523926,0.0003,2677,-10.187744140625,0.45369699597358704,,
67,452,41,-4.5639850299999996,2802,6.09,4.641679763793945,-14.247587203979492,0.0003,2701,-9.990639686584473,0.4505750238895416,,
67,456,41,-4.54674859,2824,6.11,4.148638725280762,-14.56591510772705,0.0003,2723,-9.185425758361816,0.4477446973323822,,
67,460,42,-4.607477900000001,2852,6.16,4.146088600158691,-14.590067863464355,0.0003,2751,-10.526341438293457,0.4441748261451721,,
67,464,42,-4.6686293800000005,2878,6.17,4.0165863037109375,-14.667647361755371,0.0003,2777,-10.524619102478027,0.4408729672431946,,
67,468,43,-4.654802200000001,2907,6.24,3.3504724502563477,-15.189257621765137,0.0003,2806,-8.760587692260742,0.4372176229953766,,
67,472,43,-4.608385100000001,2942,6.34,2.8846535682678223,-15.264826774597168,0.0003,2841,-9.768697738647461,0.4328056275844574,,
67,476,44,-4.543341450000001,2974,6.36,4.250116348266602,-15.468608856201172,0.0003,2873,-8.829660415649414,0.42878663539886475,,
67,480,44,-4.48403589,2997,6.35,3.2057816982269287,-15.566934585571289,0.0003,2896,-8.508363723754883,0.4259141981601715,,
67,484,44,-4.40471649,3020,6.34,2.884681463241577,-15.854915618896484,0.0003,2919,-8.50106143951416,0.42305508255958557,,
67,488,45,-4.31798547,3049,6.43,4.258689880371094,-15.914984703063965,0.0003,2948,-8.531793594360352,0.41947776079177856,,
67,492,45,-4.23099799,3068,6.39,3.057752847671509,-15.898927688598633,0.0003,2967,-8.757988929748535,0.41714298725128174,,
67,496,46,-4.202393680000001,3092,6.35,2.1091320514678955,-16.053913116455078,0.0003,2991,-8.896735191345215,0.41421446204185486,,
66,500,46,-4.207644729999999,3114,6.34,2.6595749855041504,-16.166093826293945,0.0003,3013,-8.857873916625977,0.41155216097831726,,
66,504,46,-4.151291,3133,6.32,2.1665263175964355,-16.314908981323242,0.0003,3032,-8.714506149291992,0.4092741906642914,,
66,508,47,-4.00301221,3158,6.26,2.9633374214172363,-16.144168853759766,0.0003,3057,-8.68132209777832,0.40629342198371887,,
66,512,47,-4.053132359999999,3186,6.28,2.5839264392852783,-16.439773559570312,0.0003,3085,-8.85286808013916,0.402992844581604,,
66,516,48,-3.9804228800000003,3214,6.35,1.9452112913131714,-16.081138610839844,0.0003,3113,-8.416244506835938,0.39975079894065857,,
66,520,48,-3.94406351,3243,6.36,2.1399288177490234,-16.372398376464844,0.0003,3142,-7.7750139236450195,0.3964692950248718,,
66,524,49,-3.9495349199999996,3279,6.44,1.8432538509368896,-16.33064842224121,0.0003,3178,-7.977082252502441,0.39240026473999023,,
66,528,49,-3.83711141,3298,6.36,2.301856517791748,-16.503253936767578,0.0003,3197,-7.941316604614258,0.39027491211891174,,
66,532,49,-3.81850005,3321,6.42,1.6075716018676758,-16.660696029663086,0.0003,3220,-7.739497661590576,0.38770127296447754,,
66,536,50,-3.7982331900000004,3350,6.49,1.9011958837509155,-16.854305267333984,0.0003,3249,-7.564174175262451,0.3844810426235199,,
66,540,50,-3.78530921,3369,6.45,1.7876760959625244,-17.57034683227539,0.0003,3268,-7.0453057289123535,0.38237184286117554,,
66,544,50,-3.64096825,3388,6.35,1.5938191413879395,-17.32870864868164,0.0003,3287,-6.974632263183594,0.3802613615989685,,
