rollout/ep_len_mean,train/n_updates,time/time_elapsed,time/fps,time/episodes,train/ent_coef,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,time/total_timesteps,train/ent_coef_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length
,234899,,,,0.016556857153773308,0.0003,,0.15959596633911133,235000,0.18221434950828552,-71.17265319824219,944.7590265372768,1000.0
981.14,238761,4049,58,264,0.01637338288128376,0.0003,849.88211905,0.0818922221660614,238862,-0.30443233251571655,-72.77333068847656,,
,239899,,,,0.015998367220163345,0.0003,,0.08597041666507721,240000,-0.17575842142105103,-71.76998138427734,953.3316669189837,1000.0
981.14,242761,4116,59,268,0.01592923142015934,0.0003,850.7800788600001,0.16696520149707794,242862,0.29444941878318787,-71.89137268066406,,
,244899,,,,0.01610404998064041,0.0003,,0.14255909621715546,245000,-0.4042344093322754,-72.4925537109375,943.9707628619857,1000.0
981.14,246761,4182,59,272,0.01613675057888031,0.0003,852.66523949,0.10951656103134155,246862,1.0652960538864136,-71.66873931884766,,
,249899,,,,0.015557695180177689,0.0003,,0.20946313440799713,250000,0.2655743360519409,-72.90422058105469,915.2374375055311,1000.0
990.47,250761,4248,59,276,0.015370020642876625,0.0003,868.5401819,0.1359533667564392,250862,1.136112928390503,-71.94984436035156,,
990.47,254761,4298,59,280,0.01549279224127531,0.0003,867.20797739,0.24208952486515045,254862,0.26930534839630127,-72.04058074951172,,
,254899,,,,0.01591537706553936,0.0003,,0.15745270252227783,255000,0.4602449834346771,-71.99604797363281,865.9084340391186,1000.0
990.47,258761,4365,59,284,0.01470872387290001,0.0003,868.56182794,0.1191597580909729,258862,-0.6434125900268555,-73.09602355957031,,
,259899,,,,0.014974193647503853,0.0003,,0.15117870271205902,260000,1.2838969230651855,-73.42164611816406,917.1743585365359,1000.0
990.47,262761,4432,59,288,0.014758380129933357,0.0003,867.8803594699999,0.12978723645210266,262862,0.2538284361362457,-72.80503845214844,,
,264899,,,,0.014594808220863342,0.0003,,0.19942381978034973,265000,-0.5616612434387207,-73.33433532714844,934.2152148870751,1000.0
984.97,266211,4492,59,292,0.015605708584189415,0.0003,863.4284604200001,0.36875250935554504,266312,0.07567967474460602,-73.7325668334961,,
,269899,,,,0.015563474968075752,0.0003,,0.16132532060146332,270000,-1.0369685888290405,-74.38545989990234,960.4703000538051,1000.0
984.97,270211,4559,59,296,0.01560215838253498,0.0003,863.9846795600001,0.17864608764648438,270312,-0.07978443801403046,-73.96644592285156,,
984.97,274211,4609,59,300,0.016129326075315475,0.0003,865.6550581100001,0.17598220705986023,274312,0.7140243649482727,-73.61202239990234,,
,274899,,,,0.015636799857020378,0.0003,,0.16632294654846191,275000,-1.237507939338684,-74.35323333740234,957.5924089956097,1000.0
984.97,278211,4674,59,304,0.016134686768054962,0.0003,867.45810905,0.1718292087316513,278312,0.760595440864563,-73.31448364257812,,
