time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
188,1218822,6460,60.096016440000014,12.71,95748,0.5689368924269309,1218711,-30.72357400258382,0.001,,
188,1218873,6460,60.093825779999996,12.71,95752,0.8801358158771808,1218762,-30.361984525408065,0.001,,
188,1218922,6461,59.952361419999995,12.68,95756,0.6997888311743736,1218812,-30.56966781616211,0.001,,
188,1218972,6461,59.95213832,12.68,95760,0.7933236658573151,1218861,-29.911948521931965,0.001,,
188,1219024,6461,60.04764239,12.7,95764,0.5557706275811563,1218913,-32.14469687143961,0.001,,
188,1219076,6461,60.0467691,12.7,95768,0.7078401744365692,1218965,-30.901707967122395,0.001,,
188,1219125,6462,59.95205230999999,12.68,95772,0.8048715417583784,1219014,-30.47017478942871,0.001,,
188,1219176,6462,59.9033707,12.67,95776,0.7050784714519978,1219065,-30.493536631266277,0.001,,
188,1219227,6462,59.863606710000006,12.66,95780,0.7749406729753201,1219116,-30.856585366385325,0.001,,
188,1219277,6462,59.90828281,12.67,95784,0.6142139927699015,1219167,-31.992209434509277,0.001,,
188,1219327,6463,59.81601985999999,12.65,95788,0.6405089497566223,1219217,-31.090415318806965,0.001,,
188,1219377,6463,59.766118850000005,12.64,95792,0.6595233598580728,1219267,-29.956236203511555,0.001,,
188,1219429,6463,59.858943599999996,12.66,95796,0.6360092804982111,1219318,-31.321769169398717,0.001,,
188,1219480,6463,59.81425973999999,12.65,95800,0.6946986558345648,1219369,-31.48658498128255,0.001,,
188,1219532,6464,59.85814207999998,12.66,95804,0.5973354646792779,1219421,-32.17689800262451,0.001,,
188,1219583,6464,59.951884710000016,12.68,95808,0.7267108101111192,1219473,-29.97082773844401,0.001,,
188,1219635,6464,60.045327979999996,12.7,95812,0.8872200342325064,1219524,-30.47976984296526,0.001,,
188,1219687,6464,60.18448952999999,12.73,95816,0.7647131669979829,1219576,-32.057025636945454,0.001,,
188,1219738,6465,60.17874889999999,12.73,95820,0.5750466000575286,1219627,-30.728305180867512,0.001,,
188,1219787,6465,60.04074541999999,12.7,95824,0.5911118487517039,1219677,-31.849162419637043,0.001,,
188,1219839,6465,60.089214760000004,12.71,95828,0.6485036955429957,1219728,-30.086205618722097,0.001,,
188,1219890,6465,60.087403059999986,12.71,95832,0.5260055065155029,1219779,-31.456517219543457,0.001,,
188,1219942,6466,60.089289599999994,12.71,95836,0.7938417287973257,1219831,-31.19897747039795,0.001,,
188,1219994,6466,60.18353903,12.73,95840,0.5641677264983838,1219883,-32.75947093963623,0.001,,
,1220000,,,,,0.6307820723606989,1219896,-31.422330583844865,0.001,12.65,59.80986139774323
188,1220043,6467,60.13216257,12.72,95844,0.6544692541162173,1219933,-30.668803532918293,0.001,,
188,1220093,6467,60.086699849999995,12.71,95848,0.761490686581685,1219983,-31.04826482137044,0.001,,
188,1220142,6467,59.99314568,12.69,95852,0.912565735479196,1220032,-30.561899820963543,0.001,,
188,1220193,6467,60.08655860999999,12.71,95856,0.6531655112138162,1220082,-31.15022795540946,0.001,,
188,1220244,6468,60.14100574,12.72,95860,0.6674994436594156,1220134,-31.022451673235214,0.001,,
188,1220294,6468,60.04838067,12.7,95864,0.8244893960654736,1220183,-30.019742647806805,0.001,,
188,1220345,6468,60.00222411000001,12.69,95868,0.6417078711092472,1220234,-29.976240158081055,0.001,,
188,1220397,6468,60.144083769999995,12.72,95872,0.8370128955978614,1220286,-30.766682488577707,0.001,,
188,1220449,6469,60.18950814,12.73,95876,0.684647988814574,1220338,-31.458905628749303,0.001,,
188,1220500,6469,60.18213505,12.73,95880,0.5738354485768539,1220389,-31.54965337117513,0.001,,
188,1220552,6469,60.280231359999995,12.75,95884,0.6191065208269999,1220441,-31.7700039545695,0.001,,
188,1220604,6470,60.37413900000001,12.77,95888,0.7085622004591502,1220493,-29.910706520080566,0.001,,
188,1220656,6470,60.46664015,12.79,95892,0.6668572551929034,1220545,-30.72304058074951,0.001,,
188,1220708,6470,60.46597366,12.79,95896,0.6500467314169958,1220597,-30.12900511423747,0.001,,
188,1220759,6470,60.465769179999995,12.79,95900,0.8267155175025647,1220649,-31.002225875854492,0.001,,
188,1220811,6471,60.470685380000006,12.79,95904,0.7891928897454188,1220700,-29.854596546718053,0.001,,
188,1220862,6471,60.472090619999996,12.79,95908,0.605095753302941,1220751,-31.701151847839355,0.001,,
188,1220913,6471,60.42391079,12.78,95912,0.6668628479043642,1220802,-30.2331116994222,0.001,,
188,1220965,6471,60.42788256,12.78,95916,0.6510191261768341,1220854,-32.20225443158831,0.001,,
188,1221016,6472,60.4296255,12.78,95920,0.629886565109094,1220905,-30.341450055440266,0.001,,
188,1221067,6472,60.52408735,12.8,95924,0.6866417882534174,1220956,-29.793378557477677,0.001,,
188,1221117,6472,60.427479600000005,12.78,95928,0.5912687579790751,1221006,-31.642099380493164,0.001,,
188,1221168,6472,60.43328756000001,12.78,95932,0.8499050786097845,1221057,-30.580430666605633,0.001,,
188,1221217,6473,60.2900527,12.75,95936,0.6634252841273943,1221107,-31.005663235982258,0.001,,
188,1221268,6473,60.24031004,12.74,95940,0.6307929702676259,1221157,-30.677531242370605,0.001,,
188,1221319,6473,60.33465024000001,12.76,95944,0.6380486889527395,1221208,-31.456867490495956,0.001,,
188,1221369,6473,60.333632789999996,12.76,95948,0.7333903660376867,1221258,-30.921866416931152,0.001,,
188,1221419,6474,60.38014467,12.77,95952,0.6646258040116384,1221308,-31.946671077183314,0.001,,
188,1221471,6474,60.427127680000005,12.78,95956,0.7768477098299906,1221360,-30.653039387294225,0.001,,
188,1221522,6474,60.42318724,12.78,95960,0.7647637312228863,1221411,-30.936280250549316,0.001,,
188,1221572,6475,60.421044519999995,12.78,95964,0.5191093937804302,1221461,-30.871594111124676,0.001,,
