time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/episodes,train/n_updates,train/learning_rate,train/actor_loss,train/critic_loss,eval/mean_reward,eval/mean_ep_length
270,169.06,39559,146,-202.46482581999996,216,39431,0.001,-42.00346989101834,5.216711482486209,,
,,40000,,,,39694,0.001,-42.58658737606473,5.072671602169673,424.5403269771079,929.7
281,159.78,40788,145,-191.35022673,220,,,,,,
286,160.62,41157,143,-192.40713214,224,40837,0.001,-42.176895342375104,6.261038712966136,,
288,150.48,41393,143,-180.75749155000003,228,41271,0.001,-42.007041607872914,5.861015636379979,,
289,131.39,41535,143,-157.87304959999994,232,41429,0.001,-41.477420806884766,6.3289540608723955,,
290,128.88,41777,143,-155.09529288,236,41629,0.001,-42.36293042500814,5.189273247953321,,
296,125.66,42939,144,-151.12066191,240,42792,0.001,-41.85287853240967,5.967448428869248,,
302,126.24,44169,145,-151.69428931,244,44063,0.001,-41.30573490687779,4.810524930272783,,
303,125.44,44386,146,-150.48658157,248,44238,0.001,-41.48464856828962,6.438448786735535,,
,,45000,,,,44506,0.001,-41.30523372146318,6.51468055428199,458.3673739028512,1000.0
315,134.26,45600,144,-160.57029343,252,,,,,,
320,132.96,45741,142,-158.99176459999998,256,45613,0.001,-40.909219106038414,5.2395606736342115,,
321,131.52,45885,142,-157.07340928,260,45768,0.001,-41.44725778367784,5.728341034480503,,
327,146.57,47957,146,-175.00566286,264,46863,0.001,-40.1428587777274,5.4076577467577795,,
332,135.91,48053,144,-162.52116384000004,268,47942,0.001,-40.22045739491781,5.574752867221832,,
332,135.68,48359,145,-162.06064838999998,272,48021,0.001,-39.95128778310922,5.038527039381174,,
335,145.16,49524,147,-172.96710298,276,48430,0.001,-40.158064705984934,3.992738093648638,,
,,50000,,,,49430,0.001,-39.27242972564697,5.410665862560272,549.9532672533126,1000.0
355,153.55,50854,142,-182.86295336000003,280,50616,0.001,-37.85062735421317,4.353076943644771,,
357,146.43,51032,142,-174.77461168,284,50929,0.001,-38.77345826890733,5.721022689664686,,
362,155.12,52139,143,-184.80921754999991,288,52025,0.001,-37.552915685317096,4.0031981910978045,,
363,156.05,52429,144,-185.68049313,292,52190,0.001,-37.10866708021898,5.081516667908313,,
365,152.39,52687,144,-181.06700969999997,296,52573,0.001,-37.54916223986395,5.972066949153769,,
377,173.9,54946,145,-205.34329916999997,300,54805,0.001,-36.07355514526367,3.789960605978966,,
,,55000,,,,54896,0.001,-35.7169773795388,3.6845207756215874,506.6493498058764,1000.0
387,163.18,55081,142,-192.40813411999997,304,54967,0.001,-35.390194602634594,4.717028358708257,,
388,171.69,56183,144,-201.83724912999995,308,55089,0.001,-35.62200164794922,3.751133477687836,,
393,168.87,56328,143,-198.48966022000002,312,56197,0.001,-35.172401428222656,4.487505984306336,,
394,170.43,56602,143,-200.32294634,316,56481,0.001,-35.28326225280762,5.111740120819637,,
400,169.0,57688,143,-198.05870459999997,320,57562,0.001,-33.925464725494386,4.0110108485588665,,
401,167.3,57887,144,-196.00965414,324,57671,0.001,-34.3864017062717,4.156818389892578,,
408,177.69,59162,144,-207.63610773,328,58962,0.001,-33.71560332870484,4.069075592517853,,
409,178.23,59358,145,-208.27053672000002,332,59225,0.001,-33.36071571350098,4.6316901969909665,,
,,60000,,,,59573,0.001,-33.19226702328386,3.9685533005967097,448.1166344484838,1000.0
421,188.9,60667,144,-220.58268982,336,,,,,,
426,179.19,60858,142,-209.25012362,340,60737,0.001,-32.66056463453505,3.907748738924662,,
426,168.26,60995,142,-196.26498353000002,344,60883,0.001,-32.40323666163853,3.302135525078609,,
433,180.03,62389,143,-209.39354113999997,348,62235,0.001,-32.433420247045056,3.8556547043687206,,
434,169.82,62582,143,-197.67957640999998,352,62371,0.001,-32.047789891560875,3.4649040508270263,,
436,172.21,62962,144,-200.46843238999995,356,62692,0.001,-31.236604181925454,3.7560526009263664,,
443,182.79,64164,144,-212.58104349999996,360,64055,0.001,-31.771584396362304,3.7861745417118073,,
443,163.58,64315,144,-189.82993912999999,364,64166,0.001,-31.380974088396346,4.002692404660311,,
444,165.88,64641,145,-192.42419049999998,368,64342,0.001,-31.876810027331842,3.436733539511518,,
,,65000,,,,64798,0.001,-31.453895917752895,4.103744380313195,394.99944080518907,1000.0
456,166.63,65022,142,-193.51134072000002,372,,,,,,
458,158.37,65361,142,-183.88175036,376,65229,0.001,-31.972728002639045,3.8612170843850997,,
465,159.44,66798,143,-184.38197008000003,380,66626,0.001,-31.22663053894043,4.061294761061668,,
