rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/episodes,time/fps,rollout/ep_rew_mean,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/learning_rate,eval/mean_reward,eval/mean_ep_length
7.56,2273,144528,21440,63,4.643506230000001,144427,-2.1420159339904785,0.38691452145576477,4.4930620193481445,0.012745141983032227,0.0003,,
7.41,2274,144547,21444,63,4.475585370000001,144446,-1.4443289041519165,0.3823677897453308,-5.599284648895264,0.01277937926352024,0.0003,,
7.32,2274,144566,21448,63,4.39408963,144465,-1.7805776596069336,0.39433249831199646,2.60628080368042,0.012751142494380474,0.0003,,
7.25,2275,144602,21452,63,4.26924012,144501,-1.4442757368087769,0.4100179374217987,-1.0008387565612793,0.012718545272946358,0.0003,,
7.44,2275,144637,21456,63,4.397377100000001,144536,-1.5203725099563599,0.39473581314086914,-1.332155704498291,0.012683425098657608,0.0003,,
7.28,2276,144661,21460,63,4.14780446,144560,-1.491440773010254,0.3885100483894348,-1.822759985923767,0.012658176012337208,0.0003,,
7.35,2276,144690,21464,63,4.2484214300000005,144589,-2.0590531826019287,0.39644694328308105,1.8116588592529297,0.012647261843085289,0.0003,,
7.4,2276,144710,21468,63,4.27167459,144609,-1.6641819477081299,0.3822594881057739,2.4179558753967285,0.012645247392356396,0.0003,,
7.33,2277,144741,21472,63,4.29189032,144640,-1.5380090475082397,0.35978075861930847,1.2141633033752441,0.012689432129263878,0.0003,,
7.34,2277,144758,21476,63,4.295877920000001,144657,-1.6480438709259033,0.4041925072669983,-0.4348820447921753,0.012685832567512989,0.0003,,
7.43,2278,144790,21480,63,4.3289072,144689,-1.693565845489502,0.33862996101379395,4.457898139953613,0.012660868465900421,0.0003,,
7.47,2278,144814,21484,63,4.34917821,144713,-1.701070785522461,0.3509451150894165,-0.32197314500808716,0.012684961780905724,0.0003,,
7.43,2278,144837,21488,63,4.31234079,144736,-1.752915859222412,0.40076524019241333,-0.19749045372009277,0.01266383845359087,0.0003,,
7.43,2279,144871,21492,63,4.337380230000001,144770,-1.7290593385696411,0.538156270980835,0.3770596981048584,0.012634235434234142,0.0003,,
7.51,2280,144910,21496,63,4.4350543,144809,-1.8008465766906738,0.4401986598968506,3.4513144493103027,0.012676199898123741,0.0003,,
7.47,2280,144926,21500,63,4.416008030000001,144825,-1.615805745124817,0.4155947268009186,0.49817365407943726,0.012696362100541592,0.0003,,
7.42,2280,144952,21504,63,4.409119670000001,144851,-1.8410546779632568,0.30093252658843994,0.5752637386322021,0.012691386975347996,0.0003,,
7.62,2281,144995,21508,63,4.51930584,144894,-1.4272892475128174,0.4915967881679535,-3.676112651824951,0.012712864205241203,0.0003,,
,,145000,,,,144899,-1.8784157037734985,0.45876944065093994,0.3542451858520508,0.012707015499472618,0.0003,5.927613552846014,8.6
7.33,2282,145016,21512,63,4.25039934,144915,-1.6850767135620117,0.33296138048171997,-4.725780487060547,0.012695375829935074,0.0003,,
7.32,2282,145048,21516,63,4.27035864,144947,-1.9323885440826416,0.4566097557544708,-0.6822068691253662,0.0126644903793931,0.0003,,
7.47,2283,145090,21520,63,4.58380849,144989,-1.5693492889404297,0.34842607378959656,-0.5665318965911865,0.012649541720747948,0.0003,,
7.29,2283,145115,21524,63,4.417169089999999,145014,-1.572782039642334,0.2511790096759796,-4.228585243225098,0.012687817215919495,0.0003,,
7.15,2284,145139,21528,63,4.30103765,145038,-1.608665108680725,0.2800893783569336,-0.8545945882797241,0.012696362100541592,0.0003,,
6.98,2284,145163,21532,63,4.2237740200000005,145062,-1.4609894752502441,0.5053847432136536,0.7031807899475098,0.012720541097223759,0.0003,,
7.04,2285,145211,21536,63,4.4719143500000005,145110,-1.6131560802459717,0.3378404378890991,3.6775450706481934,0.012694993987679482,0.0003,,
7.08,2285,145236,21540,63,4.46684966,145135,-1.5091054439544678,0.3414680063724518,-2.599763870239258,0.012783993035554886,0.0003,,
7.24,2286,145271,21544,63,4.64992054,145170,-1.733487606048584,0.39208847284317017,1.7433757781982422,0.012807466089725494,0.0003,,
7.5,2286,145316,21548,63,4.897255530000001,145215,-1.4730875492095947,0.33093464374542236,-2.636707067489624,0.012788626365363598,0.0003,,
7.31,2287,145333,21552,63,4.74304852,145232,-1.3717327117919922,0.2961004376411438,-3.179337501525879,0.01278723031282425,0.0003,,
7.12,2287,145349,21556,63,4.614104230000001,145248,-1.6383129358291626,0.2410491406917572,-0.5958429574966431,0.01276970561593771,0.0003,,
7.3,2288,145391,21560,63,4.747143500000001,145290,-1.5453563928604126,0.3562498688697815,-2.6104841232299805,0.01275674905627966,0.0003,,
7.37,2288,145427,21564,63,4.77449106,145326,-1.7616209983825684,0.3105250895023346,1.5108394622802734,0.012722347863018513,0.0003,,
7.41,2289,145451,21568,63,4.81540952,145350,-1.8129819631576538,0.36649632453918457,2.9648051261901855,0.012744449079036713,0.0003,,
7.36,2289,145477,21572,63,4.71006971,145376,-1.6889808177947998,0.33917656540870667,5.125180721282959,0.01277750264853239,0.0003,,
7.54,2289,145512,21576,63,4.905081620000001,145411,-1.7355906963348389,0.3195675015449524,-2.5206758975982666,0.012803948484361172,0.0003,,
7.58,2290,145548,21580,63,5.05870098,145447,-1.7577178478240967,0.35843580961227417,1.345399022102356,0.012725393287837505,0.0003,,
7.52,2290,145566,21584,63,4.98209856,145465,-1.7485387325286865,0.28399455547332764,-0.4694070816040039,0.012728768400847912,0.0003,,
7.45,2291,145582,21588,63,4.924817289999999,145481,-1.7155592441558838,0.34269794821739197,2.2537665367126465,0.012713531032204628,0.0003,,
7.44,2291,145615,21592,63,4.904843329999999,145514,-1.755155086517334,0.6360854506492615,-0.6948269605636597,0.012701690196990967,0.0003,,
7.33,2291,145643,21596,63,4.7308398700000005,145542,-1.6828100681304932,0.37035036087036133,0.2884024381637573,0.012663820758461952,0.0003,,
7.6,2292,145686,21600,63,4.86223501,145585,-1.3612806797027588,0.34049707651138306,-2.9676096439361572,0.012686993926763535,0.0003,,
7.67,2293,145719,21604,63,4.894523670000001,145618,-1.8103647232055664,0.44205841422080994,0.5293787717819214,0.012679197825491428,0.0003,,
7.54,2293,145749,21608,63,4.82349467,145648,-1.7102950811386108,0.5002963542938232,5.353975296020508,0.012701739557087421,0.0003,,
7.7,2294,145786,21612,63,5.0132104900000005,145685,-1.6331607103347778,0.4382581114768982,-1.5019240379333496,0.012675413861870766,0.0003,,
7.57,2294,145805,21616,63,4.852761599999999,145704,-1.8826974630355835,0.42349353432655334,3.7731964588165283,0.012647852301597595,0.0003,,
7.53,2295,145843,21620,63,4.659094929999998,145742,-1.7000033855438232,0.4391210675239563,2.738520622253418,0.012686412781476974,0.0003,,
7.56,2295,145871,21624,63,4.60864305,145770,-1.5893280506134033,0.4268576502799988,0.11315560340881348,0.012722433544695377,0.0003,,
7.66,2296,145905,21628,63,4.785954479999999,145804,-1.5817008018493652,0.3565211296081543,-0.0372258722782135,0.012743234634399414,0.0003,,
7.56,2296,145919,21632,63,4.69956087,145818,-1.3707423210144043,0.3453787565231323,-1.4778107404708862,0.01276599895209074,0.0003,,
7.42,2296,145953,21636,63,4.44255884,145852,-1.6999188661575317,0.41664808988571167,-2.499734401702881,0.01271085161715746,0.0003,,
7.39,2297,145975,21640,63,4.40670287,145874,-1.6861565113067627,0.3658480942249298,0.0364876389503479,0.012649420648813248,0.0003,,
7.32,2297,146003,21644,63,4.29479046,145902,-1.7382986545562744,0.41839244961738586,-0.5706916451454163,0.012619550339877605,0.0003,,
7.14,2298,146030,21648,63,4.1294729100000005,145929,-1.6987875699996948,0.3095501661300659,1.3477009534835815,0.012632260099053383,0.0003,,
7.37,2298,146070,21652,63,4.36903791,145969,-1.7031707763671875,0.37361589074134827,0.6683336496353149,0.012650374323129654,0.0003,,
7.49,2299,146098,21656,63,4.414011830000001,145997,-1.3346494436264038,0.3639145493507385,-4.774391174316406,0.012621969915926456,0.0003,,
7.28,2299,146119,21660,63,4.28442984,146018,-1.6468932628631592,0.3560941517353058,4.421864986419678,0.012609101831912994,0.0003,,
7.09,2299,146136,21664,63,4.15034423,146035,-1.6824476718902588,0.31400126218795776,2.5150771141052246,0.012637513689696789,0.0003,,
7.2,2300,146171,21668,63,4.341622490000001,146070,-1.9567780494689941,0.336664080619812,4.073059558868408,0.012634886428713799,0.0003,,
7.13,2300,146190,21672,63,4.27106286,146089,-1.6707414388656616,0.3097192943096161,-0.06879496574401855,0.01264662854373455,0.0003,,
7.09,2300,146221,21676,63,4.20114932,146120,-1.6013157367706299,0.35165518522262573,2.753215789794922,0.012666490860283375,0.0003,,
7.04,2301,146252,21680,63,4.13945374,146151,-2.042635440826416,0.2693212628364563,0.005691856145858765,0.012662106193602085,0.0003,,
7.13,2301,146279,21684,63,4.20157131,146178,-1.739364504814148,0.3278007209300995,0.7346937656402588,0.012654156424105167,0.0003,,
7.3,2302,146312,21688,63,4.37400029,146211,-1.8609509468078613,0.4344170093536377,-0.2795673608779907,0.012692312709987164,0.0003,,
7.14,2302,146329,21692,63,4.22241741,146228,-1.7549233436584473,0.44637197256088257,0.385151207447052,0.012701096944510937,0.0003,,
7.13,2302,146356,21696,63,4.251006610000001,146255,-1.6331441402435303,0.3678281009197235,-0.8711912631988525,0.012764964252710342,0.0003,,
7.06,2303,146392,21700,63,4.38395914,146291,-2.035432815551758,0.34073829650878906,-0.31941020488739014,0.012781164608895779,0.0003,,
6.99,2303,146418,21704,63,4.38820272,146317,-1.6253232955932617,0.38071298599243164,1.2196450233459473,0.012817607261240482,0.0003,,
6.95,2304,146444,21708,63,4.31415195,146343,-1.3273606300354004,0.4325230121612549,-1.489319086074829,0.012826655991375446,0.0003,,
6.77,2304,146463,21712,63,4.0872982900000006,146362,-1.8126550912857056,0.3886517584323883,0.10938906669616699,0.01282923761755228,0.0003,,
6.79,2304,146484,21716,63,4.12370887,146383,-1.922499179840088,0.4747927784919739,0.7064028382301331,0.012870210222899914,0.0003,,
6.66,2305,146509,21720,63,4.02269271,146408,-1.8115273714065552,0.3042106032371521,1.3222774267196655,0.01290164515376091,0.0003,,
6.73,2305,146544,21724,63,4.10146581,146443,-1.8538987636566162,0.6163327693939209,2.0855350494384766,0.012931850738823414,0.0003,,
6.93,2306,146598,21728,63,4.24326982,146497,-1.4194433689117432,0.35491761565208435,-1.634653091430664,0.012910407967865467,0.0003,,
7.2,2307,146639,21732,63,4.461973189999999,146538,-1.7566131353378296,0.37758344411849976,0.1788097620010376,0.01289815828204155,0.0003,,
7.24,2307,146677,21736,63,4.437910660000001,146576,-1.6649763584136963,0.3627910017967224,-2.886878728866577,0.012873265892267227,0.0003,,
7.23,2308,146698,21740,63,4.44960088,146597,-1.6792460680007935,0.31599685549736023,2.321335554122925,0.012859021313488483,0.0003,,
7.16,2308,146719,21744,63,4.39726766,146618,-1.3965394496917725,0.3922874927520752,0.13653111457824707,0.0128630381077528,0.0003,,
7.1,2308,146740,21748,63,4.348321469999999,146639,-1.7290120124816895,0.37017062306404114,1.1611850261688232,0.012846764177083969,0.0003,,
