time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/learning_rate,eval/mean_reward,eval/mean_ep_length,train/actor_loss,train/n_updates,train/critic_loss
296,981.0,2394,284798,622.16902033,118,0.001,,,-73.77137318420411,283750,0.42456320014595983
,,,285000,,,0.001,951.0754222393036,1000.0,-73.74876591491699,284750,0.4883614272028208
300,981.0,2431,288798,603.61862709,118,0.001,,,-73.79221369934082,287750,0.3753997453004122
,,,290000,,,0.001,945.3394033253193,1000.0,-73.52691331481934,289750,0.3796699698343873
304,978.56,2468,292554,600.71283764,118,0.001,,,-73.57858430480957,291750,0.3524597836956382
,,,295000,,,0.001,935.0487716913224,1000.0,-73.5551416015625,294506,0.29675738197565077
308,978.56,2504,296554,600.2884808599999,118,0.001,,,-73.50909643554688,295506,0.48409371495991943
312,971.95,2528,299893,590.9273228299999,118,0.001,,,-73.41366366577148,299506,0.5726915501058102
,,,300000,,,0.001,932.8980878710747,1000.0,-73.4776210897773,299845,0.6471298295883654
316,971.95,2561,303893,602.24277052,118,0.001,,,-73.43154949951172,302845,0.4171396955475211
,,,305000,,,0.001,925.1285178422928,1000.0,-73.41060614013672,304845,0.5281536693871022
320,971.95,2598,307893,601.95798969,118,0.001,,,-73.33977360534668,306845,0.40756575736403466
,,,310000,,,0.001,939.744293564558,1000.0,-73.30422630310059,309845,0.44827732203900816
324,971.95,2633,311893,602.2025381799999,118,0.001,,,-73.26896697998046,310845,0.5891228278577327
,,,315000,,,0.001,942.2819752335548,1000.0,-73.30984733581543,314845,0.4832167412042618
328,971.95,2669,315893,601.5815736099999,118,,,,,,
332,971.95,2693,319893,601.66773675,118,0.001,,,-73.17490727233887,318845,0.4160678087770939
,,,320000,,,0.001,955.8976980090141,1000.0,-73.23841415405273,319845,0.35925536941736935
336,971.95,2729,323893,600.17557735,118,0.001,,,-73.17401387023926,322845,0.5403624652326107
,,,325000,,,0.001,944.069962233305,1000.0,-73.19928594970703,324845,0.34855039064586163
340,971.95,2765,327893,600.21803946,118,0.001,,,-73.30004032897949,326845,0.44711497555673124
,,,330000,,,0.001,881.6242362082005,1000.0,-73.17004022216797,329845,0.513419351451099
344,971.95,2801,331893,600.6501007200001,118,0.001,,,-73.1930357055664,330845,0.37425994375348093
348,965.05,2820,334945,595.73999307,118,0.001,,,-73.2461614255552,333897,0.2769346048525714
,,,335000,,,0.001,925.72077896595,1000.0,-73.14485705566406,334897,0.43543035666644575
352,965.05,2854,338945,596.25550237,118,0.001,,,-73.22684169006348,337897,0.32834940184652806
,,,340000,,,0.001,946.7943696975708,1000.0,-73.23833425903321,339897,0.4471154049783945
356,965.05,2889,342945,604.91406877,118,0.001,,,-73.14465649414062,341897,0.327216179035604
,,,345000,,,0.001,952.1136204063893,1000.0,-73.19817147827149,344897,0.3067566590979695
360,965.05,2924,346945,604.39552465,118,0.001,,,-73.17604382324218,345897,0.3836452427357435
,,,350000,,,0.001,923.5764552354813,1000.0,-73.13877917480468,349897,0.3971933176219463
364,965.05,2957,350945,603.69062933,118,,,,,,
368,961.54,2979,354594,602.0946698500001,118,0.001,,,-73.20242922973632,353897,0.3178161385655403
,,,355000,,,0.001,944.2810975193977,1000.0,-73.15795325646033,354546,0.6945678980099769
372,954.49,3006,357889,597.7875935600001,119,0.001,,,-73.23033230320937,356841,0.432283896031016
,,,360000,,,0.001,924.795227265358,1000.0,-73.2284603729248,359841,0.49740432020276787
376,954.49,3041,361889,598.08869141,118,0.001,,,-73.22743168640137,360841,0.5155434463471175
,,,365000,,,0.001,899.7161042630672,1000.0,-73.1298659362793,364841,0.4028038890734315
380,954.49,3076,365889,597.7203905700001,118,,,,,,
384,950.27,3098,369467,612.54345104,119,0.001,,,-73.07517671203614,368419,0.31559442066401244
,,,370000,,,0.001,871.7315485835076,1000.0,-73.12980001831055,369419,0.5314743925407529
388,958.65,3136,373467,617.6039750200001,119,0.001,,,-73.0706498413086,372419,0.3944094854593277
,,,375000,,,0.001,915.5822161734104,1000.0,-72.93718714904786,374419,0.45878160978108645
392,958.65,3173,377467,603.62352501,118,0.001,,,-72.9417684173584,376419,0.5435462994873523
,,,380000,,,0.001,928.408200609684,1000.0,-73.08367709350586,379419,0.42664084082841874
396,958.37,3209,380635,603.1375717100001,118,0.001,,,-73.08496580505371,380419,0.554132287286222
400,958.37,3229,384635,621.83721754,119,0.001,,,-73.12418989562988,383587,0.6629744096696377
,,,385000,,,0.001,918.7383080840111,1000.0,-73.09028805541992,384587,0.4501699070781469
404,960.81,3265,388635,624.9633599,119,0.001,,,-73.14208740234375,387587,0.6330376339554786
,,,390000,,,0.001,947.8768390774727,1000.0,-73.0993501739502,389587,0.5135327128618956
408,960.81,3302,392635,624.65391224,118,0.001,,,-73.16095887756347,391587,0.45022797380387786
,,,395000,,,0.001,938.453306555748,1000.0,-73.06895938110351,394587,0.5801498820558191
412,967.42,3339,396635,632.8965351300001,118,0.001,,,-73.0902753753662,395587,0.5157635773792862
,,,400000,,,0.001,914.1615425527095,1000.0,-72.9467198791504,399587,0.5696609939485788
416,967.42,3376,400635,635.17340376,118,,,,,,
420,967.42,3400,404635,635.7021435299998,118,0.001,,,-73.01950775146484,403587,0.8285790906995535
,,,405000,,,0.001,928.1865086913109,1000.0,-73.01702919006348,404587,0.5013857819959522
424,967.42,3436,408635,635.58305003,118,0.001,,,-72.94418208312989,407587,0.5776300725415349
,,,410000,,,0.001,929.7830819785595,1000.0,-72.90404512023926,409587,0.635486266233027
428,967.42,3473,412635,636.1064834299999,118,0.001,,,-72.81934681701661,411587,0.6504891055822373
,,,415000,,,0.001,885.224066644907,1000.0,-72.84116441345215,414587,0.5457639931589365
432,960.94,3510,415987,631.6098177199999,118,0.001,,,-72.8244610748291,415587,0.509563172839582
436,956.24,3529,419517,629.26297635,118,0.001,,,-72.77903450012207,418469,0.6050520153194666
,,,420000,,,0.001,824.4197233378887,1000.0,-72.76657250976562,419469,0.7271795648932456
440,956.24,3565,423517,626.97999792,118,0.001,,,-72.49553242492676,422469,0.48516260834783315
,,,425000,,,0.001,878.1016684710979,1000.0,-72.36648861694336,424469,0.5191081289350986
