train/learning_rate,rollout/ep_rew_mean,time/total_timesteps,train/actor_loss,time/episodes,time/time_elapsed,train/critic_loss,train/n_updates,rollout/ep_len_mean,time/fps,eval/mean_ep_length,eval/mean_reward
0.001,,77500,-147.82695917401995,,,35.809925749817985,77310,,,454.25,641.1676922827959
0.001,463.88391802000007,78912,-147.34074669915276,548,933,49.86505200878886,77885,285.43,84,,
0.001,,80000,-146.63577752051415,,,33.18413807914843,79654,,,1000.0,1048.034873354435
0.001,,82500,-147.59794885253908,,,32.159152339458466,81654,,,1000.0,1007.6825666755437
,490.81033622999996,82681,,552,1014,,,316.97,81,,
0.001,,85000,-147.7490113220215,,,33.70156743431091,84654,,,522.85,494.1612382143736
0.001,507.71042940000007,85721,-146.51278059525924,556,1054,31.242377557754516,85204,341.6,81,,
0.001,,87500,-146.27624101573622,,,39.207624773387884,86573,,,1000.0,992.9614260226488
0.001,532.03947839,89600,-145.5990235595703,560,1107,29.61448021745682,88573,373.32,80,,
0.001,,90000,-144.68742208862304,,,29.817435342788695,89573,,,1000.0,1015.2260692089797
0.001,,92500,-143.98749659729003,,,26.63721137714386,91573,,,1000.0,1025.1134390324355
0.001,550.19937627,93600,-143.48602157592774,564,1189,24.976814682483674,92573,396.84,78,,
0.001,,95000,-142.72927206420897,,,27.810037471771242,94573,,,1000.0,1038.6730473548173
0.001,,97500,-142.05325442504883,,,24.961171622276307,96573,,,1000.0,1038.2840237915516
,576.4817356399999,97600,,568,1269,,,429.24,76,,
0.001,575.14780498,98139,-142.36553213331433,572,1279,27.23826576430222,97981,427.33,76,,
0.001,572.25877372,98661,-141.6900082212506,576,1283,39.652214686075844,98477,424.81,76,,
0.001,,100000,-141.79558016346618,,,23.337761927281182,99001,,,754.55,850.1000918034464
0.001,578.21020453,100146,-141.73553646850587,580,1314,29.012930292129518,100001,432.13,76,,
0.001,581.8744163099999,101499,-142.6611792522928,584,1319,30.917314745213865,100472,438.31,76,,
0.001,581.2967266600001,102117,-141.65373794346638,588,1329,17.129844032988256,101973,437.67,76,,
0.001,,102500,-141.1338210025076,,,18.62736463546753,102090,,,961.4,1029.0359759747982
0.001,594.91834744,104426,-144.70517636651863,592,1363,20.523249342016978,103399,453.36,76,,
0.001,,105000,-154.8944723195043,,,28.125144450961265,104729,,,766.4,854.9833415806294
0.001,599.63753474,106140,-157.69668515523276,596,1395,27.809327465792496,105113,460.62,76,,
0.001,,107500,-157.6627035217285,,,30.311476231336595,107113,,,1000.0,1022.0932823747396
0.001,,110000,-156.56757647705078,,,26.580574540138244,109113,,,1000.0,1008.5203806132079
,624.6650761900001,110140,,600,1477,,,491.8,74,,
0.001,,112500,-154.84330377197264,,,31.024388673305513,112113,,,1000.0,1042.353553184867
0.001,649.1972873999999,114140,-154.27371560668945,604,1532,25.224623554706575,113113,522.93,74,,
0.001,,115000,-153.70756988525392,,,27.253133182764053,114113,,,1000.0,1021.9267910540104
0.001,663.35910571,117165,-153.03179931640625,608,1581,18.590291290283204,116138,544.15,74,,
0.001,,117500,-153.09304846191407,,,26.718828398227693,117138,,,1000.0,1008.6210723549127
0.001,,120000,-151.22530654907226,,,27.085967148065567,119138,,,1000.0,992.1138377845288
0.001,674.2324482700001,121165,-150.92674197387694,612,1658,22.998009554624556,120138,559.36,73,,
0.001,,122500,-148.00180888625812,,,14.408088742015519,122245,,,999.5,996.8161607332528
0.001,686.3553023400001,124272,-147.965813079834,616,1706,21.41508036375046,123245,579.16,72,,
0.001,,125000,-146.91981958007813,,,21.70815713405609,124245,,,1000.0,1026.9220939487218
0.001,,127500,-144.55272512817382,,,18.302996383309363,127245,,,1000.0,1081.3753495037556
,707.31281231,128272,,620,1788,,,606.12,71,,
0.001,694.09736567,129405,-146.11147953913763,624,1803,32.72617430312961,129344,600.34,71,,
0.001,,130000,-145.26341981976947,,,27.48152922639202,129855,,,1000.0,1053.4821143656968
0.001,696.46496527,131882,-145.1999639892578,628,1839,23.733112347602844,130855,609.14,71,,
0.001,,132500,-144.52220278930665,,,19.230054787635805,131855,,,1000.0,1048.3665114074945
0.001,,135000,-142.2646272277832,,,19.909149615049362,134855,,,1000.0,1038.553713721037
,717.0550396800002,135882,,632,1918,,,635.36,70,,
0.001,,137500,-140.64831317138672,,,15.83960710656643,136855,,,1000.0,1045.1755661278962
0.001,734.11677125,139458,-138.5669317779541,636,1974,17.350264302492143,138855,656.22,70,,
0.001,,140000,-137.79356847869025,,,12.727234948426485,139431,,,727.25,926.3001597851514
0.001,,142500,-135.4650808868408,,,16.48125883746147,142226,,,1000.0,1052.9300306349992
,753.176481,143253,,640,2042,,,678.91,70,,
0.001,752.2275033400002,144825,-133.7121902010334,644,2060,10.226378212224192,144743,680.47,70,,
0.001,,145000,-134.7344547140187,,,5.798002036951356,144857,,,168.05,364.99216347336767
0.001,736.4503219899999,145367,-134.0527249764705,648,2067,15.687698654506518,145208,664.55,70,,
0.001,712.4212598700001,146182,-133.5208429530047,652,2074,17.801388771637626,145991,635.01,70,,
0.001,698.34491537,147004,-132.9098109654018,656,2079,13.944464004039764,146633,612.83,70,,
0.001,,147500,-132.8990296125412,,,13.416478233744007,147385,,,131.3,307.9248715102673
,672.41407011,147543,,660,2088,,,579.43,70,,
0.001,644.9375814099999,148089,-131.8846083931301,664,2092,12.542688827720477,147933,544.89,70,,
0.001,615.6561081699999,148604,-132.21621627807616,668,2096,12.135205513238907,148447,510.04,70,,
0.001,615.05540202,149133,-132.06783722386217,672,2100,11.77846736980207,148977,509.94,71,,
0.001,616.41990637,149675,-131.85096468990795,676,2104,14.578684684348433,149516,510.14,71,,
