train/actor_loss,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,time/episodes,rollout/ep_rew_mean,time/fps,train/n_updates,time/total_timesteps,train/critic_loss,eval/mean_reward,eval/mean_ep_length
-40.12752897644043,709.99,521,0.001,108,404.12229935999994,148,76330,77385,1.0978273028731347,,
-42.696881240844725,,,0.001,,,,79330,80000,1.1211750071942805,1292.7071415370096,1000.0
-43.587436256408694,739.02,551,0.001,112,486.73713814999996,147,80330,81385,1.1560014912486076,,
-46.98381864929199,,,0.001,,,,84330,85000,1.2449567666053771,1069.6309049443662,1000.0
,777.03,580,,116,543.50252521,147,,85385,,,
-50.04484758069438,797.85,598,0.001,120,614.5783591200001,148,87578,88633,1.5925897487228917,,
-51.47829973602295,,,0.001,,,,89586,90000,1.5238297256231308,1156.50863776122,1000.0
-52.32615237426758,825.89,622,0.001,124,661.0019949,147,90586,91641,1.490095852315426,,
-56.366323616027834,,,0.001,,,,94586,95000,1.6639339024424553,1436.793346221326,1000.0
,855.11,652,,128,744.1873424600001,146,,95641,,,
-60.529645385742185,874.8,673,0.001,132,821.1726987400001,147,98586,99641,1.9149447997808458,,
-61.658328414916994,,,0.001,,,,99586,100000,2.0020773958563804,1169.987234155205,1000.0
-65.22136818695068,913.72,703,0.001,136,882.8882803100001,147,102586,103641,2.377535986304283,,
-67.8488208847046,,,0.001,,,,104586,105000,2.618415277004242,1574.5714492972825,1000.0
-70.17209039306641,932.0,733,0.001,140,941.6094852000001,146,106586,107641,2.898883257627487,,
-74.45762899780273,,,0.001,,,,109602,110000,3.8861757278442384,1296.155600328627,831.4
,930.36,756,,144,982.07188236,146,,110657,,,
-78.29534951378318,923.42,770,0.001,148,987.8177399899998,146,112129,113184,5.2377594008165245,,
-78.86554600885795,,,0.001,,,,114092,115000,4.8542252439823725,1134.806268993742,997.2
-79.67831543953189,925.39,795,0.001,152,976.5042609200002,146,115217,116272,5.096583108901978,,
-82.79953425598144,,,0.001,,,,119217,120000,4.793405549407005,-223.46570611416536,852.5
,925.39,824,,156,961.19534455,145,,120272,,,
-84.27113766140408,911.7,836,0.001,160,960.3560440800002,146,121408,122463,4.521885354563875,,
-84.2738872680664,,,0.001,,,,124857,125000,4.515412088751793,15.597289293352514,922.7
,906.19,862,,164,969.99008324,145,,125912,,,
-84.95452462768554,896.94,883,0.001,168,957.6998035200002,146,128857,128987,4.217073170304299,,
-85.1151484222412,,,0.001,,,,129932,130000,4.22482366001606,1574.0518554020673,1000.0
-85.67570722542133,894.01,907,0.001,172,978.3078880400001,146,131639,132694,4.535877662467147,,
-87.21336238098145,,,0.001,,,,134639,135000,4.4534295791387555,1064.5974300521316,930.7
-87.39348139953613,894.01,936,0.001,176,999.80935818,145,135639,136694,4.646123751401901,,
-88.52182260131836,899.01,952,0.001,180,1027.30798909,146,138654,139286,4.690766250014305,,
-88.68009164598253,,,0.001,,,,139231,140000,4.5529152272685565,838.2128017651606,954.9
-89.15955020141601,899.01,980,0.001,184,1042.0606340600002,146,142231,143286,4.960401759147644,,
-89.98794723510743,,,0.001,,,,144231,145000,5.342929187297821,-53.58268323430384,1000.0
-90.41567373657226,899.01,1009,0.001,188,1049.26010464,145,146231,147286,5.397182113647461,,
-90.96500277709961,880.63,1025,0.001,192,1027.26083612,145,149316,149448,5.583146119594574,,
-91.64826644094367,,,0.001,,,,149393,150000,5.111699655458525,1156.6808064006823,1000.0
-91.18673443603515,880.63,1050,0.001,196,991.7490069999999,146,152393,153448,5.547196380853653,,
-91.2854317932129,,,0.001,,,,154393,155000,6.137366003870964,696.1498859159299,860.4
-91.84316206359863,880.63,1079,0.001,200,1012.8484041499999,145,156393,157448,5.929987614393235,,
-92.77639825439454,,,0.001,,,,159393,160000,5.594420361757279,1599.1708979923744,1000.0
-92.62782887268067,880.63,1108,0.001,204,1032.7288361099997,145,160393,161448,6.0817683606147765,,
-93.6855757598877,,,0.001,,,,164393,165000,6.103901289939881,1120.4865290477464,819.3
,880.63,1136,,208,1048.09407569,145,,165448,,,
-94.27973908996582,874.35,1158,0.001,212,1024.68927251,145,168393,168820,6.0709423577785495,,
-94.14229769897462,,,0.001,,,,169765,170000,6.1973988075256345,1397.4828572957601,722.7
-94.6282866973877,874.35,1182,0.001,216,1022.3443758599999,146,171765,172820,5.976496590852737,,
-95.04603480529785,,,0.001,,,,174765,175000,6.463042499542237,1305.243706301914,726.1
-95.24697859191895,881.87,1210,0.001,220,1046.52653696,146,175765,176820,6.5033470959663395,,
-96.35735173034668,,,0.001,,,,179765,180000,7.133348728179931,1580.7024726917384,855.1
,891.79,1238,,224,1083.9277752599999,146,,180820,,,
-97.3533623046875,891.79,1259,0.001,228,1095.4839112599998,146,183765,184820,7.179705534219742,,
-97.94232987976075,,,0.001,,,,184765,185000,7.39827097439766,1717.9220936702332,944.3
-98.07366909790039,883.83,1284,0.001,232,1067.5283286699998,146,186969,188024,7.539615726709366,,
-98.55416564941406,,,0.001,,,,189028,190000,8.419335284475553,1687.0125565670664,824.6
-98.55160971069336,874.42,1307,0.001,236,1073.12292934,146,190028,191083,7.80151186132431,,
-99.18329660034179,867.29,1325,0.001,240,1061.81247468,146,193315,194370,8.068691963434219,,
-99.56158778381348,,,0.001,,,,194315,195000,8.119739206790925,1948.3234366966412,835.4
-100.36108619689941,874.88,1354,0.001,244,1099.9181003500003,146,197315,198145,8.41051973772049,,
-101.61090839235254,,,0.001,,,,199532,200000,8.502320470056272,2300.9450701497494,1000.0
-101.7570079650879,881.25,1380,0.001,248,1146.16571463,145,200532,201309,8.264301319122314,,
-103.24291677732725,883.33,1396,0.001,252,1222.21996569,146,203550,204605,8.322931094749555,,
-104.12661741638183,,,0.001,,,,204550,205000,8.997161359548569,1375.9304785873042,599.9
-103.94926844416437,874.07,1417,0.001,256,1274.53360051,146,206624,207679,9.72061051226951,,
-105.44235122680664,,,0.001,,,,209624,210000,9.387666412830352,1649.3680350980198,991.2
-106.27123526000976,892.16,1446,0.001,260,1339.00461522,146,210624,211679,9.4201600689888,,
-107.86840213012695,887.92,1463,0.001,264,1375.06962653,146,213649,214704,9.56842821931839,,
-108.2935799255371,,,0.001,,,,214649,215000,9.790112406253815,1429.5931485709734,562.9
-108.12737773132324,878.79,1484,0.001,268,1369.597326,146,216801,216866,10.129825078010558,,
-109.14285484313965,866.12,1492,0.001,272,1376.6171862,146,218251,219306,10.457371159791947,,
-109.98843809509277,,,0.001,,,,219251,220000,10.213123826026916,707.2069419883192,477.4
-111.01362640380859,866.12,1518,0.001,276,1397.5418788600002,147,222251,223306,11.415245888710022,,
-112.71969848632813,,,0.001,,,,224251,225000,11.575924230575561,1892.2614632250043,869.1
-113.8445121307373,870.29,1545,0.001,280,1426.5277069499998,146,226251,226315,11.87949657535553,,
-114.9787740020752,863.03,1558,0.001,284,1447.91626319,147,228534,229589,12.093604315280915,,
-118.01974814278739,,,0.001,,,,229548,230000,10.310609783445086,1425.7321445430396,683.7
-115.5489619293213,853.17,1580,0.001,288,1458.08829864,147,231548,232603,11.622434987068177,,
-116.50587898254395,,,0.001,,,,234623,235000,11.884370698451995,1492.0462800367154,848.9
,862.3,1604,,292,1481.8262714799996,146,,235678,,,
-118.72691192626954,852.59,1620,0.001,296,1551.96402267,147,237652,238707,10.744889177125076,,
-118.10507243347168,,,0.001,,,,239652,240000,12.338619354248047,2562.28197682146,1000.0
-118.5105948638916,852.59,1649,0.001,300,1579.91058523,147,241652,242707,12.644975744724274,,
-120.62409753417968,,,0.001,,,,244652,245000,11.932770080566407,1886.318646388888,812.6
-120.84115881347657,852.59,1677,0.001,304,1598.33564103,147,245652,246707,12.235270826339722,,
-122.76058265686035,844.27,1697,0.001,308,1609.7977592899997,147,249480,249875,12.671770709991454,,
-123.23755327112535,,,0.001,,,,249820,250000,13.247198710722081,1850.630206750473,787.1
-123.68436199951172,850.55,1722,0.001,312,1672.2185827,147,252820,253875,12.522279069900513,,
-125.35625990295411,,,0.001,,,,254820,255000,12.122796419143677,1272.7230565366335,917.4
-125.83965185546874,850.55,1751,0.001,316,1682.4458112000002,147,256820,257875,12.567445798873901,,
