time/time_elapsed,time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,eval/mean_reward,eval/mean_ep_length
,,58000,,,,0.001,57331,-63.38313544464111,0.5683102010190487,1000.0,1000.0
,,59000,,,,0.001,58331,-63.91246199798584,0.9956894872412085,1000.0,1000.0
703,596,59426,84,467.91,467.91,,,,,,
,,60000,,,,0.001,59331,-64.587333984375,3.5074593610912563,1000.0,1000.0
,,61000,,,,0.001,60331,-64.78763450622559,6.04088471698761,1000.0,1000.0
,,62000,,,,0.001,61331,-65.36791822052002,5.147476321697235,1000.0,1000.0
,,63000,,,,0.001,62331,-65.52481932067872,4.5716024404764175,1000.0,1000.0
760,600,63426,83,505.65,505.65,,,,,,
,,64000,,,,0.001,63331,-65.941592628479,5.53967307177186,1000.0,1000.0
,,65000,,,,0.001,64331,-66.64910829162598,5.9540309757590295,1000.0,1000.0
,,66000,,,,0.001,65331,-66.89707952880859,4.017198820441961,1000.0,1000.0
,,67000,,,,0.001,66331,-66.87076538848876,10.386461353182792,1000.0,1000.0
820,604,67426,82,543.35,543.35,,,,,,
,,68000,,,,0.001,67331,-67.01083364105224,14.649995488405228,1000.0,1000.0
,,69000,,,,0.001,68331,-66.77562701416015,13.289306550383568,1000.0,1000.0
,,70000,,,,0.001,69331,-67.27269096374512,8.77844331985712,1000.0,1000.0
,,71000,,,,0.001,70331,-67.2668136138916,6.022059187293053,1000.0,1000.0
879,608,71426,81,581.1,581.1,,,,,,
,,72000,,,,0.001,71331,-67.78948474884034,8.301570106625556,1000.0,1000.0
,,73000,,,,0.001,72331,-67.7044976348877,8.799436471343041,1000.0,1000.0
,,74000,,,,0.001,73331,-67.9432971572876,6.918238228261471,1000.0,1000.0
,,75000,,,,0.001,74331,-67.86455226135254,7.340170584082603,1000.0,1000.0
940,612,75426,80,618.79,618.79,,,,,,
,,76000,,,,0.001,75331,-68.16879291534424,7.356399212121963,1000.0,1000.0
,,77000,,,,0.001,76331,-68.51337372589111,12.054631182074546,1000.0,1000.0
,,78000,,,,0.001,77331,-68.74162406921387,9.633032182395459,1000.0,1000.0
,,79000,,,,0.001,78331,-69.27074694824219,5.16212749299407,1000.0,1000.0
1002,616,79426,79,656.55,656.55,,,,,,
,,80000,,,,0.001,79331,-69.90788885498047,3.213089299350977,1000.0,1000.0
,,81000,,,,0.001,80331,-70.50390431213378,4.712408623397351,1000.0,1000.0
,,82000,,,,0.001,81331,-70.37346264648437,9.236895549416541,1000.0,1000.0
,,83000,,,,0.001,82331,-69.84851536560059,17.71291063284874,1000.0,1000.0
1063,620,83426,78,694.25,694.25,,,,,,
,,84000,,,,0.001,83331,-70.46577614593505,18.214180793762207,1000.0,1000.0
,,85000,,,,0.001,84331,-70.3223060760498,16.705587613344193,1000.0,1000.0
,,86000,,,,0.001,85331,-70.45841395568847,21.802694806337357,1000.0,1000.0
,,87000,,,,0.001,86331,-71.3951508255005,11.777552615761756,1000.0,1000.0
1123,624,87426,77,731.96,731.96,,,,,,
,,88000,,,,0.001,87580,-71.07410650634766,10.072175538683512,1000.0,1000.0
,,89000,,,,0.001,88580,-71.21685821533202,8.347683387160302,1000.0,1000.0
,,90000,,,,0.001,89580,-70.95357977294921,9.063346533179283,383.4,383.4
1164,628,90059,77,755.82,755.82,,,,,,
,,91000,,,,0.001,89964,-70.9285734097163,7.046045977932711,464.9,464.9
,,92000,,,,0.001,90910,-70.96515724875711,5.4741249462514805,1000.0,1000.0
,,93000,,,,0.001,91910,-71.22421217346191,2.9735328690111635,1000.0,1000.0
,,94000,,,,0.001,92910,-71.78808406829835,0.5927408269792795,1000.0,1000.0
1213,632,94005,77,792.83,792.83,,,,,,
,,95000,,,,0.001,93910,-72.37949684143067,0.44605751714110375,1000.0,1000.0
,,96000,,,,0.001,94910,-72.86477745056152,0.572437996789813,1000.0,1000.0
,,97000,,,,0.001,95910,-73.20737400817872,0.8503329041600227,1000.0,1000.0
,,98000,,,,0.001,96910,-73.57555715942382,0.8112559367418289,1000.0,1000.0
1267,636,98005,77,830.34,830.34,,,,,,
,,99000,,,,0.001,97910,-73.92712704467773,0.8808489345014096,1000.0,1000.0
,,100000,,,,0.001,98910,-74.56895783996582,1.3444617284163833,1000.0,1000.0
,,101000,,,,0.001,99910,-74.91487872314453,1.7263702777922154,1000.0,1000.0
,,102000,,,,0.001,100910,-75.47027243041993,1.887005815371871,1000.0,1000.0
1320,640,102005,77,867.83,867.83,,,,,,
,,103000,,,,0.001,101910,-75.83343922424316,1.4374607325792312,1000.0,1000.0
,,104000,,,,0.001,102910,-76.22623231506347,1.6102610958218575,1000.0,1000.0
,,105000,,,,0.001,103910,-76.51161026000976,1.9694305504113436,1000.0,1000.0
,,106000,,,,0.001,104910,-76.8596502532959,1.5558459441661834,1000.0,1000.0
1375,644,106005,77,905.19,905.19,,,,,,
,,107000,,,,0.001,105910,-77.32944285583496,1.2051872732043267,1000.0,1000.0
,,108000,,,,0.001,106910,-77.57611106872558,0.9098187384232879,1000.0,1000.0
,,109000,,,,0.001,107910,-77.89215036010742,1.4436676994115114,1000.0,1000.0
,,110000,,,,0.001,108910,-78.38828843688965,1.5382940044105053,1000.0,1000.0
1429,648,110005,76,941.36,941.36,,,,,,
,,111000,,,,0.001,109910,-78.66318756103516,1.4278496667966247,1000.0,1000.0
,,112000,,,,0.001,110910,-78.81098658752441,1.187809986770153,1000.0,1000.0
,,113000,,,,0.001,111910,-79.30544459533691,1.2345380912199617,1000.0,1000.0
,,114000,,,,0.001,112910,-79.68820729064942,1.0805415883660316,1000.0,1000.0
1484,652,114005,76,966.64,966.64,,,,,,
,,115000,,,,0.001,113910,-80.07873167419433,1.4572351824045182,1000.0,1000.0
,,116000,,,,0.001,114910,-80.35223149108887,1.3040392024964094,1000.0,1000.0
,,117000,,,,0.001,115910,-80.54130729675293,2.174961884200573,1000.0,1000.0
,,118000,,,,0.001,116910,-80.43623970031739,3.4564131252765655,1000.0,1000.0
1538,656,118005,76,983.11,983.11,,,,,,
,,119000,,,,0.001,117910,-80.37597932434082,5.044795119225979,1000.0,1000.0
,,120000,,,,0.001,118910,-80.39569302368164,3.5730681530833244,1000.0,1000.0
,,121000,,,,0.001,119910,-80.70259480285644,3.9509700290858745,1000.0,1000.0
,,122000,,,,0.001,120910,-80.30124307250976,9.857529814958573,1000.0,1000.0
1595,660,122005,76,985.79,985.79,,,,,,
,,123000,,,,0.001,121910,-79.70884819030762,9.260933745384216,1000.0,1000.0
,,124000,,,,0.001,122910,-79.04388586425782,12.139240498423577,1000.0,1000.0
,,125000,,,,0.001,123910,-78.75149452209473,13.916332679390907,1000.0,1000.0
,,126000,,,,0.001,124910,-77.7174832611084,18.320126920938492,1000.0,1000.0
1649,664,126005,76,985.79,985.79,,,,,,
,,127000,,,,0.001,125910,-76.43338607788085,29.728361962795258,1000.0,1000.0
,,128000,,,,0.001,126910,-75.39234651184083,28.542363198518753,1000.0,1000.0
,,129000,,,,0.001,127910,-74.15259814453125,32.232601863861085,1000.0,1000.0
,,130000,,,,0.001,128910,-73.74772164916992,26.149558273792266,1000.0,1000.0
1706,668,130005,76,985.79,985.79,,,,,,
,,131000,,,,0.001,129910,-73.41338195800782,19.605868144750595,1000.0,1000.0
,,132000,,,,0.001,130910,-72.29997929382324,17.118249782085417,1000.0,1000.0
,,133000,,,,0.001,131910,-72.01204156494141,16.731569637537003,1000.0,1000.0
,,134000,,,,0.001,132910,-71.17418185424805,20.7959699883461,1000.0,1000.0
1759,672,134005,76,985.79,985.79,,,,,,
,,135000,,,,0.001,133910,-70.37172680664062,18.967875909805297,1000.0,1000.0
,,136000,,,,0.001,134910,-70.26830978393555,23.04566439509392,1000.0,1000.0
,,137000,,,,0.001,135910,-70.77234489440917,29.348720068454742,1000.0,1000.0
,,138000,,,,0.001,136910,-71.69140203857422,29.34735072374344,1000.0,1000.0
1813,676,138005,76,985.79,985.79,,,,,,
,,139000,,,,0.001,137910,-72.44332104492187,33.53712351703644,1000.0,1000.0
,,140000,,,,0.001,138910,-75.28180236816407,25.670425184726714,1000.0,1000.0
,,141000,,,,0.001,139910,-77.01775811767578,21.638687137126922,1000.0,1000.0
,,142000,,,,0.001,140910,-77.48184313964843,18.14766544008255,1000.0,1000.0
1867,680,142005,76,985.79,985.79,,,,,,
,,143000,,,,0.001,141910,-77.0689425354004,21.660910729885103,1000.0,1000.0
,,144000,,,,0.001,142910,-76.37632690429687,26.613394494533537,1000.0,1000.0
,,145000,,,,0.001,143910,-76.99102908325196,23.5353462703228,1000.0,1000.0
,,146000,,,,0.001,144910,-77.53159426879883,17.31742222714424,1000.0,1000.0
1924,684,146005,75,985.79,985.79,,,,,,
,,147000,,,,0.001,145910,-78.12041246032715,16.16516158747673,1000.0,1000.0
,,148000,,,,0.001,146910,-78.6924130859375,17.332197023153306,1000.0,1000.0
,,149000,,,,0.001,147910,-79.40464213562012,10.160970990777015,1000.0,1000.0
,,150000,,,,0.001,148910,-80.23109048461914,6.248777549266816,1000.0,1000.0
1986,688,150005,75,985.79,985.79,,,,,,
,,151000,,,,0.001,149910,-80.65161473083496,9.889001953542232,1000.0,1000.0
,,152000,,,,0.001,150910,-80.8791632385254,10.756227654457092,1000.0,1000.0
,,153000,,,,0.001,151910,-80.51020233154297,18.662782110214234,1000.0,1000.0
,,154000,,,,0.001,152910,-80.7051626739502,21.117221895456314,1000.0,1000.0
2043,692,154005,75,985.79,985.79,,,,,,
,,155000,,,,0.001,153910,-80.6862968597412,20.064238715648653,1000.0,1000.0
,,156000,,,,0.001,154910,-80.7042292175293,16.998569501638414,1000.0,1000.0
,,157000,,,,0.001,155910,-80.51692301940918,12.946919527292252,1000.0,1000.0
,,158000,,,,0.001,156910,-80.7176920928955,11.97318969476223,1000.0,1000.0
2101,696,158005,75,985.79,985.79,,,,,,
,,159000,,,,0.001,157910,-80.3195168762207,16.165075570106506,1000.0,1000.0
,,160000,,,,0.001,158910,-78.48705928039551,25.739838063955307,1000.0,1000.0
,,161000,,,,0.001,159910,-77.95569482421875,21.691380775690078,1000.0,1000.0
,,162000,,,,0.001,160910,-75.32468980407715,36.30911846113205,1000.0,1000.0
2155,700,162005,75,985.79,985.79,,,,,,
,,163000,,,,0.001,161910,-74.79786608886718,35.435593382835386,1000.0,1000.0
,,164000,,,,0.001,162910,-74.98988609313965,26.850442844867707,1000.0,1000.0
,,165000,,,,0.001,163910,-74.94874844360352,18.985346843719483,1000.0,1000.0
,,166000,,,,0.001,164910,-74.3166403503418,19.513771296739577,1000.0,1000.0
2211,704,166005,75,985.79,985.79,,,,,,
,,167000,,,,0.001,165910,-74.27004063415528,21.22296911406517,1000.0,1000.0
,,168000,,,,0.001,166910,-74.9172917022705,21.04195812869072,1000.0,1000.0
,,169000,,,,0.001,167910,-75.10819236755371,26.96466076731682,1000.0,1000.0
,,170000,,,,0.001,168910,-74.99496267700195,21.264404006958006,1000.0,1000.0
2268,708,170005,74,985.79,985.79,,,,,,
,,171000,,,,0.001,169910,-75.27130085754395,21.527407233953475,1000.0,1000.0
,,172000,,,,0.001,170910,-74.9795524597168,16.459746519804,1000.0,1000.0
,,173000,,,,0.001,171910,-75.02385661315918,9.580933954417706,1000.0,1000.0
,,174000,,,,0.001,172910,-76.54526414489746,2.7593174250125885,1000.0,1000.0
2326,712,174005,74,985.79,985.79,,,,,,
,,175000,,,,0.001,173910,-77.02872169494628,3.3752313346266747,1000.0,1000.0
,,176000,,,,0.001,174910,-76.33390097045898,7.7885211125314235,1000.0,1000.0
,,177000,,,,0.001,175910,-75.05268305969238,15.476960019111633,1000.0,1000.0
,,178000,,,,0.001,176910,-74.21847143554687,26.415932746887208,1000.0,1000.0
2390,716,178005,74,985.79,985.79,,,,,,
,,179000,,,,0.001,177910,-75.19016116333007,27.391925260066987,1000.0,1000.0
,,180000,,,,0.001,178910,-76.32241398620606,34.25410338115692,1000.0,1000.0
,,181000,,,,0.001,179910,-76.67452349853515,33.416499927043915,1000.0,1000.0
,,182000,,,,0.001,180910,-76.749489944458,31.97443930387497,1000.0,1000.0
2447,720,182005,74,985.79,985.79,,,,,,
,,183000,,,,0.001,181910,-76.93332711791992,25.903115416288376,1000.0,1000.0
,,184000,,,,0.001,182910,-77.78094535827637,20.483118454217912,1000.0,1000.0
,,185000,,,,0.001,183910,-77.4986146697998,21.82557155919075,1000.0,1000.0
,,186000,,,,0.001,184910,-76.57528982543946,27.71655074930191,1000.0,1000.0
2505,724,186005,74,985.79,985.79,,,,,,
,,187000,,,,0.001,185910,-77.05936151123046,18.690426867961882,1000.0,1000.0
