train/learning_rate,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,train/n_updates,time/total_timesteps,train/actor_loss,time/fps,eval/mean_ep_length,eval/mean_reward
0.001,196,1000.0,794.2899735999999,1361,0.23195123801380396,180843,181843,-55.60111186981201,133,,
0.001,,,,,0.22807865592092275,184843,185000,-56.08458838653564,,1000.0,941.2804007384926
,200,1000.0,810.1852203600002,1392,,,185843,,133,,
0.001,204,1000.0,816.71070733,1414,0.2521845987290144,188843,189843,-56.569827209472656,134,,
0.001,,,,,0.25247598592191933,189843,190000,-56.637790054321286,,1000.0,935.3838463097811
0.001,208,1000.0,822.8027598199999,1447,0.24857445119321347,192843,193843,-57.04182136535645,133,,
0.001,,,,,0.22706921380013229,194843,195000,-57.309857681274416,,1000.0,935.9264706879854
0.001,212,1000.0,828.80334944,1481,0.22404337284713985,196843,197843,-57.63334309387207,133,,
0.001,,,,,0.22481546917557715,199843,200000,-58.02026789855957,,1000.0,924.5510319769382
0.001,216,1000.0,834.6433696400001,1515,0.23536811134219168,200843,201843,-58.08787791442871,133,,
0.001,,,,,0.2371459759250283,204843,205000,-58.460842880249025,,1000.0,921.4715215515346
,220,1000.0,839.1605360799999,1548,,,205843,,132,,
0.001,224,1000.0,837.87259869,1571,0.25452879452705385,208843,209843,-58.64828812408447,133,,
0.001,,,,,0.24474364427477122,209843,210000,-58.729785316467286,,1000.0,925.4300221905112
0.001,228,1000.0,843.9707800900001,1605,0.28788132712990044,212843,213843,-58.771963142395016,133,,
0.001,,,,,0.28781254282593727,214843,215000,-58.77426533508301,,1000.0,863.2993168796413
0.001,232,1000.0,850.87407496,1638,0.278237781830132,216843,217843,-58.82787033081055,132,,
0.001,,,,,0.2742493645399809,219843,220000,-58.91860242462158,,1000.0,902.2321251830551
0.001,236,1000.0,861.1124132,1671,0.25967299433797597,220843,221843,-58.94875138092041,132,,
0.001,,,,,0.2729301284775138,224843,225000,-58.86264684295654,,1000.0,939.5151772916317
,240,1000.0,871.0836359199998,1705,,,225843,,132,,
0.001,244,1000.0,879.3694501900002,1727,0.2577082745432854,228843,229843,-59.020156669616696,133,,
0.001,,,,,0.25705533833801747,229843,230000,-59.07069694519043,,1000.0,876.7251386463643
0.001,248,1000.0,885.1499871899999,1760,0.24258198445290327,232843,233843,-59.342658515930175,132,,
0.001,,,,,0.23713499149680137,234843,235000,-59.551500511169436,,1000.0,862.0599301747977
