time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
11,1431,400,3.42,30.399585070000004,119,-16.984158515930176,0.001,3.1392655968666077,1331,,
12,1445,404,3.4,30.234082579999992,119,-18.551836013793945,0.001,2.487192074457804,1345,,
12,1459,408,3.41,30.314207639999996,119,-18.161870002746582,0.001,3.426548480987549,1358,,
12,1473,412,3.41,30.314272429999992,119,-17.638599395751953,0.001,2.6068447828292847,1372,,
12,1488,416,3.42,30.395079759999998,119,-18.023371696472168,0.001,4.075221121311188,1387,,
12,1502,420,3.43,30.48056796,118,-18.296844482421875,0.001,3.942639867464701,1402,,
12,1515,424,3.42,30.394169869999995,118,-18.829187393188477,0.001,2.811128854751587,1415,,
12,1530,428,3.44,30.563518719999998,118,-18.111748695373535,0.001,2.7816692888736725,1429,,
13,1544,432,3.45,30.647328529999996,118,-18.751394271850586,0.001,2.4192540645599365,1444,,
13,1557,436,3.45,30.64523137,118,-18.289414405822754,0.001,2.9512969851493835,1457,,
13,1570,440,3.45,30.64305722,118,-19.37088966369629,0.001,2.546563684940338,1470,,
13,1586,444,3.47,30.80794336,118,-19.818425178527832,0.001,2.901002883911133,1485,,
13,1601,448,3.49,30.97622817,118,-18.668685913085938,0.001,3.025787353515625,1501,,
13,1616,452,3.51,31.13900593,118,-19.095531463623047,0.001,2.7179385821024575,1515,,
13,1631,456,3.53,31.30482455,118,-18.705655097961426,0.001,2.717517137527466,1530,,
13,1644,460,3.52,31.22034502,118,-18.708226203918457,0.001,2.9979089895884194,1544,,
14,1658,464,3.51,31.137841630000008,118,-20.04111099243164,0.001,3.061867872873942,1557,,
14,1672,468,3.52,31.219488310000006,117,-18.621167182922363,0.001,2.6264853477478027,1572,,
14,1686,472,3.5,31.05112704,117,-18.576539993286133,0.001,3.315751791000366,1585,,
14,1699,476,3.48,30.885260170000002,116,-19.72188949584961,0.001,2.6430141925811768,1599,,
14,1714,480,3.49,30.967824329999996,116,-19.524240493774414,0.001,2.212395668029785,1613,,
14,1728,484,3.51,31.13429639,116,-18.788681983947754,0.001,3.1100751757621765,1627,,
14,1742,488,3.51,31.135048370000003,116,-19.40626335144043,0.001,2.261210044225057,1642,,
15,1755,492,3.51,31.137393749999998,116,-19.520474433898926,0.001,2.9496065378189087,1655,,
15,1769,496,3.51,31.138263969999997,116,-19.21041965484619,0.001,2.587762991587321,1668,,
15,1784,500,3.53,31.307067670000006,116,-18.695329666137695,0.001,2.6257375876108804,1683,,
15,1800,504,3.55,31.47556435,116,-20.21656036376953,0.001,2.7345712184906006,1699,,
15,1816,508,3.57,31.646140679999995,116,-19.04371452331543,0.001,2.757114201784134,1715,,
15,1829,512,3.56,31.563058959999992,116,-18.711583137512207,0.001,3.5091071923573813,1728,,
15,1844,516,3.56,31.56577138,116,-18.47944164276123,0.001,2.598706364631653,1743,,
15,1857,520,3.55,31.48083332,116,-17.852069854736328,0.001,3.3932268619537354,1756,,
16,1869,524,3.54,31.3989484,116,-19.88616371154785,0.001,2.829611659049988,1769,,
16,1883,528,3.53,31.314905330000002,116,-18.14254093170166,0.001,2.086376667022705,1782,,
16,1897,532,3.53,31.315015139999996,116,-19.256080627441406,0.001,2.4937628507614136,1797,,
16,1911,536,3.54,31.39862862,115,-19.450995445251465,0.001,2.673309803009033,1810,,
16,1924,540,3.54,31.39835515,115,-18.89026641845703,0.001,2.347285509109497,1823,,
16,1938,544,3.52,31.234253510000002,115,-18.79260540008545,0.001,2.7480276226997375,1837,,
16,1952,548,3.51,31.14793697,115,-18.790752410888672,0.001,1.8477883736292522,1851,,
17,1966,552,3.5,31.068490339999997,115,-20.09347629547119,0.001,2.3891592025756836,1866,,
17,1980,556,3.49,30.98807581,115,-20.434804916381836,0.001,2.655861775080363,1879,,
17,1994,560,3.5,31.07165353,115,-19.883560180664062,0.001,2.7676779329776764,1893,,
,2000,,,,,-19.785310745239258,0.001,3.201587359110514,1900,3.5,31.10648956298828
17,2008,564,3.5,31.07140014,115,-19.456170082092285,0.001,1.7143774032592773,1907,,
17,2022,568,3.5,31.072801870000003,115,-20.711753845214844,0.001,3.3064379692077637,1921,,
17,2036,572,3.5,31.071792760000005,115,-19.690893173217773,0.001,2.795965313911438,1936,,
17,2051,576,3.52,31.23942355,115,-19.67998695373535,0.001,1.7000268697738647,1950,,
17,2065,580,3.51,31.15843201,115,-19.464780807495117,0.001,2.5412120819091797,1965,,
18,2079,584,3.51,31.158602389999995,115,-19.501800537109375,0.001,2.508001685142517,1979,,
18,2093,588,3.51,31.157503910000006,115,-19.328198432922363,0.001,2.3648077249526978,1993,,
18,2109,592,3.54,31.405677530000002,115,-19.811427116394043,0.001,2.1661917567253113,2008,,
18,2122,596,3.53,31.32103838,115,-19.87834358215332,0.001,2.8471373915672302,2022,,
18,2135,600,3.51,31.153320000000004,115,-20.767513275146484,0.001,2.859365940093994,2034,,
