rollout/ep_len_mean,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/clip_range,train/value_loss,train/entropy_loss,train/loss,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/std,train/explained_variance,train/n_updates,train/approx_kl,eval/mean_ep_length,eval/mean_reward
,,,150000,,,0.2,25.222668972611427,-11.637387743592262,13.490775108337402,0.349658203125,0.0003,-0.03447305020526983,0.7744828462600708,0.9924115273170173,730,0.054613154,93.15,440.56820665597917
89.83,392,74,151552,372.46531187000005,385,,,,,,,,,,,,,
90.91,397,75,153600,377.59031489,386,0.2,25.459460762143134,-11.584513926506043,13.157665252685547,0.3564453125,0.0003,-0.03059273991093505,0.770096480846405,0.9912173850461841,740,0.053191595,,
,,,155000,,,0.2,26.54696938097477,-11.526804360747338,10.398468017578125,0.36865234375,0.0003,-0.032866980668040925,0.7652706503868103,0.9913687231019139,750,0.04858772,96.95,456.165128493309
91.83,403,76,155648,382.02729703,385,,,,,,,,,,,,,
92.99,408,77,157696,387.52086623,386,0.2,23.980622455477715,-11.474670791625977,9.118110656738281,0.32158203125,0.0003,-0.030150322511326523,0.762091875076294,0.9929693760350347,760,0.047774345,,
94.25,412,78,159744,393.24272203,387,0.2,22.875762376189233,-11.427122616767884,7.233432769775391,0.3158203125,0.0003,-0.0384862396895187,0.7585883736610413,0.9930504965595901,770,0.037144072,,
,,,160000,,,0.2,25.61192991733551,-11.387955677509307,17.193645477294922,0.385009765625,0.0003,-0.04165105857537128,0.756497859954834,0.9926923732273281,780,0.0473093,104.0,487.05746113061906
95.57,419,79,161792,399.09010968,386,,,,,,,,,,,,,
97.22,423,80,163840,406.37530828999996,387,0.2,22.25572601854801,-11.371750369668007,7.373218059539795,0.316943359375,0.0003,-0.03749671775149181,0.7555314302444458,0.9929226958192885,790,0.04771117,,
,,,165000,,,0.2,36.970356079936025,-11.351747167110442,14.188591957092285,0.29931640625,0.0003,-0.03519149445346557,0.7536855936050415,0.9890057677403092,800,0.037647348,107.5,502.13935697078705
98.52,429,81,165888,411.51629161,385,,,,,,,,,,,,,
100.44,434,82,167936,419.0325401900001,386,0.2,37.96974487900734,-11.336015230417251,13.62061595916748,0.314599609375,0.0003,-0.03398913074051961,0.7527850270271301,0.9906667256727815,810,0.042672127,,
102.78,439,83,169984,428.59714249000007,386,0.2,28.037960097193718,-11.31423814892769,7.8449225425720215,0.33388671875,0.0003,-0.03625957400945481,0.7510198950767517,0.9905753778293729,820,0.039140433,,
,,,170000,,,0.2,35.973378238081935,-11.302818247675896,18.469249725341797,0.306689453125,0.0003,-0.039539010694716124,0.7506567239761353,0.9902334716171026,830,0.043813843,121.3,565.4389118790626
104.89,446,84,172032,436.5667819799999,385,,,,,,,,,,,,,
107.35,450,85,174080,446.20025845,386,0.2,41.78263058066368,-11.282598537206649,19.98827362060547,0.3013671875,0.0003,-0.03880330890242476,0.7479234933853149,0.9885717146098614,840,0.04469459,,
,,,175000,,,0.2,38.02979177236557,-11.240589851140976,16.919878005981445,0.307373046875,0.0003,-0.03706050195905845,0.7440745830535889,0.9900222634896636,850,0.04124665,132.8,618.0980156064034
110.11,457,86,176128,457.1281905000001,385,,,,,,,,,,,,,
113.97,461,87,178176,473.93885219000003,385,0.2,39.7018519282341,-11.197573000192643,15.973944664001465,0.284130859375,0.0003,-0.037532928539440034,0.7417559027671814,0.9903834965080023,860,0.04084266,,
,,,180000,,,0.2,53.74471824169159,-11.173682680726051,22.89324188232422,0.295654296875,0.0003,-0.028103350836317986,0.7406131029129028,0.9795627240091562,870,0.035421215,141.2,656.0330275058747
116.8,469,88,180224,486.00450157,384,,,,,,,,,,,,,
119.18,474,89,182272,495.67343096,384,0.2,51.0067379117012,-11.14656283557415,11.013187408447266,0.24013671875,0.0003,-0.029813944539637306,0.7377233505249023,0.9887844054028392,880,0.029732354,,
123.24,478,90,184320,513.68533662,385,0.2,59.34326381087303,-11.11493199467659,28.407747268676758,0.2947265625,0.0003,-0.03392001630563755,0.7358511686325073,0.9838374368846416,890,0.036742732,,
,,,185000,,,0.2,53.88251818418503,-11.079864582419395,23.012577056884766,0.296240234375,0.0003,-0.031041549614747053,0.7323138117790222,0.9848528821021318,900,0.048157528,158.3,738.6811872124672
125.75,486,91,186368,524.4104961300001,382,,,,,,,,,,,,,
129.34,491,92,188416,539.5940080699999,383,0.2,54.702914762496945,-11.049457323551177,13.89946174621582,0.28427734375,0.0003,-0.031148366336128674,0.7319342494010925,0.987830032594502,910,0.03452433,,
,,,190000,,,0.2,81.59024879932403,-11.0442786693573,30.37118911743164,0.209619140625,0.0003,-0.021729140449315308,0.7311558127403259,0.9809171911329031,920,0.03018852,154.95,711.669734275341
131.71,498,93,190464,548.83261808,381,,,,,,,,,,,,,
133.77,503,94,192512,557.40690478,382,0.2,76.96453329324723,-11.047192832827568,52.77263641357422,0.287353515625,0.0003,-0.031677855612360875,0.7325342893600464,0.979280611500144,930,0.038013496,,
136.15,508,95,194560,567.51757007,382,0.2,80.64828612804413,-11.059001699090004,20.40782928466797,0.277734375,0.0003,-0.022743621104746127,0.7330085635185242,0.9804830197244883,940,0.03661375,,
,,,195000,,,0.2,69.03669418692589,-11.04773054420948,22.501842498779297,0.253955078125,0.0003,-0.02432713077578228,0.7313079237937927,0.9802355077117682,950,0.041245252,159.15,727.4741732001305
137.92,515,96,196608,574.6395337400002,381,,,,,,,,,,,,,
138.77,519,97,198656,578.0696549,382,0.2,73.79508605003358,-11.014454990625381,25.756420135498047,0.277978515625,0.0003,-0.030173790984554215,0.7280293107032776,0.9836119934916496,960,0.037441593,,
,,,200000,,,0.2,63.5597039103508,-10.98196301460266,22.58516502380371,0.27158203125,0.0003,-0.02276741608802695,0.7264863848686218,0.9843941163271666,970,0.035580307,157.5,724.5171101570129
141.26,527,98,200704,588.92150793,380,,,,,,,,,,,,,
142.19,531,99,202752,592.9116196199999,381,0.2,59.295421350002286,-10.968966794013976,18.64199447631836,0.30849609375,0.0003,-0.019043852903996593,0.7260172963142395,0.9870671685785055,980,0.053174153,,
143.49,536,100,204800,598.40760974,381,0.2,78.99988040924072,-10.964091265201569,23.86034393310547,0.2634765625,0.0003,-0.02763161880429834,0.7257604002952576,0.9799606148153543,990,0.03884057,,
,,,205000,,,0.2,91.30445675253868,-10.951873728632927,54.4526252746582,0.228271484375,0.0003,-0.023054482271254527,0.7242604494094849,0.9784341957420111,1000,0.050776925,163.95,761.3329629182815
145.28,543,101,206848,606.1378903199999,380,,,,,,,,,,,,,
146.36,548,102,208896,610.34117681,381,0.2,81.97759094834328,-10.937121972441673,32.694549560546875,0.2328125,0.0003,-0.02266536492825253,0.7235356569290161,0.9740232694894075,1010,0.030640775,,
,,,210000,,,0.2,82.75484284162522,-10.919415858387946,24.554372787475586,0.23603515625,0.0003,-0.022187261161161587,0.721797525882721,0.9812787733972073,1020,0.03054623,167.35,780.6028554558754
147.98,555,103,210944,617.0823959100001,379,,,,,,,,,,,,,
149.98,559,104,212992,625.94381417,380,0.2,86.3336446762085,-10.897706910967827,41.05283737182617,0.235302734375,0.0003,-0.028756578706088477,0.7202521562576294,0.9781269058585167,1030,0.030802492,,
,,,215000,,,0.2,61.597920805215836,-10.868989637494087,24.84459686279297,0.278857421875,0.0003,-0.022084043244831264,0.7179716229438782,0.9826267417520285,1040,0.03819938,166.3,771.5828686594963
150.78,567,105,215040,628.89521041,379,,,,,,,,,,,,,
151.23,572,106,217088,631.2780532,379,0.2,83.01066446304321,-10.844193992018699,25.444517135620117,0.251611328125,0.0003,-0.032530753838364034,0.7164366245269775,0.98027528449893,1050,0.035123914,,
152.06,576,107,219136,634.9337108999999,380,0.2,59.94033233523369,-10.829664182662963,15.468255996704102,0.3001953125,0.0003,-0.02401706968084909,0.7158812880516052,0.9803568925708532,1060,0.049741868,,
,,,220000,,,0.2,75.2470311820507,-10.821742624044418,21.840381622314453,0.26044921875,0.0003,-0.025107877625850962,0.7153657078742981,0.9809777438640594,1070,0.0383495,170.15,792.4709305524826
152.86,584,108,221184,638.64668041,378,,,,,,,,,,,,,
153.64,588,109,223232,642.5276233,379,0.2,64.83219590783119,-10.804557964205742,22.425045013427734,0.291162109375,0.0003,-0.023767808385309765,0.7135543823242188,0.9846813715994358,1080,0.04729041,,
,,,225000,,,0.2,75.23529012203217,-10.78110662996769,45.8189811706543,0.276806640625,0.0003,-0.030723793353536165,0.7124234437942505,0.9806436337530613,1090,0.034994442,169.45,795.0350274443626
153.65,596,110,225280,642.9041415799999,377,,,,,,,,,,,,,
152.84,600,111,227328,640.44889432,378,0.2,56.107135927677156,-10.75859366953373,20.67719078063965,0.264306640625,0.0003,-0.029393855421221814,0.7101371884346008,0.9874459784477949,1100,0.033254642,,
151.97,605,112,229376,636.9153132299999,379,0.2,52.61157436966896,-10.735307556390762,20.121309280395508,0.252490234375,0.0003,-0.027971417148364708,0.709119975566864,0.9879042552784085,1110,0.03466215,,
