time/time_elapsed,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,eval/mean_reward,eval/mean_ep_length
,,,,,379000,0.001,378902,-19.525893211364746,0.831703957170248,31.106485462188722,3.5
3511,30.901745849999998,107940,3.48,107,379005,0.001,378906,-19.488696098327637,1.0874134935438633,,
3511,30.818117059999995,107944,3.47,107,379019,0.001,378920,-20.517818450927734,1.3417264819145203,,
3511,30.90326224,107948,3.48,107,379033,0.001,378934,-19.891496658325195,1.595841109752655,,
3511,30.736863090000007,107952,3.46,107,379046,0.001,378947,-19.396183013916016,0.9040138324101766,,
3511,30.65188722,107956,3.45,107,379060,0.001,378961,-19.07218074798584,0.92569999396801,,
3511,30.571002269999997,107960,3.44,107,379073,0.001,378974,-20.330429077148438,1.4812564477324486,,
3511,30.567883640000005,107964,3.44,107,379087,0.001,378987,-20.046785354614258,1.1741302410761516,,
3512,30.65359426,107968,3.45,107,379101,0.001,379001,-19.72037410736084,0.6894366424530745,,
3512,30.569142069999998,107972,3.44,107,379115,0.001,379016,-19.385428428649902,1.2541272640228271,,
3512,30.569739369999997,107976,3.44,107,379129,0.001,379030,-20.632311820983887,1.7379411607980728,,
3512,30.821434840000002,107980,3.47,107,379144,0.001,379044,-20.013739585876465,0.9328194111585617,,
3512,31.071703380000002,107984,3.5,107,379160,0.001,379060,-19.423160552978516,1.1854560375213623,,
3512,31.151731839999997,107988,3.51,107,379174,0.001,379074,-18.110814094543457,0.9177747219800949,,
3512,31.0681054,107992,3.5,107,379187,0.001,379087,-19.768098831176758,2.0820032358169556,,
3513,30.899855989999995,107996,3.48,107,379200,0.001,379101,-18.856002807617188,1.9532636801401775,,
3513,30.81587677,108000,3.47,107,379214,0.001,379115,-19.682400703430176,1.9516750797629356,,
3513,31.06415946,108004,3.5,107,379230,0.001,379130,-20.283541679382324,1.1414725482463837,,
3513,31.065298909999996,108008,3.5,107,379244,0.001,379145,-19.090673446655273,3.437958558400472,,
3513,30.98245371,108012,3.49,107,379258,0.001,379158,-19.146930694580078,1.1783340175946553,,
3513,30.98049512,108016,3.49,107,379273,0.001,379173,-19.99452018737793,1.0940986722707748,,
