time/total_timesteps,time/fps,train/actor_loss,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/episodes,train/learning_rate,rollout/ep_rew_mean,train/n_updates,eval/mean_reward,eval/mean_ep_length
280000,,-71.49341470336914,,0.1699149583168328,,,0.001,,279648,944.5839959725738,1000.0
281648,126,-71.58991577148437,2226,0.16522178824618458,1000.0,296,0.001,909.1572824,280648,,
285000,,-71.72108740234376,,0.16123474892228842,,,0.001,,284648,965.840399825573,1000.0
285648,126,,2262,,1000.0,300,,910.1137370700002,,,
289648,126,-71.81400973510742,2285,0.1550582536533475,1000.0,304,0.001,910.8965916000001,288648,,
290000,,-71.8422765045166,,0.2076208231560886,,,0.001,,289648,947.0111464381218,1000.0
293648,126,-71.98156053161621,2320,0.15047513668052853,1000.0,308,0.001,911.0378951299999,292648,,
295000,,-72.05408619689942,,0.17470387442409993,,,0.001,,294648,958.2924559950828,1000.0
297648,126,-72.13283557128906,2355,0.17406035019271077,1000.0,312,0.001,911.63722254,296648,,
300000,,-72.3255892944336,,0.1588570022583008,,,0.001,,299648,965.9465797334909,1000.0
301648,126,-72.38363749694824,2390,0.15586522219330073,1000.0,316,0.001,911.8006015199999,300648,,
305000,,-72.52702543640137,,0.15233268789760768,,,0.001,,304648,922.857866191864,1000.0
305648,125,,2426,,1000.0,320,,911.41423051,,,
309648,126,-72.62756266784668,2449,0.17533715152554213,1000.0,324,0.001,910.68080105,308648,,
310000,,-72.67990452575684,,0.14110098718851805,,,0.001,,309648,961.214103937149,1000.0
313648,126,-72.7199467010498,2484,0.16435632402822375,1000.0,328,0.001,910.9607135699998,312648,,
315000,,-72.7452938079834,,0.16011585166305303,,,0.001,,314648,958.7253950297833,1000.0
317648,126,-72.81257572937012,2520,0.15636072953790425,1000.0,332,0.001,910.8322488400001,316648,,
320000,,-72.89040872192383,,0.1521264166366309,,,0.001,,319648,964.0417931497097,1000.0
321648,125,-72.8769584197998,2555,0.15901349500752984,1000.0,336,0.001,910.6366892800002,320648,,
325000,,-72.98710340881348,,0.1672168484404683,,,0.001,,324648,975.3012650489807,1000.0
325648,125,,2590,,1000.0,340,,910.77255487,,,
329648,126,-73.15406355285644,2614,0.15397122563049198,1000.0,344,0.001,910.6997884699998,328648,,
330000,,-73.19892085266113,,0.15542096060141922,,,0.001,,329648,967.6653750628233,1000.0
333648,125,-73.22021858215332,2650,0.15112894577533006,1000.0,348,0.001,911.3796520600001,332648,,
335000,,-73.2610378112793,,0.14222093990631401,,,0.001,,334648,957.5318308308721,1000.0
337648,125,-73.36452182006836,2687,0.13187077697739005,1000.0,352,0.001,911.7863034900001,336648,,
340000,,-73.3840457458496,,0.15477625914663076,,,0.001,,339648,942.4444150924683,1000.0
341648,125,-73.40662365722656,2722,0.14506908988952635,1000.0,356,0.001,912.30279867,340648,,
345000,,-73.5020945892334,,0.13832430955581368,,,0.001,,344648,961.3034609556198,1000.0
345648,125,,2757,,1000.0,360,,912.1966646499999,,,
349648,125,-73.65552809143067,2780,0.1488708631955087,1000.0,364,0.001,912.2997995999998,348648,,
350000,,-73.73392575073242,,0.13421673056297004,,,0.001,,349648,962.3471445083618,1000.0
353648,125,-73.73448506164551,2815,0.15344315098412334,1000.0,368,0.001,913.00309557,352648,,
355000,,-73.75176480102539,,0.14706119863316416,,,0.001,,354648,957.052490568161,1000.0
357648,125,-73.79555796813965,2850,0.13539462757855653,1000.0,372,0.001,913.4043423000002,356648,,
360000,,-73.81206721496582,,0.14521106571704148,,,0.001,,359648,953.9185971856117,1000.0
361648,125,-73.8675629119873,2885,0.13572173750959338,1000.0,376,0.001,913.62834284,360648,,
365000,,-73.96514581298828,,0.13435707328654825,,,0.001,,364648,968.2291109144687,1000.0
365648,125,,2920,,1000.0,380,,913.9820776800001,,,
369648,125,-74.07557577514649,2944,0.11914726853184401,1000.0,384,0.001,914.07344523,368648,,
