time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/explained_variance,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/value_loss,eval/mean_ep_length,train/std,eval/mean_reward,train/entropy_loss,train/approx_kl,train/clip_range,train/loss
667500,,,,,,0.9957497115246952,3250,0.0003,-0.007250149201718159,0.231201171875,10.879552318155765,970.0,0.40623539686203003,3426.712219247222,-1.5126117687672376,0.019600771,0.2,4.724528789520264
667648,4984,326,518.0,1854.4480653399996,133,,,,,,,,,,,,,
669696,4988,327,516.16,1849.6701435000004,134,0.996116730151698,3260,0.0003,-0.012404641191824339,0.20341796875,12.333175221085549,,0.4064253270626068,,-1.527627632394433,0.016658777,0.2,3.8485941886901855
670000,,,,,,0.9966749604791403,3270,0.0003,-0.007181719416985288,0.28173828125,7.055475078523159,1000.0,0.40282389521598816,3497.7668154329062,-1.514645490050316,0.027930047,0.2,2.568203926086426
671744,5008,328,519.98,1861.5052530900002,134,,,,,,,,,,,,,
672500,,,,,,0.7768925428390503,3280,0.0003,-0.005234237830154598,0.2515625,475.3044953554869,1000.0,0.40010958909988403,3519.620796230435,-1.4944574881345034,0.019335989,0.2,5.268195629119873
673792,5028,329,530.72,1901.17964014,133,,,,,,,,,,,,,
675000,,,,,,0.9931185403838754,3290,0.0003,-0.007824410175089724,0.192041015625,14.292232660204172,549.25,0.3982478976249695,1979.4071217805147,-1.4733351431787014,0.014804369,0.2,6.674335479736328
675840,5041,330,539.65,1933.8960246099998,134,,,,,,,,,,,,,
677500,,,,,,0.9960376895032823,3300,0.0003,-0.008089911937713624,0.269775390625,7.1161719061434265,872.5,0.3970246911048889,3107.755149456859,-1.4614430483430625,0.024545964,0.2,2.882889747619629
677888,5058,331,520.43,1869.4632293199998,134,,,,,,,,,,,,,
679936,5062,332,513.18,1841.7874496799996,134,0.9963483659084886,3310,0.0003,-0.009781508008018136,0.16787109375,11.885938142240047,,0.3975489139556885,,-1.4581520684063434,0.015582261,0.2,6.840945243835449
680000,,,,,,0.7898815423250198,3320,0.0003,-0.009860982198733836,0.130029296875,853.6789318561554,1000.0,0.3981567323207855,3545.0353757858275,-1.4633080713450908,0.011180013,0.2,809.8744506835938
681984,5082,333,503.83,1807.1910391499998,134,,,,,,,,,,,,,
682500,,,,,,0.756226509809494,3330,0.0003,-0.013325498360791244,0.11826171875,1176.708536839485,1000.0,0.398769348859787,3539.686743888259,-1.4671235475689173,0.012310052,0.2,658.5090942382812
684032,5102,334,490.24,1762.7631001099996,134,,,,,,,,,,,,,
685000,,,,,,0.9694993887096643,3340,0.0003,0.0005143548478372395,0.214501953125,21.519197975844143,1000.0,0.3978482484817505,3491.6992991179227,-1.4635647196322679,0.032091275,0.2,3.688948631286621
686080,5122,335,485.07,1746.6837445599997,133,,,,,,,,,,,,,
687500,,,,,,0.7622624188661575,3350,0.0003,-0.007970643899170682,0.22158203125,468.8069125145674,1000.0,0.39742255210876465,3506.6884617447854,-1.4610274694859982,0.018841742,0.2,14.187654495239258
688128,5142,336,480.72,1735.9224515,133,,,,,,,,,,,,,
690000,,,,,,0.9937785556539893,3360,0.0003,-0.004547309993358795,0.271923828125,6.157763675227761,862.75,0.3994053602218628,3110.874669086933,-1.462449650838971,0.029744286,0.2,1.2779942750930786
690176,5160,337,456.84,1653.2773840099994,133,,,,,,,,,,,,,
