time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,train/clip_range,train/entropy_loss,train/std,train/approx_kl,train/n_updates,train/explained_variance,train/clip_fraction,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
135000,,,,,,0.2,-23.00708935856819,0.9375692009925842,0.018736038,650,0.8180956244468689,0.1533203125,455.63005475997926,226.87973022460938,-0.04817318153800443,0.0003,256.5750168025494,51.65
135168,66,305.84564474999996,63.61,373,361,,,,,,,,,,,,,
137216,67,302.63688736999995,62.96,378,362,0.2,-22.99126989841461,0.9360675811767578,0.01734731,660,0.8183349967002869,0.140185546875,449.48038387298584,113.4288101196289,-0.04746372131048702,0.0003,,
139264,68,305.72556245,63.99,384,362,0.2,-22.979630076885222,0.93600994348526,0.02356829,670,0.7742397636175156,0.1708984375,516.8771385669709,181.8110809326172,-0.05132621132361237,0.0003,,
140000,,,,,,0.2,-22.965926718711852,0.9349276423454285,0.024530597,680,0.7880924344062805,0.19931640625,459.30476508140566,252.07383728027344,-0.055853132071206346,0.0003,236.53042289912702,48.9
141312,69,298.37666602999997,62.21,390,361,,,,,,,,,,,,,
143360,70,297.43882997000003,61.61,395,362,0.2,-22.968641918897628,0.9359235763549805,0.025408912,690,0.841295525431633,0.1994140625,367.8354920387268,120.99341583251953,-0.055101223645033316,0.0003,,
145000,,,,,,0.2,-22.958134406805037,0.9339810013771057,0.01998683,700,0.8383784294128418,0.183837890625,332.93175241947176,124.38186645507812,-0.053112465800950304,0.0003,225.30865646079184,46.5
145408,71,311.25338856999997,64.22,402,361,,,,,,,,,,,,,
147456,72,319.50946392000003,65.96,407,362,0.2,-22.94391649365425,0.9343724846839905,0.02167408,710,0.8429444283246994,0.188623046875,352.0400522708893,134.17605590820312,-0.05376513305818662,0.0003,,
149504,73,326.3053819,67.17,412,362,0.2,-22.941199296712874,0.9339503645896912,0.017867843,720,0.8331483155488968,0.14755859375,394.1212697029114,141.89370727539062,-0.04673099667124916,0.0003,,
150000,,,,,,0.2,-22.93411504626274,0.9334250688552856,0.022191986,730,0.8870849758386612,0.172705078125,310.53787717819216,146.47882080078125,-0.05116919747379143,0.0003,236.42912775054575,47.5
151552,74,327.03472059,67.73,418,361,,,,,,,,,,,,,
153600,75,327.12420729999997,67.95,423,362,0.2,-22.915853530168533,0.9320215582847595,0.020978823,740,0.84969562292099,0.16376953125,382.6650710582733,93.7025146484375,-0.050026342121418564,0.0003,,
155000,,,,,,0.2,-22.891643744707107,0.9309908747673035,0.019239664,750,0.8465647548437119,0.16865234375,375.76616883277893,172.1940155029297,-0.048875220422632995,0.0003,227.72164606153964,46.3
155648,76,319.6463008,66.42,430,361,,,,,,,,,,,,,
157696,77,328.81725388,68.49,435,362,0.2,-22.874717581272126,0.9304293990135193,0.022277668,760,0.8644081056118011,0.172998046875,337.4201512813568,140.97731018066406,-0.050497944740345704,0.0003,,
