time/fps,train/critic_loss,time/time_elapsed,train/n_updates,time/episodes,train/actor_loss,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
,0.36658304204046727,,209784,,-55.34296913146973,210000,,0.001,,937.763393086195,1000.0
121,0.3442907307446003,1755,212784,232,-55.47990478515625,213827,860.9830490700001,0.001,1000.0,,
,0.32725597503036263,,214784,,-55.62462197875976,215000,,0.001,,943.5851590022445,1000.0
121,0.34805156338214877,1790,216784,236,-55.631074005126955,217827,862.6102196599999,0.001,1000.0,,
,0.3038530209288001,,219784,,-55.75983295440674,220000,,0.001,,773.2469298094511,1000.0
121,0.2955873887240887,1823,220784,240,-55.81125437164307,221827,860.19475918,0.001,1000.0,,
,0.3161697454676032,,224784,,-56.33512488555908,225000,,0.001,,953.6048304259778,1000.0
121,,1856,,244,,225827,862.7343607900002,,1000.0,,
122,0.37978289449214936,1881,228784,248,-56.86670945739746,229827,862.4182381200001,0.001,1000.0,,
,0.3752963198572397,,229784,,-56.98775560760498,230000,,0.001,,945.786835559085,1000.0
122,0.41867887663841247,1916,232784,252,-57.27069588470459,233827,862.9771257100001,0.001,1000.0,,
,0.4437840387523174,,234784,,-57.482060546875,235000,,0.001,,886.1056513234973,1000.0
121,0.4258007718399167,1951,236784,256,-57.69047156524658,237827,863.0653145100001,0.001,1000.0,,
,0.3203297626003623,,239784,,-57.88471469116211,240000,,0.001,,932.0661410629749,1000.0
121,0.32454167257994415,1982,240784,260,-58.02893997955322,241827,862.72945438,0.001,1000.0,,
,0.33130723631381986,,244784,,-58.46204211425781,245000,,0.001,,842.8416688859463,1000.0
121,,2015,,264,,245827,862.38811373,,1000.0,,
122,0.2806921495050192,2038,248784,268,-58.80946700286865,249827,860.0594127700001,0.001,1000.0,,
,0.2979044733569026,,249784,,-58.910482765197756,250000,,0.001,,907.4207379847765,1000.0
122,0.2811798465400934,2071,252784,272,-58.987244758605954,253827,859.1715138999998,0.001,1000.0,,
,0.32331083181500436,,254784,,-59.00626039123535,255000,,0.001,,905.0705014519393,1000.0
122,0.3316845806017518,2103,256784,276,-58.957638832092286,257827,863.2844056400002,0.001,1000.0,,
,0.34768215514719486,,259784,,-58.86359669494629,260000,,0.001,,782.6971629359293,1000.0
122,0.29728110299259425,2135,260784,280,-58.97611091613769,261827,874.1634416,0.001,1000.0,,
,0.30687115556001665,,264784,,-59.0715375213623,265000,,0.001,,850.1735480755567,1000.0
122,,2167,,284,,265827,884.56379016,,1000.0,,
123,0.2851284207552671,2188,268784,288,-59.41345045471191,269827,893.73952049,0.001,1000.0,,
